NACA 64A210
  1.0 0.00021
  0.9969689 0.0006734705
  0.9933013 0.001234638
  0.989431 0.001827272
  0.9853376 0.00245459
  0.9809991 0.003120029
  0.9763932 0.003827115
  0.971499 0.004579195
  0.9662996 0.005378982
  0.9607872 0.006227843
  0.954969 0.007124807
  0.9488751 0.008065407
  0.9425847 0.009037321
  0.9363519 0.01000069
  0.9301835 0.01095373
  0.9240252 0.01190417
  0.9178377 0.01285736
  0.9115954 0.01381652
  0.9052866 0.01478265
  0.898968 0.01574628
  0.8926903 0.01669943
  0.8864325 0.01764596
  0.8801776 0.01858913
  0.8739135 0.0195315
  0.8676322 0.02047491
  0.8613307 0.02142057
  0.8550101 0.02236897
  0.8486768 0.02331988
  0.8423409 0.02427141
  0.836012 0.02522007
  0.829697 0.02616267
  0.8234001 0.02709645
  0.8171226 0.02801909
  0.8108637 0.0289287
  0.8046199 0.02982376
  0.7983853 0.03070313
  0.7921527 0.03156714
  0.7859156 0.0324177
  0.7796692 0.03325659
  0.77341 0.03408535
  0.7671364 0.0349053
  0.7608483 0.03571755
  0.7545473 0.036523
  0.7482368 0.03732235
  0.7419212 0.03811544
  0.735605 0.03890119
  0.7292913 0.03967857
  0.7229825 0.0404467
  0.7166798 0.04120484
  0.7103838 0.04195237
  0.7040938 0.04268877
  0.6978083 0.04341365
  0.6915253 0.04412699
  0.6852426 0.04482906
  0.6789589 0.04552009
  0.6726731 0.04620027
  0.6663844 0.04686971
  0.6600926 0.04752849
  0.6537981 0.04817664
  0.6475015 0.04881413
  0.6412037 0.04944078
  0.6349057 0.05005627
  0.6286082 0.0506603
  0.6223118 0.05125258
  0.6160168 0.05183285
  0.6097234 0.05240087
  0.6034315 0.05295643
  0.597141 0.05349932
  0.5908516 0.05402936
  0.5845629 0.05454638
  0.5782748 0.05505023
  0.571987 0.05554071
  0.5656997 0.05601765
  0.5594128 0.05648084
  0.5531265 0.0569301
  0.546841 0.05736522
  0.5405566 0.05778594
  0.5342736 0.05819196
  0.527992 0.058583
  0.5217121 0.05895877
  0.5154338 0.05931898
  0.5091574 0.05966337
  0.5028825 0.05999165
  0.4966093 0.06030356
  0.4903375 0.06059876
  0.4840673 0.06087687
  0.4777987 0.06113751
  0.4715321 0.06138026
  0.465268 0.06160474
  0.4590071 0.06181054
  0.4527503 0.06199728
  0.4464984 0.06216457
  0.4402526 0.06231189
  0.4340134 0.06243862
  0.4277811 0.06254413
  0.4215552 0.06262785
  0.4153351 0.06268916
  0.4091194 0.06272746
  0.4029063 0.06274213
  0.3966936 0.06273255
  0.3904788 0.06269872
  0.3842597 0.06264135
  0.3780346 0.06256115
  0.3718026 0.06245885
  0.3655632 0.06233516
  0.3593165 0.06219081
  0.3530633 0.06202656
  0.346805 0.06184318
  0.3405434 0.06164115
  0.3342803 0.06142052
  0.328017 0.06118134
  0.3217547 0.06092363
  0.3154941 0.06064745
  0.3092357 0.06035281
  0.3029796 0.06003973
  0.2967255 0.05970822
  0.290473 0.05935821
  0.2842217 0.05898962
  0.2779714 0.05860236
  0.2717224 0.05819636
  0.2654748 0.05777155
  0.2592293 0.0573279
  0.2529868 0.05686539
  0.2467481 0.05638404
  0.2405147 0.0558837
  0.2342874 0.05536397
  0.228067 0.0548244
  0.2218538 0.05426451
  0.2156477 0.05368381
  0.2094485 0.05308178
  0.2032554 0.05245783
  0.1970672 0.05181136
  0.1908828 0.05114175
  0.1847012 0.05044854
  0.1785223 0.04973132
  0.1723469 0.0489898
  0.1661764 0.04822378
  0.160013 0.0474332
  0.1538597 0.04661812
  0.1477203 0.04577876
  0.141599 0.04491503
  0.1354999 0.0440257
  0.1294255 0.04310929
  0.1233773 0.04216418
  0.117355 0.04118857
  0.1113575 0.04018052
  0.1053823 0.03913785
  0.09942574 0.03805812
  0.0934836 0.03693873
  0.08755563 0.03577795
  0.08165177 0.03457623
  0.0757923 0.03333656
  0.07000625 0.03206427
  0.06432404 0.03076213
  0.05876418 0.02942895
  0.05333204 0.02806173
  0.04802297 0.02665581
  0.04283357 0.02520474
  0.03781145 0.0237114
  0.03305877 0.022201
  0.02867982 0.02071138
  0.024736 0.01927763
  0.02123575 0.01792056
  0.01817249 0.01664249
  0.01553056 0.01544735
  0.01326614 0.01433648
  0.01132102 0.01330546
  0.009640555 0.01234709
  0.008181746 0.01145353
  0.006907457 0.01061645
  0.005786746 0.009824582
  0.004795107 0.009045777
  0.003915587 0.008254992
  0.003140968 0.007454689
  0.002468065 0.006661716
  0.001889568 0.005884497
  0.001397549 0.005126171
  0.0009850699 0.004387255
  0.0006466482 0.003666987
  0.0003783028 0.002963993
  0.0001775008 0.002276608
  4.3116e-05 0.001603024
  -2.454248e-05 0.0009413279
  -2.359684e-05 0.0002894989
  4.940901e-05 -0.0003546992
  0.0001950447 -0.00099425
  0.0004115293 -0.001632344
  0.0006987175 -0.00227179
  0.001058097 -0.002915108
  0.001492774 -0.003564585
  0.002007541 -0.004222227
  0.002608985 -0.004889569
  0.003305466 -0.005567204
  0.004106592 -0.006253731
  0.005021166 -0.006943509
  0.006050972 -0.007622124
  0.007194208 -0.008275402
  0.008469832 -0.008917601
  0.009913441 -0.009578392
  0.01156544 -0.01027005
  0.01347336 -0.01100123
  0.01569018 -0.01177998
  0.01827909 -0.01260846
  0.02130072 -0.01348386
  0.02478231 -0.01439736
  0.02872069 -0.01534401
  0.03311901 -0.01631707
  0.03794604 -0.01729623
  0.04311691 -0.01825798
  0.04852019 -0.01918471
  0.05407208 -0.02007283
  0.05974805 -0.02092659
  0.06554072 -0.02174768
  0.07143785 -0.0225377
  0.07742111 -0.02329846
  0.08346667 -0.02403076
  0.08955178 -0.0247332
  0.09566009 -0.02540525
  0.1017828 -0.02604749
  0.1079187 -0.02666144
  0.1140702 -0.02724886
  0.1202391 -0.02781146
  0.1264264 -0.02835084
  0.1326324 -0.02886855
  0.1388563 -0.0293661
  0.1450965 -0.02984496
  0.1513507 -0.03030657
  0.1576153 -0.03075207
  0.163887 -0.03118155
  0.1701631 -0.03159492
  0.1764413 -0.03199215
  0.1827203 -0.03237328
  0.1889994 -0.03273841
  0.1952785 -0.03308766
  0.2015582 -0.03342121
  0.2078398 -0.03373931
  0.2141248 -0.03404244
  0.220414 -0.03433108
  0.2267082 -0.03460567
  0.2330075 -0.03486666
  0.2393118 -0.03511446
  0.2456206 -0.03534949
  0.2519329 -0.03557213
  0.2582473 -0.03578267
  0.2645626 -0.03598102
  0.2708779 -0.03616708
  0.2771925 -0.03634077
  0.2835061 -0.036502
  0.2898188 -0.03665072
  0.2961308 -0.03678685
  0.3024429 -0.03691035
  0.308756 -0.0370212
  0.3150708 -0.03711946
  0.3213875 -0.03720517
  0.3277061 -0.0372784
  0.334026 -0.03733918
  0.3403461 -0.03738756
  0.3466649 -0.03742359
  0.3529806 -0.03744733
  0.3592909 -0.03745847
  0.3655941 -0.03745616
  0.3718891 -0.03743956
  0.3781753 -0.03740783
  0.3844531 -0.03736011
  0.3907235 -0.03729558
  0.3969879 -0.03721337
  0.4032487 -0.03711262
  0.4095084 -0.03699313
  0.4157696 -0.03685544
  0.4220343 -0.03670011
  0.428304 -0.03652772
  0.4345798 -0.03633882
  0.4408623 -0.036134
  0.4471517 -0.03591383
  0.4534475 -0.03567892
  0.4597492 -0.03542984
  0.4660559 -0.03516709
  0.472367 -0.03489119
  0.4786818 -0.03460264
  0.4849999 -0.03430197
  0.4913206 -0.0339897
  0.4976436 -0.03366635
  0.5039685 -0.03333245
  0.510295 -0.03298835
  0.5166228 -0.03263428
  0.522952 -0.03227048
  0.5292823 -0.03189717
  0.535614 -0.03151457
  0.5419472 -0.03112291
  0.5482821 -0.03072238
