FX 79-W-660A
  0.1064859 -0.1802324
  0.1124072 -0.1855928
  0.1185067 -0.1909527
  0.1247936 -0.1962848
  0.1312841 -0.2015763
  0.1379827 -0.2068328
  0.1448832 -0.2120579
  0.1519698 -0.2172479
  0.159225 -0.2223884
  0.1666332 -0.2274624
  0.1741797 -0.2324546
  0.1818543 -0.2373477
  0.1896541 -0.2421242
  0.1975838 -0.2467708
  0.2056518 -0.2512821
  0.2138613 -0.2556614
  0.2222104 -0.2599102
  0.2306929 -0.264027
  0.2393037 -0.268007
  0.2480419 -0.2718466
  0.2569107 -0.2755446
  0.2659127 -0.2791061
  0.2750435 -0.2825368
  0.2842915 -0.2858396
  0.2936415 -0.2890112
  0.3030808 -0.2920451
  0.3125995 -0.2949362
  0.3221901 -0.2976816
  0.3318446 -0.3002797
  0.3415551 -0.3027295
  0.3513124 -0.3050301
  0.3611039 -0.3071816
  0.3709114 -0.3091832
  0.3807128 -0.3110308
  0.3904917 -0.3127083
  0.4002436 -0.3141995
  0.4099751 -0.3154915
  0.4196985 -0.316579
  0.4294302 -0.3174592
  0.4391914 -0.3181285
  0.4490057 -0.318592
  0.4588863 -0.3188655
  0.4688311 -0.3189645
  0.4788231 -0.3188991
  0.4888454 -0.3186651
  0.498891 -0.3182561
  0.5089634 -0.3176662
  0.5190699 -0.3168939
  0.529213 -0.3159393
  0.5393892 -0.3148025
  0.5495924 -0.3134775
  0.5598254 -0.3119529
  0.5701039 -0.3102143
  0.5804564 -0.3082567
  0.5909145 -0.3060873
  0.601506 -0.3037144
  0.6122524 -0.301152
  0.6231472 -0.2984288
  0.6341347 -0.2955894
  0.6451183 -0.2926499
  0.6560459 -0.2895647
  0.6669594 -0.2862623
  0.6779732 -0.2827156
  0.6891593 -0.27897
  0.7004845 -0.2751124
  0.7118545 -0.2712373
  0.7232198 -0.2674174
  0.7345804 -0.2636831
  0.7459068 -0.2600173
  0.757115 -0.2564152
  0.7681051 -0.2529094
  0.7788085 -0.2495422
  0.7891903 -0.2463449
  0.7992465 -0.2433445
  0.808995 -0.2405563
  0.818454 -0.2379678
  0.8276211 -0.2355501
  0.836481 -0.2332802
  0.8450117 -0.2311386
  0.8531891 -0.2291093
  0.8609935 -0.2271828
  0.8684192 -0.225364
  0.8754755 -0.2236567
  0.8821795 -0.222056
  0.8885482 -0.2205363
  0.8945958 -0.2190727
  0.9003362 -0.2176501
  0.9057893 -0.2162963
  0.9109835 -0.2150543
  0.9159504 -0.2139535
  0.9207205 -0.2129866
  0.9253165 -0.2120557
  0.9297515 -0.2110657
  0.9340319 -0.2099427
  0.9381252 -0.2086287
  0.9419493 -0.2070712
  0.9454462 -0.2052163
  0.9485739 -0.2030001
