EH 2.0/7.0
  1.0 0.0
  0.9966677 0.0001154158
  0.9918212 0.000327677
  0.9863551 0.0005999618
  0.9806564 0.0009118725
  0.9748642 0.001249511
  0.9690404 0.001601538
  0.9632136 0.001966308
  0.9573765 0.002343476
  0.9515214 0.002728696
  0.9456573 0.003117549
  0.9397957 0.00350935
  0.9339374 0.003904634
  0.928078 0.004303667
  0.9222171 0.004706062
  0.9163605 0.005111466
  0.9105134 0.005521361
  0.9046744 0.005938137
  0.8988356 0.006363716
  0.8929891 0.006795924
  0.8871347 0.007230894
  0.8812807 0.007664642
  0.8754395 0.008098909
  0.8696176 0.00853956
  0.8638134 0.008992997
  0.8580181 0.009462577
  0.852222 0.009941705
  0.8464195 0.01042167
  0.8406101 0.01089338
  0.8347979 0.01135307
  0.8289867 0.01180709
  0.8231772 0.01226309
  0.8173667 0.01272896
  0.8115491 0.01320941
  0.8057192 0.01370202
  0.7998753 0.01420315
  0.7940195 0.01470881
  0.7881577 0.01521542
  0.782297 0.01572278
  0.7764414 0.01623182
  0.7705923 0.01674374
  0.7647479 0.01725992
  0.7589044 0.01778088
  0.7530586 0.01830614
  0.7472089 0.01883502
  0.7413555 0.01936673
  0.7354997 0.01990044
  0.7296438 0.02043597
  0.723789 0.02097341
  0.7179361 0.02151291
  0.7120846 0.02205473
  0.7062336 0.02259904
  0.7003818 0.0231457
  0.6945288 0.02369447
  0.6886745 0.02424504
  0.6828194 0.02479707
  0.6769647 0.02535033
  0.6711112 0.02590505
  0.6652595 0.02646153
  0.6594097 0.02702012
  0.6535611 0.02758123
  0.647713 0.02814501
  0.6418642 0.02871089
  0.6360141 0.02927818
  0.6301624 0.02984613
  0.6243089 0.03041398
  0.6184541 0.03098107
  0.6125984 0.03154729
  0.6067422 0.03211267
  0.6008859 0.03267726
  0.5950297 0.0332411
  0.5891738 0.03380425
  0.5833182 0.03436656
  0.5774631 0.03492783
  0.5716086 0.03548782
  0.5657548 0.03604632
  0.559902 0.0366031
  0.5540504 0.03715784
  0.5482001 0.03771016
  0.542351 0.03825969
  0.536503 0.03880605
  0.5306557 0.03934889
  0.5248088 0.03988794
  0.518962 0.04042307
  0.513115 0.04095415
  0.507268 0.04148106
  0.5014212 0.04200364
  0.4955751 0.04252169
  0.4897301 0.04303478
  0.4838865 0.04354235
  0.4780444 0.04404388
  0.4722038 0.04453885
  0.4663644 0.04502679
  0.4605256 0.04550733
  0.4546872 0.0459803
  0.4488489 0.04644554
  0.4430104 0.04690286
  0.4371717 0.04735207
  0.4313329 0.04779294
  0.4254941 0.04822515
  0.4196555 0.04864834
  0.4138175 0.04906215
  0.4079805 0.04946619
  0.4021453 0.04986008
  0.3963122 0.05024308
  0.3904817 0.05061433
