FX 72-LS-160
  0.8633187 0.01027303
  0.8712051 0.01029003
  0.8789358 0.01028528
  0.8865051 0.0102555
  0.8939043 0.01019891
  0.9011205 0.01011413
  0.9081415 0.009996686
  0.9149616 0.009840574
  0.9215817 0.009641025
  0.9280064 0.009393992
  0.9342423 0.009096296
  0.9402969 0.00874602
  0.9461754 0.008342924
  0.9518796 0.007887374
  0.9574115 0.007376559
  0.9627786 0.006805441
  0.9679931 0.006171641
  0.9730645 0.005478703
  0.9779971 0.004730711
  0.9827926 0.003929356
  0.9874515 0.003076531
  0.9919778 0.002175153
  0.9963739 0.001193337
  1.0 0.0
