OAF128 AIRFOIL
  1.0 0.004839
  0.9962541 0.004964088
  0.9917003 0.00513391
  0.9868875 0.005333864
  0.981812 0.005566382
  0.9764726 0.005834245
  0.970872 0.006139237
  0.9650175 0.00648311
  0.9589196 0.006867333
  0.9525911 0.007292717
  0.9460474 0.007759406
  0.9393052 0.008266762
  0.9323826 0.008813518
  0.9252982 0.009398435
  0.9180692 0.01002015
  0.9107108 0.01067698
  0.9032372 0.01136683
  0.8956613 0.0120875
  0.8879949 0.01283684
  0.8802486 0.01361266
  0.8724314 0.01441295
  0.864551 0.01523594
  0.8566132 0.01607985
  0.848623 0.0169428
  0.8405859 0.01782273
  0.8325076 0.01871771
  0.824393 0.01962644
  0.8162455 0.02054782
  0.8080668 0.02148077
  0.7998586 0.02242393
  0.7916237 0.02337579
  0.7833655 0.02433497
  0.7750873 0.02530047
  0.7667915 0.02627144
  0.7584798 0.02724712
  0.7501538 0.02822669
  0.7418156 0.02920932
  0.7334676 0.0301941
  0.7251127 0.03118024
  0.7167535 0.032167
  0.7083925 0.03315369
  0.7000319 0.03413965
  0.6916736 0.03512438
  0.6833188 0.03610739
  0.6749683 0.03708828
  0.6666226 0.0380667
  0.6582821 0.03904233
  0.649947 0.04001484
  0.6416175 0.04098398
  0.6332938 0.04194949
  0.6249765 0.04291112
  0.6166664 0.04386855
  0.608364 0.04482135
  0.6000701 0.04576909
  0.5917849 0.04671136
  0.5835088 0.04764776
  0.5752421 0.0485779
  0.5669853 0.04950136
  0.5587391 0.05041773
  0.5505042 0.05132649
  0.5422816 0.05222706
  0.5340721 0.05311887
  0.5258764 0.05400132
  0.5176953 0.05487377
  0.5095298 0.05573554
  0.5013807 0.05658592
  0.4932489 0.05742423
  0.4851353 0.05824966
  0.477041 0.05906138
  0.468967 0.05985856
  0.4609146 0.06064035
  0.4528848 0.06140575
  0.4448786 0.06215378
  0.4368966 0.06288346
  0.4289394 0.06359389
  0.4210077 0.06428407
  0.4131024 0.06495304
  0.4052247 0.0655998
  0.3973763 0.06622332
  0.3895581 0.06682238
  0.3817708 0.06739581
  0.3740143 0.06794255
  0.3662879 0.06846159
  0.358592 0.06895196
  0.3509278 0.06941265
  0.3432981 0.06984264
  0.3357063 0.07024062
  0.3281533 0.07060493
  0.3206368 0.07093408
  0.3131512 0.07122674
  0.3056893 0.07148268
  0.2982488 0.07170292
  0.2908345 0.0718884
  0.2834583 0.07203985
  0.2761348 0.07215511
  0.2688718 0.07222945
  0.261667 0.07225843
  0.2545099 0.07223804
  0.2473857 0.07216784
  0.2402821 0.07204958
  0.2331913 0.07188478
  0.2261093 0.07167513
  0.2190385 0.0714239
  0.211991 0.07113541
  0.2049888 0.07081463
  0.198061 0.07046427
  0.1912323 0.07008013
  0.1845155 0.06965725
  0.1779138 0.06919101
  0.1714237 0.06867812
  0.1650421 0.06811672
  0.158767 0.06750539
  0.1525975 0.06684322
  0.1465343 0.06613093
  0.1405792 0.06537008
  0.1347353 0.06456257
  0.1290064 0.06371093
  0.1233983 0.06281899
  0.1179185 0.06189126
  0.1125756 0.06093267
  0.1073786 0.05994828
  0.1023367 0.05894323
  0.09745865 0.05792292
  0.09275175 0.05689268
  0.08822156 0.0558566
  0.08387173 0.05481785
  0.0797035 0.05377951
  0.07571577 0.05274441
  0.07190582 0.05171408
  0.06826967 0.05068919
  0.06480197 0.04967048
  0.06149629 0.04865868
  0.05834562 0.04765409
  0.0553431 0.04665593
  0.05248153 0.04566351
  0.04975346 0.04467633
  0.04715145 0.04369405
  0.04466841 0.04271623
  0.04229806 0.0417421
  0.04003432 0.04077104
  0.03787134 0.03980259
  0.03580349 0.03883643
  0.03382545 0.03787233
  0.03193268 0.03690991
  0.03012114 0.03594876
  0.02838692 0.03498858
  0.02672629 0.03402916
  0.02513567 0.03307036
  0.02361166 0.03211206
  0.0221514 0.03115419
  0.02075235 0.03019669
  0.01941207 0.02923949
  0.01812818 0.02828255
  0.01689839 0.02732585
  0.01572048 0.02636935
  0.01459247 0.02541306
  0.01351304 0.02445698
  0.012481 0.02350114
  0.01149519 0.02254562
  0.01055442 0.0215905
  0.009657554 0.0206359
  0.00880343 0.01968192
  0.007991039 0.0187287
  0.007219729 0.01777635
  0.006488814 0.01682489
  0.005797516 0.01587422
  0.005145008 0.01492418
  0.004530446 0.01397453
  0.003952991 0.01302498
  0.003412155 0.01207528
  0.002908852 0.01112562
  0.002444328 0.01017644
  0.002019745 0.00922841
  0.00163614 0.008282303
  0.001294385 0.007339029
  0.0009951566 0.006399579
  0.0007385898 0.005465167
  0.0005231791 0.004537424
  0.0003469423 0.003617234
  0.0002079935 0.002704614
  0.0001046781 0.001798864
  3.56701e-05 0.0008986839
  4.756448e-08 2.231904e-06
  -2.64932e-06 -0.0008928259
  2.758696e-05 -0.001788822
  9.123575e-05 -0.002687612
  0.0001891881 -0.003590561
  0.0003226796 -0.004498542
  0.0004932213 -0.005411889
  0.0007025154 -0.00633032
  0.0009523422 -0.007252832
  0.001244341 -0.008177576
  0.001579589 -0.009102028
  0.001958973 -0.01002356
  0.002383413 -0.0109396
  0.002853928 -0.01184763
  0.003371713 -0.0127452
  0.003938243 -0.01362995
  0.004554963 -0.01450009
  0.005221876 -0.01535596
  0.005938535 -0.01619832
  0.006704376 -0.01702784
  0.007518638 -0.01784509
  0.008380255 -0.0186505
  0.009287776 -0.01944437
  0.01024064 -0.02022724
  0.01123955 -0.02100003
  0.01228525 -0.02176388
  0.01337835 -0.02252011
  0.01451935 -0.02327031
  0.01570856 -0.02401635
  0.01694646 -0.02476012
  0.01823489 -0.02550262
  0.01957611 -0.02624468
  0.02097245 -0.02698729
  0.02242621 -0.02773162
  0.02393965 -0.02847906
  0.02551498 -0.02923115
  0.02715506 -0.02998868
  0.02886338 -0.03075187
  0.03064356 -0.03152098
  0.03249937 -0.03229633
  0.03443471 -0.03307833
  0.03645358 -0.03386746
  0.0385605 -0.0346636
  0.04076038 -0.03546617
  0.04305831 -0.03627445
  0.04545955 -0.03708763
  0.04796956 -0.03790475
  0.05059406 -0.03872472
  0.05333914 -0.0395461
  0.05621101 -0.04036725
  0.05921605 -0.04118632
  0.06236084 -0.04200129
  0.06565237 -0.04281014
  0.06909789 -0.04361104
  0.07270459 -0.04440211
  0.07647956 -0.04518148
  0.08042989 -0.04594734
  0.08456275 -0.04669828
  0.08888456 -0.04743316
  0.09340019 -0.04815117
  0.09811258 -0.04885187
  0.1030226 -0.04953439
  0.1081285 -0.05019731
  0.113425 -0.0508397
  0.1189032 -0.05146089
  0.1245508 -0.05205795
  0.1303516 -0.05262665
  0.1362854 -0.053163
  0.14233 -0.05366192
  0.1484677 -0.05411478
  0.1546927 -0.054513
  0.1610137 -0.05484879
  0.1674525 -0.05512196
  0.1740308 -0.05533945
  0.1807657 -0.05550879
  0.1876664 -0.05563838
  0.1947281 -0.05573832
  0.2019208 -0.05582049
  0.2091831 -0.05589783
  0.2164346 -0.05596843
  0.223627 -0.05601216
  0.2307619 -0.05600925
  0.2378852 -0.05594298
  0.2450596 -0.05581509
  0.2523259 -0.05563492
  0.2596952 -0.0554126
  0.2671454 -0.05515724
  0.274644 -0.05487006
  0.2821707 -0.05455037
  0.2897214 -0.05419707
  0.2973059 -0.05380964
  0.3049351 -0.05338931
  0.3126145 -0.05293769
  0.3203436 -0.05245678
  0.3281172 -0.05194837
  0.3359307 -0.05141388
  0.3437815 -0.05085465
  0.351669 -0.05027194
  0.3595942 -0.049667
  0.3675572 -0.04904119
  0.3755571 -0.04839599
  0.3835921 -0.04773295
  0.3916601 -0.04705336
  0.3997594 -0.04635842
  0.4078889 -0.04564935
  0.4160481 -0.04492733
  0.4242361 -0.04419358
  0.4324517 -0.0434494
  0.4406931 -0.04269617
  0.4489578 -0.04193514
  0.4572434 -0.0411673
  0.4655482 -0.04039363
  0.4738704 -0.03961508
  0.4822085 -0.03883263
  0.4905602 -0.03804735
  0.4989225 -0.0372604
  0.5072912 -0.03647301
  0.5156621 -0.03568604
  0.5240319 -0.03490019
  0.5323984 -0.03411604
  0.5407604 -0.03333407
  0.5491173 -0.03255477
  0.557469 -0.03177858
  0.5658154 -0.03100592
  0.574157 -0.03023709
  0.5824942 -0.02947224
  0.5908273 -0.02871152
  0.5991565 -0.02795511
  0.6074821 -0.0272031
  0.6158043 -0.02645562
  0.624123 -0.02571276
  0.6324383 -0.02497465
  0.64075 -0.02424139
  0.649058 -0.02351314
  0.6573622 -0.02279
  0.6656621 -0.02207215
  0.6739574 -0.02135974
  0.6822476 -0.02065298
  0.6905318 -0.01995206
  0.6988093 -0.01925728
  0.7070792 -0.01856899
