FX 78-PK-188/20
  0.2364052 0.09881855
  0.2300239 0.09766278
  0.2236499 0.09646617
  0.2172842 0.09522897
  0.2109278 0.09395139
  0.2045812 0.09263345
  0.1982437 0.09127493
  0.1919138 0.0898754
  0.1855895 0.08843488
  0.1792706 0.08695421
  0.1729596 0.08543484
  0.1666613 0.08387882
  0.1603829 0.0822873
  0.1541321 0.08066046
  0.1479162 0.07899865
  0.1417427 0.07730214
  0.1356182 0.07556926
  0.1295472 0.07379703
  0.1235317 0.07198197
  0.1175712 0.07012041
  0.1116634 0.06820919
  0.1058044 0.06624472
  0.09998856 0.06422291
  0.09421073 0.06214247
  0.08847226 0.06000684
  0.08278321 0.05782292
  0.0771623 0.05559979
  0.07163723 0.05334795
  0.0662417 0.05108156
  0.06101267 0.04881434
  0.05598837 0.04655378
  0.05120024 0.04430776
  0.04667048 0.04208372
  0.04241241 0.03988579
  0.03842827 0.03771666
  0.03471199 0.03557952
  0.0312605 0.03348759
  0.02807874 0.03146175
  0.02516863 0.02952146
  0.02252581 0.02767488
  0.02013658 0.02591888
  0.01797898 0.02424709
  0.01602845 0.02265197
  0.01426325 0.02112719
  0.01266652 0.01966942
  0.01122329 0.01827657
  0.009919267 0.01694657
  0.008740604 0.01567698
  0.007673143 0.01446519
  0.006702918 0.01330731
  0.005817342 0.01219858
  0.005005534 0.01113417
  0.004258269 0.01010955
  0.003569406 0.009119886
  0.002939748 0.008159505
  0.00237145 0.007225482
  0.001865729 0.006317034
  0.001422393 0.005434432
  0.001039773 0.004578266
  0.0007164501 0.003749826
  0.0004535191 0.002950322
  0.0002506142 0.002177063
  0.0001070071 0.001424975
  2.29249e-05 0.0006877613
  4.456526e-07 -4.184528e-05
  4.216824e-05 -0.0007719754
  0.0001464262 -0.001509661
  0.0003127081 -0.00226025
  0.0005424054 -0.003027486
  0.0008379208 -0.003812831
  0.001201251 -0.004613895
  0.001633512 -0.005425987
  0.002135873 -0.00624691
  0.002708066 -0.007075126
  0.003348251 -0.007909935
  0.004053352 -0.00875213
  0.004820286 -0.009604505
  0.00565219 -0.01046891
  0.006556768 -0.01134562
  0.007543107 -0.0122345
  0.008621792 -0.01313479
  0.009804976 -0.0140447
  0.01110571 -0.0149624
  0.01253698 -0.01588923
  0.0141128 -0.01682793
  0.01584827 -0.01778271
  0.01775974 -0.01876028
  0.019869 -0.01976902
  0.02220561 -0.02081729
  0.02480083 -0.02191609
  0.02768303 -0.02308008
  0.0308741 -0.02431878
  0.03438871 -0.02562818
  0.03822999 -0.02699945
  0.04239501 -0.02842227
  0.04687363 -0.02988305
  0.05163906 -0.03136398
  0.05665293 -0.03284555
  0.06187521 -0.03430739
  0.06727448 -0.03573296
  0.07283893 -0.03711444
  0.07856522 -0.03845449
  0.08444177 -0.03975716
  0.09044629 -0.04102492
  0.0965547 -0.04225656
  0.1027501 -0.04345246
  0.1090254 -0.04461576
  0.1153765 -0.04575084
  0.1217918 -0.04686133
  0.1282497 -0.04794933
  0.1347248 -0.04901113
  0.1412 -0.05004083
  0.1476692 -0.05103444
  0.154136 -0.05199043
  0.1606078 -0.05290962
  0.167092 -0.05379297
  0.1735964 -0.05464136
  0.1801279 -0.05545723
  0.186691 -0.05624445
  0.1932865 -0.05700658
  0.1999119 -0.05774676
  0.2065621 -0.05846672
  0.2132319 -0.05916745
  0.2199163 -0.05985001
  0.2266107 -0.0605155
  0.2333107 -0.06116389
  0.2400124 -0.06179444
  0.2467122 -0.06240647
  0.2534064 -0.0629993
  0.2600923 -0.06357175
  0.2667679 -0.06412215
  0.2734331 -0.06464895
  0.2800888 -0.06515074
  0.2867371 -0.06562653
  0.293381 -0.06607613
  0.3000238 -0.06649943
  0.306669 -0.06689632
  0.3133208 -0.06726673
  0.3199831 -0.06761177
  0.3266589 -0.06793313
  0.3333499 -0.06823243
  0.3400565 -0.06851125
  0.3467782 -0.068771
  0.3535131 -0.06901269
  0.3602588 -0.06923729
  0.3670119 -0.06944578
  0.3737683 -0.0696391
  0.3805235 -0.06981726
  0.3872735 -0.06997926
  0.3940158 -0.07012412
  0.4007485 -0.0702509
  0.4074713 -0.07035871
  0.4141841 -0.07044652
  0.420887 -0.07051328
  0.4275798 -0.07055791
  0.4342622 -0.07057938
  0.4409338 -0.07057666
  0.4475945 -0.07054885
  0.4542452 -0.07049505
  0.4608881 -0.07041436
  0.4675264 -0.07030583
  0.4741644 -0.07016878
  0.480806 -0.07000383
  0.4874537 -0.06981187
  0.4941086 -0.06959383
  0.5007699 -0.06935065
  0.5074357 -0.06908315
  0.5141029 -0.06879147
  0.5207685 -0.0684757
  0.5274293 -0.06813599
  0.5340817 -0.06777251
  0.5407224 -0.067385
  0.547348 -0.06697211
  0.5539559 -0.06653234
  0.5605441 -0.06606426
  0.567111 -0.06556641
  0.5736558 -0.06503723
  0.580178 -0.0644749
  0.5866778 -0.06387758
  0.5931561 -0.06324337
  0.5996141 -0.06257032
  0.6060539 -0.06185689
  0.6124778 -0.06110217
  0.6188889 -0.06030517
  0.6252905 -0.05946478
  0.6316869 -0.05857969
  0.6380823 -0.05764929
  0.644481 -0.05667419
  0.6508858 -0.05565518
  0.6572989 -0.05459315
  0.663721 -0.05348916
  0.6701525 -0.05234455
  0.6765942 -0.05116078
  0.683048 -0.04993909
  0.6895171 -0.04868053
  0.6960056 -0.04738601
  0.702518 -0.04605738
  0.7090575 -0.04469748
  0.7156249 -0.04330969
  0.7222184 -0.04189803
  0.7288341 -0.04046756
  0.735467 -0.03902466
  0.7421115 -0.03757608
  0.7487616 -0.0361288
  0.7554106 -0.03468957
  0.7620523 -0.03326296
  0.7686823 -0.03185217
  0.7752986 -0.03045982
  0.7819013 -0.029088
  0.7884926 -0.02773779
  0.7950767 -0.02640954
  0.8016594 -0.02510325
  0.8082488 -0.02381847
  0.8148527 -0.02255286
  0.8214746 -0.02130332
  0.8281129 -0.02006766
  0.8347609 -0.01884488
  0.8414093 -0.0176365
  0.8480507 -0.0164447
  0.8546797 -0.01527118
  0.8612931 -0.01411774
  0.8678861 -0.0129874
  0.8744504 -0.01188383
  0.8809748 -0.01081142
  0.8874492 -0.009777374
  0.8938709 -0.008788901
  0.9002438 -0.00785166
  0.9065759 -0.006969414
  0.9128732 -0.006145189
  0.9191386 -0.00538234
  0.9253752 -0.004684318
  0.9315931 -0.004053988
  0.9378111 -0.003492833
  0.9440492 -0.00299524
  0.9503173 -0.002553219
  0.9566104 -0.002157628
  0.9628959 -0.001796767
  0.9691101 -0.00146268
  0.9751774 -0.001155232
  0.9810209 -0.0008724218
  0.986546 -0.0006098864
  0.9916648 -0.000371261
  0.996329 -0.0001637432
  1.0 0.0
