FX 78-PK-188/20
  1.0 0.0
  0.9964019 0.0007393122
  0.9918465 0.001686325
  0.9868597 0.002721883
  0.981485 0.003837559
  0.9757862 0.005037623
  0.969837 0.006306986
  0.9637183 0.007630963
  0.9574962 0.009001765
  0.9512115 0.01041592
  0.9448865 0.01187291
  0.9385294 0.013372
  0.9321448 0.01491029
  0.925738 0.01648455
  0.9193144 0.01809158
  0.9128792 0.01972818
  0.9064374 0.0213919
  0.899994 0.02308133
  0.8935531 0.02479515
  0.8871182 0.02653281
  0.8806895 0.02829505
  0.8742635 0.03008373
  0.8678331 0.0319006
  0.8613912 0.0337453
  0.8549335 0.0356165
  0.8484586 0.03751208
  0.8419671 0.0394295
  0.8354603 0.04136614
  0.8289399 0.04331922
  0.8224081 0.04528609
  0.8158671 0.04726497
  0.8093195 0.04925427
  0.8027673 0.05125245
  0.7962124 0.05325825
  0.7896563 0.05527099
  0.7830996 0.05729026
  0.7765423 0.05931591
  0.7699835 0.06134789
  0.7634234 0.06338567
  0.7568638 0.06542818
  0.750308 0.06747379
  0.7437613 0.06951983
  0.7372288 0.07156106
  0.7307159 0.07359162
  0.7242278 0.0756057
  0.7177698 0.07759767
  0.7113462 0.07956164
  0.7049588 0.08149214
  0.6986065 0.08338477
  0.6922856 0.0852361
  0.6859901 0.08704367
  0.6797143 0.08880656
  0.6734537 0.0905239
  0.6672058 0.09219433
  0.6609695 0.0938161
  0.6547453 0.09538707
  0.6485338 0.09690496
  0.6423345 0.0983678
  0.6361457 0.09977392
  0.6299644 0.1011219
  0.6237867 0.1024108
  0.6176084 0.1036411
  0.6114256 0.1048134
  0.6052341 0.1059284
  0.5990303 0.1069863
  0.59281 0.1079876
  0.5865702 0.1089337
  0.5803087 0.1098261
  0.5740253 0.1106665
  0.5677211 0.111456
  0.5613988 0.1121956
  0.5550619 0.1128858
  0.5487133 0.1135264
  0.5423542 0.1141176
  0.535985 0.1146598
  0.5296046 0.1151532
  0.5232111 0.1155988
  0.5168026 0.115998
  0.5103775 0.116352
  0.5039345 0.1166621
  0.4974728 0.1169295
  0.490992 0.1171555
  0.4844925 0.1173414
  0.477976 0.1174887
  0.4714452 0.1175988
  0.4649041 0.1176732
  0.4583576 0.1177126
  0.4518096 0.1177169
  0.4452625 0.1176856
  0.4387172 0.1176184
  0.4321727 0.1175152
  0.425627 0.1173758
  0.4190783 0.1172008
  0.4125256 0.1169905
  0.4059688 0.1167456
  0.3994087 0.1164663
  0.3928468 0.1161532
  0.3862844 0.1158063
  0.3797227 0.1154257
  0.3731625 0.1150116
  0.3666043 0.114564
  0.3600482 0.1140831
  0.3534939 0.113569
  0.3469405 0.1130217
  0.3403865 0.1124413
  0.3338302 0.1118277
  0.3272699 0.1111814
  0.3207056 0.1105032
  0.3141393 0.1097943
  0.3075747 0.1090559
  0.3010171 0.1082889
  0.2944722 0.1074927
  0.2879439 0.1066664
  0.2814351 0.1058089
  0.2749471 0.1049191
  0.2684801 0.1039956
  0.2620335 0.103037
  0.2556055 0.1020416
  0.2491936 0.1010076
  0.2427945 0.09993345
