 NLR-7223-62 AIRFOIL
  1.0 0.0
  0.9970842 0.0003199164
  0.9934253 0.0007485186
  0.9893971 0.001255436
  0.9849488 0.001857881
  0.9800432 0.002563931
  0.9746686 0.003358611
  0.9688487 0.00421079
  0.9626543 0.00510135
  0.9561994 0.006015584
  0.9496104 0.006938991
  0.9429882 0.007861908
  0.9363839 0.008782083
  0.9298065 0.009703076
  0.9232547 0.0106297
  0.9167256 0.01156696
  0.9102142 0.01252007
  0.9037139 0.01349389
  0.8972173 0.01448997
  0.890718 0.0155086
  0.8842112 0.0165499
  0.8776936 0.01761383
  0.8711631 0.01869912
  0.8646173 0.01979911
  0.8580527 0.02090528
  0.8514656 0.02200908
  0.8448516 0.02310405
  0.8382085 0.02419117
  0.8315356 0.02527284
  0.8248343 0.02635122
  0.818108 0.02742802
  0.8113646 0.0285038
  0.8046181 0.02957815
  0.7978883 0.03064975
  0.7911993 0.03171439
  0.7845731 0.0327621
  0.7780255 0.03378324
  0.7715672 0.03476965
  0.7652036 0.03571463
  0.7589338 0.03661281
  0.752747 0.03746061
  0.7466237 0.03825582
  0.7405363 0.038997
  0.7344502 0.03968416
  0.7283305 0.04032385
  0.7221495 0.04092373
  0.7158877 0.04149021
  0.7095345 0.04202886
  0.7030891 0.0425443
  0.6965571 0.04304023
  0.6899486 0.04352039
  0.6832781 0.04398868
  0.6765657 0.04444911
  0.6698346 0.04490381
  0.6631036 0.04535041
  0.6563804 0.04578655
  0.6496646 0.04621056
  0.6429513 0.04662123
  0.6362329 0.04701907
  0.6295036 0.04740545
  0.6227598 0.04778174
  0.6160025 0.04814944
  0.60924 0.04850972
  0.602484 0.04886171
  0.5957407 0.04920291
  0.589008 0.04953157
  0.5822759 0.04984749
  0.5755281 0.05015136
  0.5687543 0.05044666
  0.5619699 0.05073687
  0.5552028 0.05101999
  0.5484584 0.0512917
  0.541713 0.05154977
  0.5349417 0.0517981
  0.5281532 0.05204132
  0.5213785 0.05227817
  0.5146282 0.05250439
  0.5078847 0.05271741
  0.5011232 0.05291957
  0.4943405 0.05311444
  0.4875572 0.05330349
  0.4807904 0.05348356
  0.4740327 0.05365185
  0.4672663 0.05380959
  0.4604841 0.05395913
  0.453692 0.05410197
  0.4469022 0.0542379
  0.4401267 0.05436614
  0.4333696 0.05448442
  0.4266182 0.05459027
  0.4198491 0.05468432
  0.4130553 0.0547709
  0.4062571 0.05485329
  0.3994802 0.05492885
  0.392727 0.05499333
  0.3859802 0.05504506
  0.3792238 0.05508539
  0.3724531 0.05511591
  0.3656735 0.05513848
  0.3588997 0.05515434
  0.3521443 0.05516134
  0.3454046 0.05515635
  0.3386663 0.05513833
  0.3319196 0.05510879
  0.3251653 0.055069
  0.318409 0.05501963
  0.3116589 0.05496111
  0.3049207 0.05489226
  0.2981909 0.05481128
  0.2914613 0.05471795
  0.2847325 0.05461344
  0.2780141 0.05449784
  0.2713102 0.05436931
  0.2646137 0.05422628
  0.2579178 0.05406925
  0.2512253 0.05389907
  0.2445431 0.05371519
  0.2378742 0.05351635
  0.2312161 0.0533015
  0.2245622 0.05306976
  0.2179061 0.05282172
  0.2112582 0.05255994
  0.2046367 0.05228333
  0.1980396 0.05198789
  0.1914497 0.05167182
  0.1848681 0.05133748
  0.1783174 0.05098516
  0.1717996 0.05060942
  0.1652906 0.05020807
  0.1587855 0.04978743
  0.1523159 0.04935115
  0.1459315 0.04889989
  0.139671 0.0484289
  0.1335133 0.04792611
  0.1274226 0.04739936
  0.1214992 0.04688047
  0.1158063 0.04632937
  0.1102913 0.04576489
  0.1050412 0.04518919
  0.1000522 0.04459201
  0.09531945 0.04394729
  0.09065746 0.04321732
  0.0859054 0.04238116
  0.08106007 0.04145645
  0.07621419 0.04046252
  0.07139296 0.03939311
  0.06660566 0.03825541
  0.06190559 0.03706712
  0.05734279 0.03583752
  0.05294168 0.03457377
  0.048733 0.03328899
