S8025 (8%)
  0.2450847 -0.03531401
  0.2512972 -0.03529536
  0.2575135 -0.03526679
  0.2637249 -0.03522755
  0.2699289 -0.03517656
  0.276129 -0.03511281
  0.2823323 -0.03503637
  0.2885436 -0.03494837
  0.2947638 -0.03484999
  0.3009896 -0.03474236
  0.307216 -0.0346257
  0.3134406 -0.03449982
  0.3196633 -0.03436444
  0.325887 -0.0342194
  0.332115 -0.03406521
  0.3383486 -0.03390258
  0.3445868 -0.03373229
  0.350827 -0.033555
  0.3570662 -0.03337067
  0.3633033 -0.03317908
  0.369539 -0.03297995
  0.375776 -0.03277312
  0.3820166 -0.03255902
  0.3882618 -0.03233824
  0.3945108 -0.03211144
  0.4007611 -0.03187921
  0.4070101 -0.03164151
  0.4132569 -0.0313981
  0.4195019 -0.03114868
  0.4257471 -0.03089298
  0.431995 -0.03063128
  0.4382467 -0.03036408
  0.4445021 -0.03009197
  0.4507594 -0.02981551
  0.4570164 -0.02953475
  0.4632712 -0.02924942
  0.4695226 -0.02895922
  0.4757704 -0.02866382
  0.482015 -0.02836295
  0.4882574 -0.02805642
  0.4944992 -0.02774397
  0.5007427 -0.02742535
  0.5069905 -0.02710066
  0.5132442 -0.02677064
  0.5195038 -0.02643614
  0.525768 -0.02609813
  0.5320336 -0.02575735
  0.5382982 -0.02541378
  0.5445606 -0.02506721
  0.5508214 -0.02471734
  0.5570828 -0.0243639
  0.5633472 -0.02400719
  0.5696158 -0.02364775
  0.5758888 -0.02328616
  0.5821648 -0.02292308
  0.5884419 -0.02255874
  0.5947186 -0.02219316
  0.6009942 -0.02182629
  0.6072687 -0.02145808
  0.6135425 -0.02108845
  0.619816 -0.02071737
  0.6260897 -0.0203448
  0.6323636 -0.01997074
  0.6386378 -0.0195955
  0.6449123 -0.01921976
  0.6511871 -0.01884422
  0.6574621 -0.01846956
  0.6637371 -0.0180959
  0.6700121 -0.01772265
  0.6762872 -0.01734914
  0.6825625 -0.01697472
  0.6888386 -0.01659919
  0.6951156 -0.01622307
  0.7013933 -0.01584691
  0.7076713 -0.01547131
  0.7139487 -0.01509662
  0.7202255 -0.01472295
  0.726502 -0.01435035
  0.7327795 -0.0139788
  0.7390594 -0.01360808
  0.7453418 -0.01323788
  0.7516251 -0.01286797
  0.7579062 -0.01249836
  0.7641822 -0.01212974
  0.7704528 -0.01176296
  0.7767204 -0.01139872
  0.7829894 -0.01103709
  0.7892633 -0.01067718
  0.7955423 -0.01031813
  0.8018231 -0.009959364
  0.8081009 -0.009601428
  0.8143728 -0.00924543
  0.8206388 -0.008892322
  0.826901 -0.008542588
  0.8331623 -0.008196076
  0.839426 -0.007852576
  0.8456948 -0.007511737
  0.8519696 -0.007172748
  0.8582477 -0.006834856
  0.8645225 -0.006497857
  0.8707886 -0.006163268
  0.8770458 -0.005832842
  0.8832998 -0.005507573
