AG46c -03f
  1.00009 0.015848
  0.9970639 0.01600805
  0.9927972 0.01624517
  0.9876816 0.01654439
  0.9820813 0.01688143
  0.9762963 0.01723
  0.9703694 0.01758294
  0.9643392 0.0179349
  0.9582591 0.01828485
  0.9521605 0.01863639
  0.9460477 0.01899172
  0.9399217 0.0193492
  0.9337905 0.01970675
  0.9276617 0.02006306
  0.9215363 0.0204174
  0.9154123 0.02076957
  0.9092887 0.02111946
  0.9031657 0.02146686
  0.8970445 0.02181152
  0.8909259 0.02215311
  0.884809 0.0224913
  0.8786903 0.02282605
  0.8725687 0.02315791
  0.8664483 0.02348713
  0.860334 0.02381275
  0.8542222 0.02413371
  0.8481035 0.02445072
  0.8419773 0.02476564
  0.8358545 0.02507867
  0.8297414 0.02538768
  0.8236313 0.02569135
  0.8175149 0.0259909
  0.8113934 0.02628766
  0.805274 0.02658132
  0.7991581 0.02687094
  0.7930408 0.02715654
  0.7869199 0.02743891
  0.7807995 0.02771829
  0.774683 0.02799392
  0.768568 0.0282652
  0.7624512 0.02853239
  0.7563351 0.02879578
  0.7502255 0.02905485
  0.7441203 0.02930881
  0.7380114 0.02955811
  0.7319087 0.02980427
  0.7258517 0.03004641
  0.7198876 0.03027744
  0.7140525 0.03049153
  0.7084493 0.03069981
  0.7033182 0.03089833
  0.6986597 0.03118921
  0.6935589 0.03165496
  0.688003 0.03212128
  0.6822026 0.03262299
  0.676279 0.03313699
  0.6702925 0.03364595
  0.6642768 0.03414663
  0.6582744 0.03463992
  0.6523231 0.03513752
  0.6463692 0.03561255
  0.640352 0.03609232
  0.6343106 0.03657445
  0.628252 0.03704859
  0.6221722 0.03751655
  0.6160796 0.03798015
  0.6099862 0.03843865
  0.6038961 0.03889119
  0.5978083 0.0393373
  0.5917217 0.03977654
  0.5856346 0.04020879
  0.579546 0.04063432
  0.5734555 0.04105336
  0.5673642 0.04146594
  0.5612752 0.04187181
  0.5551893 0.0422702
  0.5490995 0.04266115
  0.5430056 0.04304649
  0.5369173 0.04342523
  0.5308334 0.04379575
  0.5247484 0.04415838
  0.5186602 0.04451343
  0.5125696 0.04486126
  0.5064791 0.04520208
  0.5003912 0.04553546
  0.4943058 0.04586073
  0.4882207 0.0461777
  0.4821348 0.04648653
  0.4760492 0.04678721
  0.4699644 0.0470795
  0.4638788 0.04736333
  0.4577908 0.04763902
  0.4517028 0.04790686
  0.4456187 0.0481663
  0.4395381 0.04841642
  0.4334562 0.04865706
  0.427371 0.04888895
  0.4212867 0.04911233
  0.4152068 0.04932636
  0.4091294 0.04953024
  0.4030506 0.04972413
  0.3969704 0.04990846
  0.3908926 0.050083
  0.384818 0.05024705
  0.3787434 0.05040029
  0.3726667 0.05054315
  0.3665902 0.0506759
  0.3605172 0.05079797
  0.3544476 0.05090869
  0.3483796 0.05100775
  0.3423123 0.05109505
  0.3362465 0.0511704
  0.3301826 0.0512335
  0.3241206 0.05128406
  0.31806 0.05132189
  0.3120014 0.05134677
  0.3059455 0.05135833
  0.2998928 0.05135611
  0.2938438 0.05133965
  0.2877977 0.05130844
  0.2817533 0.05126211
  0.2757102 0.05120059
  0.2696703 0.05112375
  0.2636352 0.05103096
  0.257605 0.05092145
  0.2515783 0.05079469
  0.2455545 0.05065036
  0.2395343 0.05048808
  0.2335183 0.0503074
  0.2275072 0.05010781
  0.2215012 0.04988872
  0.2155008 0.0496495
  0.2095063 0.04938949
  0.2035178 0.049108
  0.1975353 0.04880436
  0.1915596 0.04847795
  0.1855918 0.04812804
  0.179633 0.04775368
  0.1736829 0.04735385
  0.1677417 0.04692764
  0.1618101 0.04647423
  0.1558898 0.04599264
  0.1499817 0.04548169
  0.1440865 0.04494013
  0.1382054 0.04436676
  0.132341 0.04376037
  0.1264958 0.04311923
  0.1206703 0.04244144
  0.1148656 0.04172516
  0.1090846 0.04096889
  0.1033326 0.04017074
  0.09761441 0.03932819
  0.09193372 0.03843847
  0.08629453 0.03749853
  0.08070165 0.03650542
  0.07516228 0.03545585
  0.06968708 0.03434723
  0.06428848 0.03317606
  0.05897594 0.03193751
  0.0537566 0.03062682
  0.04864352 0.02924105
  0.04365784 0.0277804
  0.03882831 0.02624564
