FX 76-MP-160
  1.0 0.0
  0.996768 0.002444745
  0.9921948 0.004217397
  0.987505 0.006009912
  0.9824862 0.00778607
  0.9771942 0.009633366
  0.9716926 0.01148751
  0.9659472 0.01333659
  0.9599479 0.01526712
  0.9537322 0.0173117
  0.9473192 0.01939997
  0.9407105 0.02148756
  0.9339275 0.02362651
  0.9269974 0.02587647
  0.9199249 0.02820866
  0.9127095 0.03055311
  0.9053718 0.03288689
  0.8979464 0.03525934
  0.8904518 0.03772236
  0.8828755 0.04025659
  0.8752055 0.04280498
  0.8674498 0.0453257
  0.8596393 0.04784828
  0.8517944 0.0504224
  0.8439116 0.05307563
  0.8359683 0.05577503
  0.8279504 0.05847422
  0.8198638 0.06114621
  0.8117344 0.06381802
  0.8035861 0.06652649
  0.7954311 0.06929391
  0.7872543 0.07209397
  0.7790237 0.07489446
  0.7706957 0.07767254
  0.7622485 0.08044113
  0.7537135 0.08321432
  0.7451801 0.08598711
  0.736752 0.08871798
  0.7284651 0.09136244
  0.7202841 0.09390137
  0.7121259 0.09634125
  0.7039232 0.09871013
  0.6956595 0.1010246
  0.6873728 0.1032856
  0.6791319 0.1054739
  0.6709686 0.1075677
  0.6628626 0.1095598
  0.6547482 0.1114548
  0.6465497 0.1132764
  0.638233 0.1150468
  0.6298207 0.1167768
  0.6213946 0.1184617
  0.6130348 0.1200751
  0.6047593 0.1215975
  0.5965253 0.1230218
  0.5882436 0.1243553
  0.5798374 0.1256237
  0.5712866 0.1268469
  0.5626431 0.1280363
  0.5540191 0.1291823
  0.5454889 0.1302582
  0.5370467 0.1312468
  0.5286154 0.1321403
  0.520078 0.1329524
  0.5113603 0.1337116
  0.5024718 0.1344412
  0.4935272 0.1351557
  0.4846796 0.1358344
  0.47599 0.136447
  0.4674185 0.1369734
  0.458849 0.137405
  0.4501664 0.1377615
  0.4413317 0.1380659
  0.4324053 0.1383397
  0.4235355 0.1385865
  0.4148244 0.1387803
  0.4062648 0.1388977
  0.3977604 0.1389188
  0.3891726 0.1388467
  0.3804234 0.1387049
  0.3715403 0.1385208
  0.3626724 0.1383196
  0.3539779 0.1380853
  0.3454883 0.1377883
  0.3371225 0.1373987
  0.3287276 0.1369
  0.3201891 0.1363102
  0.311504 0.1356587
  0.3028074 0.1349854
  0.2942891 0.134292
  0.2860103 0.1335478
  0.2779006 0.1327149
  0.2698031 0.1317612
  0.261584 0.130696
  0.2532262 0.1295506
  0.2448597 0.1283769
  0.236685 0.127192
  0.2287721 0.1259663
  0.2210523 0.1246544
  0.2133687 0.123214
  0.205596 0.1216503
  0.1977321 0.1199997
  0.1899209 0.1183266
  0.1823488 0.1166504
  0.1750604 0.1149372
  0.1679745 0.1131321
  0.1609406 0.1111897
  0.1538623 0.1091189
  0.1467625 0.1069659
  0.1397842 0.1048029
  0.1330681 0.1026427
  0.1266281 0.1004506
  0.1203842 0.09816929
  0.1142216 0.0957679
  0.1080954 0.09326944
  0.1020557 0.0907356
  0.09622391 0.08823343
  0.09068335 0.08576426
  0.08542659 0.08329448
  0.08039444 0.08077758
  0.07551805 0.07820308
  0.07078 0.07560181
  0.06621212 0.07302837
  0.0618749 0.07053169
  0.05781057 0.06810835
  0.0540135 0.06573216
  0.05045373 0.06336975
  0.04708868 0.06100109
  0.0438831 0.05863824
  0.04082413 0.05630581
  0.03791253 0.05403402
  0.03515876 0.0518471
  0.03257852 0.04974223
  0.03017315 0.04770547
  0.0279341 0.04572048
  0.02584905 0.04377128
  0.0239007 0.04184922
  0.02206965 0.03995754
  0.0203419 0.03810207
  0.01870745 0.03628957
  0.01715888 0.03452695
  0.01569154 0.03281922
  0.01430719 0.03116395
  0.01300729 0.02955623
  0.01179095 0.02799064
  0.01065599 0.02646181
  0.009599542 0.02496478
  0.008617646 0.02349557
  0.007703706 0.02205326
  0.006851414 0.0206377
  0.006055339 0.01924881
  0.005310745 0.01788652
  0.004613464 0.01655075
  0.003959934 0.01524137
  0.003350181 0.01395718
  0.002787182 0.01269633
  0.002273402 0.01145744
  0.001810666 0.01023952
  0.001400184 0.00904183
  0.001042596 0.007863865
  0.0007380462 0.006705725
  0.0004861826 0.005568258
  0.0002862198 0.004450814
  0.000137362 0.00335136
  3.914437e-05 0.002266883
  -8.307901e-06 0.0011936
  -4.044077e-06 0.0001270199
  5.393855e-05 -0.0009376624
  0.000168724 -0.002002737
  0.0003445811 -0.003068343
  0.0005869033 -0.004133078
  0.0009020221 -0.005193762
  0.001296554 -0.006245375
  0.001770913 -0.007285564
  0.002319274 -0.008315579
  0.002934581 -0.009336932
  0.003608625 -0.01035128
  0.004331939 -0.0113604
  0.005096918 -0.01236418
  0.005905714 -0.01335585
  0.00676313 -0.01432711
  0.007674858 -0.01526949
  0.008647774 -0.01617423
  0.009690372 -0.01703215
  0.01081045 -0.01783769
  0.01200779 -0.018599
  0.01327938 -0.01932761
  0.01462013 -0.02003625
  0.01602188 -0.02073922
  0.01747211 -0.02145252
  0.01896016 -0.02218296
  0.02048572 -0.02291879
  0.02205104 -0.02364532
  0.02366043 -0.02434702
  0.02532106 -0.02500764
  0.02704384 -0.02561016
  0.02884002 -0.02614744
  0.03071531 -0.02663167
  0.03267384 -0.02707865
  0.03471774 -0.02750695
  0.0368455 -0.02793894
  0.03904983 -0.02840098
  0.04132269 -0.02890222
  0.04366155 -0.02942642
  0.04606617 -0.02995283
  0.04853974 -0.03045782
  0.05109062 -0.03091491
  0.0537336 -0.03129871
  0.05648346 -0.03161322
  0.05935251 -0.03187808
  0.06235053 -0.03211766
  0.06548189 -0.03236284
  0.06874108 -0.03265076
  0.07211553 -0.03298952
  0.07559476 -0.03335201
  0.07917294 -0.03370431
  0.08285264 -0.0340074
  0.08664905 -0.0342197
  0.09058636 -0.03433658
  0.09468638 -0.03438641
  0.09896339 -0.03440566
  0.103417 -0.03444132
  0.1080243 -0.03453398
  0.1127514 -0.03466079
  0.1175718 -0.03477722
  0.122474 -0.03483354
  0.1274675 -0.03478033
  0.1325769 -0.03462239
  0.137823 -0.0344045
  0.1432143 -0.03418002
  0.1487408 -0.03401082
  0.1543722 -0.03391579
  0.1600778 -0.03384809
  0.1658393 -0.03375178
  0.1716552 -0.03356731
  0.1775418 -0.03326538
  0.1835196 -0.03288755
  0.1896005 -0.03248903
  0.1957844 -0.03213166
  0.2020562 -0.03186194
  0.2083927 -0.03164732
  0.2147768 -0.03143312
  0.2212015 -0.03116156
  0.2276708 -0.0307832
  0.2341972 -0.03031957
  0.2407902 -0.02982328
  0.2474524 -0.02935078
  0.2541785 -0.02895796
  0.260954 -0.02864089
  0.2677652 -0.02834883
  0.2746035 -0.02802797
  0.2814662 -0.02762373
  0.2883586 -0.02712298
  0.295289 -0.02657187
  0.3022637 -0.02602268
  0.3092859 -0.02552994
  0.3163546 -0.02512765
  0.3234635 -0.02478071
  0.3306059 -0.02443923
  0.3377759 -0.02405181
  0.3449692 -0.02357408
  0.3521861 -0.02302438
  0.359429 -0.02245106
  0.3667005 -0.02190374
  0.3740031 -0.02143145
  0.3813367 -0.02103919
  0.3886974 -0.02068262
  0.3960806 -0.02031403
  0.4034807 -0.01988485
  0.4108928 -0.01936928
  0.4183159 -0.01880348
  0.4257501 -0.01823429
  0.4331957 -0.01770899
  0.4406531 -0.01726726
  0.4481195 -0.0168898
  0.4555912 -0.01653006
  0.4630648 -0.01614117
  0.4705383 -0.01567735
  0.4780123 -0.01513347
  0.4854902 -0.01455317
  0.4929745 -0.01398322
  0.5004671 -0.01347063
  0.5079676 -0.01304383
  0.5154729 -0.01266889
  0.5229813 -0.01229875
  0.5304936 -0.01188612
  0.5380134 -0.01138863
  0.5455481 -0.01081851
  0.5531026 -0.01022059
  0.5606762 -0.009641233
  0.5682624 -0.009126803
  0.5758485 -0.008685231
  0.5834236 -0.008273212
  0.5909852 -0.007843821
  0.5985395 -0.007349992
  0.6061013 -0.006765837
  0.6136862 -0.006125028
  0.6212978 -0.005472875
  0.6289267 -0.004856696
  0.6365495 -0.004311865
  0.6441386 -0.003810105
  0.6516793 -0.003303871
  0.6591728 -0.002746213
  0.6666345 -0.002098143
  0.674088 -0.001379374
  0.6815474 -0.0006371668
  0.689013 7.960755e-05
  0.6964704 0.0007262757
  0.703893 0.001316247
  0.7112564 0.001897996
  0.718544 0.00251885
  0.7257469 0.003219218
  0.7328681 0.003980172
  0.739921 0.00474567
  0.7469248 0.005462673
  0.7539036 0.006083781
  0.7608757 0.00661667
  0.7678374 0.007113749
  0.7747622 0.007626542
  0.7816039 0.008199466
  0.788318 0.008813648
  0.7948937 0.009405179
  0.8013515 0.009918439
  0.8077356 0.01030744
  0.8140944 0.01058357
  0.820447 0.01080681
  0.8267768 0.01103647
  0.8330347 0.01132529
  0.8391632 0.01165761
  0.8451411 0.01196563
  0.8509843 0.01219038
  0.856735 0.01228385
  0.8624413 0.01226005
  0.8681234 0.01218193
  0.8737668 0.01211196
  0.879327 0.01210459
  0.8847522 0.01213866
  0.890023 0.0121461
  0.8951521 0.01206822
  0.9001728 0.01186064
  0.905123 0.01155214
  0.9100179 0.01121008
  0.9148485 0.01089907
  0.9195862 0.01066674
  0.9241999 0.01047136
  0.9286818 0.01024188
  0.9330457 0.009916759
  0.9373199 0.009462994
  0.9415345 0.008935572
  0.9457017 0.008407143
  0.949816 0.007946115
  0.9538558 0.007557869
  0.9578037 0.007160108
  0.9616625 0.006671174
  0.9654539 0.00603896
  0.9692164 0.005333129
  0.9729787 0.004659797
  0.9767498 0.004096773
  0.9805146 0.003547553
  0.9842772 0.002849398
  0.9880908 0.001965516
  0.9920258 0.001086318
  0.9961749 0.0006568548
  1.0 0.0
