OAF139 AIRFOIL
  0.09457251 -0.06142213
  0.09933299 -0.06258421
  0.1042551 -0.06372741
  0.1093328 -0.06484683
  0.1145593 -0.06593776
  0.1199274 -0.06699587
  0.1254302 -0.06801688
  0.1310607 -0.06899681
  0.1368127 -0.06993217
  0.1426812 -0.07082023
  0.1486618 -0.07165906
  0.1547504 -0.07244717
  0.1609435 -0.07318351
  0.1672387 -0.07386796
  0.1736339 -0.0745013
  0.1801278 -0.07508476
  0.1867197 -0.07562005
  0.1934076 -0.07610988
  0.2001838 -0.07655738
  0.2070334 -0.07696589
  0.2139345 -0.0773367
  0.220867 -0.07766527
  0.2278188 -0.0779467
  0.2347871 -0.07817671
  0.2417774 -0.07835314
  0.2487979 -0.07847631
  0.2558581 -0.0785465
  0.2629686 -0.07856381
  0.2701397 -0.07853068
  0.2773765 -0.07845187
  0.2846757 -0.07833257
  0.2920254 -0.07817816
  0.2994085 -0.07798996
  0.3068129 -0.07776649
  0.3142339 -0.0775061
  0.3216745 -0.07720717
  0.3291421 -0.07687002
  0.3366419 -0.07649605
  0.3441755 -0.07608681
  0.3517412 -0.075644
  0.3593353 -0.07516876
  0.366955 -0.07466198
  0.3745992 -0.07412447
  0.382268 -0.07355702
  0.3899625 -0.07296052
  0.3976832 -0.07233597
  0.4054302 -0.07168442
  0.4132032 -0.07100699
  0.4210014 -0.07030476
  0.4288239 -0.06957878
  0.4366702 -0.06883014
  0.4445394 -0.06805994
  0.4524311 -0.06726912
  0.4603446 -0.06645862
  0.4682794 -0.06562936
  0.4762354 -0.06478229
  0.484212 -0.06391834
  0.4922089 -0.06303847
  0.5002253 -0.06214369
  0.5082604 -0.06123498
  0.5163135 -0.0603132
  0.5243837 -0.05937919
  0.5324702 -0.05843377
  0.5405726 -0.05747776
  0.5486901 -0.0565119
  0.5568221 -0.05553692
  0.5649681 -0.05455359
  0.5731272 -0.05356261
  0.5812988 -0.05256463
  0.5894821 -0.05156029
  0.5976761 -0.05055027
  0.6058802 -0.04953511
  0.6140934 -0.0485153
  0.6223153 -0.04749125
  0.6305455 -0.04646338
  0.6387838 -0.04543216
  0.6470297 -0.04439809
  0.6552822 -0.04336172
  0.6635405 -0.04232359
  0.6718033 -0.04128412
  0.6800691 -0.04024371
  0.6883364 -0.03920279
  0.6966037 -0.03816183
  0.7048693 -0.03712127
  0.7131318 -0.03608158
  0.72139 -0.0350432
  0.7296428 -0.03400661
  0.7378893 -0.03297229
  0.7461292 -0.03194064
  0.7543618 -0.030912
  0.7625865 -0.02988668
  0.7708019 -0.02886506
  0.7790063 -0.0278477
  0.7871982 -0.02683536
  0.795376 -0.02582879
  0.8035384 -0.02482872
  0.8116839 -0.02383594
  0.8198108 -0.02285123
  0.8279169 -0.02187543
  0.8359998 -0.0209095
  0.8440561 -0.01995443
  0.852082 -0.01901138
  0.8600729 -0.01808178
  0.8680239 -0.0171671
  0.8759291 -0.0162689
  0.8837815 -0.0153889
  0.8915729 -0.01452893
  0.8992935 -0.01369108
  0.9069322 -0.01287759
  0.9144765 -0.01209063
  0.9219117 -0.01133241
  0.9292214 -0.01060512
  0.9363868 -0.009911044
  0.9433881 -0.009252327
  0.9502047 -0.008630926
  0.9568163 -0.008048421
  0.9632033 -0.007505733
  0.9693475 -0.00700328
  0.975234 -0.006541526
  0.9808526 -0.006120242
  0.9861972 -0.005737686
  0.9912654 -0.005391917
  0.9960595 -0.005080839
  1.0 -0.004837
