NACA CYH
  0.1951018 0.000370019
  0.2019782 0.0002740342
  0.2088705 0.0001933747
  0.2157787 0.000126885
  0.2227025 7.342003e-05
  0.2296415 3.181682e-05
  0.2365955 8.942562e-07
  0.2435638 -2.054692e-05
  0.2505461 -3.372386e-05
  0.2575417 -3.987128e-05
  0.2645499 -4.02408e-05
  0.27157 -3.610024e-05
  0.2786012 -2.873251e-05
  0.2856425 -1.943444e-05
  0.2926931 -9.515283e-06
  0.2997517 -2.950106e-07
  0.3068174 7.124933e-06
  0.3138889 1.264935e-05
  0.3209653 1.646506e-05
  0.3280455 1.876074e-05
  0.3351287 1.972652e-05
  0.3422141 1.955366e-05
  0.349301 1.843429e-05
  0.3563887 1.656112e-05
  0.3634769 1.412723e-05
  0.370565 1.132591e-05
  0.3776527 8.350459e-06
  0.3847398 5.394136e-06
  0.3918261 2.65005e-06
  0.3989116 3.111392e-07
  0.4059963 -1.456768e-06
  0.4130803 -2.659879e-06
  0.4201637 -3.371936e-06
  0.4272467 -3.666776e-06
  0.4343293 -3.61818e-06
  0.4414116 -3.299877e-06
  0.448494 -2.785566e-06
  0.4555764 -2.148922e-06
  0.4626591 -1.463614e-06
  0.4697421 -8.033225e-07
  0.4768259 -2.417552e-07
  0.4839104 1.473307e-07
  0.4909959 2.901089e-07
  0.4980827 1.126605e-07
  0.5051709 -4.476506e-07
  0.5122607 -1.347231e-06
  0.5193522 -2.484503e-06
  0.5264452 -3.757099e-06
  0.5335374 -5.062141e-06
  0.5406283 -6.297094e-06
  0.5477183 -7.359652e-06
  0.554808 -8.147558e-06
  0.5618979 -8.558511e-06
  0.5689889 -8.490043e-06
  0.5760816 -7.839408e-06
  0.5831728 -6.504426e-06
  0.59026 -4.384025e-06
  0.597342 -1.377966e-06
  0.6044175 2.646926e-06
  0.6114851 8.284868e-06
  0.6185435 1.645818e-05
  0.6255918 2.808798e-05
  0.6326291 4.408582e-05
  0.6396548 6.535313e-05
  0.6466682 9.2781e-05
  0.6536692 0.0001272503
  0.6606576 0.0001696321
  0.6676334 0.0002207885
  0.6745968 0.0002815736
  0.6815481 0.0003528347
  0.6884878 0.0004354142
  0.6954165 0.000530151
  0.7023351 0.0006378796
  0.7092444 0.0007592386
  0.7161454 0.0008945683
  0.7230386 0.001044187
  0.7299251 0.001208418
  0.7368053 0.001387586
  0.7436801 0.001582021
  0.75055 0.001792057
  0.7574155 0.002018029
  0.7642772 0.002260277
  0.7711356 0.002519143
  0.7779911 0.002794972
  0.784844 0.003088111
  0.7916948 0.003398909
  0.7985437 0.003727718
  0.805391 0.004074773
  0.8122371 0.004439418
  0.8190827 0.004820597
  0.8259287 0.005217272
  0.8327763 0.005628424
  0.8396268 0.00605306
  0.8464819 0.00649021
  0.8533435 0.006938925
  0.8602139 0.007398282
  0.8670954 0.00786738
  0.873991 0.008345342
  0.8809036 0.008831307
  0.8878366 0.009324439
  0.8947939 0.009823914
  0.9017797 0.01032893
  0.9087968 0.01083955
  0.9158378 0.01135694
  0.9228795 0.0118813
  0.9298829 0.01241155
  0.9367963 0.01294536
  0.9435612 0.0134794
  0.9501192 0.01400976
  0.9564202 0.01453228
  0.9624316 0.01504281
  0.96814 0.0155385
  0.9735467 0.01601776
  0.9786626 0.01648002
  0.9835042 0.01692535
  0.9880905 0.01735425
  0.9924413 0.01776745
  0.9965757 0.01816582
  1.0 0.0185
