AH 94-156
  1.0 0.00037
  0.9966755 0.0009194712
  0.9925106 0.001651179
  0.9879694 0.00250351
  0.9830562 0.003482071
  0.9777897 0.004582101
  0.9721883 0.005792783
  0.9662843 0.007093436
  0.9601429 0.00844987
  0.9538557 0.009836357
  0.9474977 0.01124975
  0.9410952 0.01269846
  0.9346351 0.01418871
  0.9281128 0.01571621
  0.9215496 0.01727069
  0.9149797 0.01884421
  0.9084203 0.02043615
  0.9018648 0.02205098
  0.8952964 0.02369147
  0.8887106 0.02535553
  0.8821187 0.0270378
  0.8755357 0.02873565
  0.8689647 0.03045066
  0.8623955 0.03218685
  0.8558156 0.03394573
  0.8492204 0.03572604
  0.8426136 0.03752487
  0.8360003 0.0393403
  0.8293819 0.04117162
  0.8227556 0.04301887
  0.8161172 0.04488201
  0.8094617 0.04676107
  0.8027845 0.04865515
  0.7960849 0.0505612
  0.7893684 0.05247438
  0.7826451 0.05438975
  0.7759253 0.05630338
  0.7692178 0.05821171
  0.7625284 0.06011092
  0.7558595 0.06199772
  0.7492093 0.06387001
  0.7425756 0.06572677
  0.7359584 0.06756658
  0.7293603 0.06938722
  0.7227831 0.07118584
  0.716226 0.07296032
  0.7096854 0.0747095
  0.7031587 0.07643287
  0.6966459 0.07812927
  0.6901496 0.07979665
  0.6836714 0.08143244
  0.6772109 0.08303467
  0.6707655 0.08460206
  0.6643336 0.08613358
  0.6579146 0.08762785
  0.6515092 0.08908319
  0.6451161 0.09049811
  0.6387315 0.0918717
  0.6323503 0.09320408
  0.6259696 0.09449567
  0.6195892 0.09574626
  0.6132103 0.09695496
  0.6068322 0.09812099
  0.6004514 0.09924408
  0.5940632 0.1003251
  0.5876644 0.1013653
  0.5812541 0.1023654
  0.5748331 0.1033258
  0.5684036 0.1042466
  0.561969 0.1051276
  0.5555319 0.1059681
  0.549092 0.1067671
  0.5426457 0.1075244
  0.5361882 0.1082412
  0.5297158 0.108919
  0.5232266 0.1095588
  0.5167212 0.1101619
  0.510204 0.1107291
  0.5036831 0.1112604
  0.4971639 0.1117545
  0.4906435 0.1122102
  0.484112 0.1126274
  0.4775617 0.1130087
  0.4709954 0.1133565
  0.4644246 0.1136714
  0.457858 0.1139518
  0.451294 0.114196
  0.4447226 0.114404
  0.4381374 0.1145777
  0.4315421 0.114719
  0.4249477 0.1148282
  0.4183602 0.1149038
  0.4117754 0.1149442
  0.4051827 0.1149497
  0.3985784 0.1149224
  0.3919703 0.1148643
  0.385373 0.1147753
  0.3787926 0.1146528
  0.3722233 0.1144942
  0.3656535 0.1142993
  0.3590791 0.1140695
  0.3525062 0.1138064
  0.3459455 0.1135097
  0.3394002 0.1131777
  0.3328643 0.1128084
  0.3263299 0.1124019
  0.3197975 0.1119593
  0.3132773 0.1114822
  0.3067803 0.1109692
  0.3003073 0.1104175
  0.2938482 0.1098238
  0.2873919 0.109188
  0.2809355 0.1085115
  0.2744853 0.1077959
  0.2680499 0.1070413
  0.2616341 0.1062467
  0.2552385 0.1054109
  0.2488606 0.1045328
  0.2424961 0.1036109
  0.2361392 0.1026437
  0.229788 0.101632
  0.2234483 0.100578
  0.2171316 0.09948337
  0.2108456 0.09834692
  0.2045875 0.09716527
  0.198347 0.09593514
  0.1921175 0.09465655
  0.1859029 0.09333181
  0.1797153 0.09196333
  0.1735642 0.09055061
  0.1674509 0.0890914
  0.1613712 0.08758303
  0.1553218 0.08602431
  0.1493038 0.08441513
  0.1433219 0.08275582
  0.1373807 0.08104632
  0.1314836 0.07928638
  0.1256338 0.07747537
  0.1198343 0.07561255
  0.1140892 0.07369752
  0.1084022 0.07172983
  0.1027766 0.06970861
  0.09721393 0.06763263
  0.09171552 0.06550141
  0.08628597 0.06331662
  0.08093398 0.06108196
  0.07567224 0.05880226
  0.07051679 0.05648343
  0.06548529 0.05413331
  0.06059676 0.05176031
  0.05587158 0.04937323
  0.05132869 0.04698241
  0.046985 0.04459914
  0.04285887 0.04223709
  0.03896743 0.03991221
  0.03532262 0.03763983
  0.03193355 0.03543367
  0.02880528 0.03330692
  0.02593486 0.03126974
  0.02331292 0.02932712
  0.02092727 0.02747988
  0.0187618 0.0257268
  0.0167976 0.02406457
  0.01501562 0.02248838
  0.01339848 0.02099312
  0.01192972 0.01957372
  0.01059387 0.01822507
  0.009377502 0.01694158
  0.008269807 0.01571735
  0.007260712 0.01454708
  0.006340826 0.01342604
  0.005501824 0.01234993
  0.004737047 0.01131458
  0.004040363 0.0103161
  0.003406037 0.00935098
  0.002829138 0.008416007
  0.002307793 0.00750795
  0.001841233 0.006624186
  0.001428271 0.005762796
  0.001067426 0.004922358
  0.0007585863 0.004101988
  0.0005022962 0.003300174
  0.0002984099 0.002514362
  0.000146652 0.001741438
  4.72747e-05 0.0009793071
  1.482063e-06 0.000227116
  1.150562e-05 -0.0005171248
  8.120933e-05 -0.001256617
  0.0002146379 -0.001995182
  0.0004136898 -0.002734937
  0.0006814819 -0.003475437
  0.001022032 -0.004213021
  0.001438232 -0.00494139
  0.00192932 -0.005656644
  0.002493112 -0.006355949
  0.003126819 -0.007036884
  0.003828112 -0.007698079
  0.004598391 -0.008341429
  0.005440158 -0.008970108
  0.006355297 -0.009587771
  0.007344725 -0.01019846
  0.00841235 -0.01080461
  0.009564543 -0.01140817
  0.0108081 -0.01201213
  0.01215026 -0.01262087
  0.01360103 -0.01323771
  0.01517376 -0.01386429
  0.01688355 -0.0145028
  0.01874715 -0.01515635
  0.02078439 -0.0158281
