EH 3.0/12
  1.0 0.0
  0.9960953 0.0002438117
  0.9913195 0.0005934147
  0.9862348 0.001026423
  0.9808351 0.001537848
  0.9751314 0.002109093
  0.9691548 0.002728654
  0.9629485 0.003388627
  0.9565607 0.004082991
  0.9500366 0.004805907
  0.9434101 0.005552552
  0.9367053 0.006320286
  0.9299419 0.007107175
  0.9231341 0.007911774
  0.9162905 0.008732847
  0.9094173 0.009568689
  0.9025208 0.01041748
  0.8956067 0.01127739
  0.8886806 0.01214726
  0.8817469 0.01302648
  0.8748091 0.01391455
  0.8678692 0.0148112
  0.8609284 0.01571651
  0.8539881 0.01663062
  0.8470489 0.01755371
  0.8401113 0.01848596
  0.8331748 0.01942763
  0.8262383 0.02037911
  0.8192991 0.02134081
  0.812355 0.02231233
  0.8054051 0.0232927
  0.7984504 0.02428068
  0.7914937 0.02527523
  0.7845373 0.02627627
  0.7775823 0.02728401
  0.770628 0.0282989
  0.7636728 0.02932108
  0.7567156 0.03035037
  0.7497559 0.03138645
  0.7427939 0.03242894
  0.7358302 0.03347761
  0.728865 0.03453231
  0.7218979 0.03559294
  0.7149283 0.03665937
  0.7079556 0.03773132
  0.7009786 0.03880856
  0.6939964 0.0398908
  0.6870081 0.04097741
  0.6800139 0.0420675
  0.6730146 0.04316002
  0.666012 0.04425412
  0.6590081 0.04534951
  0.6520041 0.04644603
  0.6450009 0.04754356
  0.6379991 0.04864166
  0.6309989 0.04973971
  0.6240007 0.05083708
  0.6170047 0.05193317
  0.6100115 0.05302734
  0.6030211 0.05411899
  0.5960339 0.05520751
  0.5890502 0.05629237
  0.5820703 0.05737307
  0.5750944 0.05844913
  0.5681229 0.05952006
  0.561156 0.06058539
  0.5541941 0.06164462
  0.5472376 0.06269729
  0.5402867 0.06374278
  0.5333417 0.06478033
  0.5264032 0.06580915
  0.5194714 0.06682846
  0.512547 0.06783749
  0.5056304 0.06883545
  0.4987222 0.06982156
  0.4918231 0.07079496
  0.4849335 0.07175458
  0.4780537 0.07269935
  0.4711838 0.07362827
  0.4643235 0.07454034
  0.4574726 0.07543464
  0.4506304 0.07631024
  0.4437964 0.0771663
  0.4369697 0.07800213
  0.4301502 0.07881706
  0.4233374 0.07961038
  0.4165317 0.08038139
  0.4097333 0.08112935
  0.4029427 0.0818535
  0.3961608 0.08255308
  0.3893885 0.083227
  0.3826267 0.08387398
  0.3758764 0.08449273
  0.3691382 0.08508203
  0.362413 0.08564068
  0.3557013 0.08616751
  0.3490037 0.08666141
  0.3423207 0.0871212
  0.3356529 0.0875456
  0.3290005 0.08793332
  0.3223634 0.08828313
  0.3157415 0.08859381
  0.3091343 0.08886416
  0.3025411 0.08909302
  0.2959612 0.08927923
  0.2893938 0.08942196
  0.2828396 0.08952062
  0.2763006 0.08957462
  0.26978 0.0895833
  0.2632813 0.08954499
  0.2568064 0.08945762
  0.2503556 0.08931917
  0.2439276 0.08912782
  0.2375209 0.08888244
  0.2311349 0.08858215
  0.2247699 0.08822612
  0.2184272 0.08781351
  0.2121087 0.08734326
  0.2058162 0.08681434
  0.1995514 0.08622576
  0.1933163 0.08557654
  0.1871125 0.08486541
  0.1809417 0.08409108
  0.1748054 0.08325232
  0.1687047 0.08234797
  0.1626412 0.08137699
  0.1566169 0.08033852
  0.1506342 0.07923183
  0.1446958 0.07805639
  0.1388049 0.07681169
  0.1329651 0.07549739
  0.1271801 0.07411341
  0.121454 0.07265992
  0.1157916 0.07113733
  0.1101997 0.06954676
  0.1046868 0.06789027
  0.09926272 0.06617094
  0.09393803 0.06439273
  0.08872417 0.06256033
  0.08363263 0.06067932
  0.07867425 0.05875608
  0.07385871 0.05679748
  0.06919583 0.05481076
  0.06470136 0.05280545
  0.06039541 0.05079486
  0.05629746 0.04879424
  0.05242245 0.04681876
  0.0487785 0.04488184
  0.0453676 0.04299418
  0.04218846 0.04116465
  0.03923584 0.03940026
  0.03650018 0.03770541
  0.03396846 0.03608187
  0.0316266 0.03452895
  0.02946141 0.03304487
  0.02745979 0.03162753
  0.02560853 0.03027431
  0.02389463 0.02898212
  0.02230541 0.02774765
  0.02082879 0.02656732
  0.01945359 0.0254374
  0.01816965 0.0243545
  0.01696809 0.02331586
  0.01584126 0.02231901
  0.01478246 0.02136164
  0.01378557 0.02044174
  0.01284483 0.01955776
  0.01195548 0.01870792
  0.01111681 0.01788669
  0.01032976 0.01708671
  0.009593748 0.01630222
  0.008900116 0.01553653
  0.008235777 0.01479869
  0.007590126 0.014096
  0.00695807 0.01343057
  0.006355023 0.0127831
  0.005800103 0.0121302
  0.005308409 0.01145268
  0.004891119 0.01073558
  0.00448804 0.01003961
  0.003927878 0.009541336
  0.003210964 0.009249365
  0.002774684 0.008744946
  0.002633663 0.007961606
  0.002428778 0.007152914
  0.001982122 0.006452372
  0.001557824 0.00568412
  0.001139571 0.004851104
  0.0007405855 0.003919878
  0.0003807184 0.002957847
  6.149689e-05 0.001717894
  -4.117499e-06 0.0001040061
  -6.663331e-07 0.0006001458
  1.973357e-05 0.001145877
  0.0001123078 0.0002303553
  0.0002992626 -0.001358875
  0.0005991419 -0.002723862
  0.001020198 -0.003596603
  0.001537627 -0.004512246
  0.002140106 -0.005402918
  0.002832565 -0.00626986
  0.003617827 -0.007102129
  0.004500211 -0.007891811
  0.005472833 -0.008642236
  0.006530767 -0.009360272
  0.007672915 -0.01004957
  0.0088985 -0.01071429
  0.01020983 -0.01135934
  0.01160981 -0.01199122
  0.01310183 -0.01261813
  0.01469139 -0.01324367
  0.01638904 -0.01386356
  0.01820548 -0.01447926
  0.02015074 -0.01509657
  0.02223509 -0.01572156
  0.02447122 -0.0163553
  0.02687199 -0.01699709
  0.02945001 -0.01764224
  0.03221878 -0.01828281
  0.03519452 -0.01890891
  0.03839955 -0.01951132
  0.0418607 -0.02008854
  0.04560473 -0.02064227
  0.04965388 -0.02117679
  0.0540191 -0.021698
  0.05869789 -0.02220287
  0.06367345 -0.02268519
  0.06891706 -0.02314017
  0.07439707 -0.02356588
  0.08009235 -0.02396345
  0.08599239 -0.02433329
  0.09208356 -0.02467567
  0.0983467 -0.02499184
  0.1047577 -0.02528394
  0.1112906 -0.02555316
  0.1179224 -0.02580062
  0.1246364 -0.02602826
  0.1314237 -0.02623882
  0.1382795 -0.02643595
  0.1451966 -0.02662371
  0.1521648 -0.0268063
  0.1591711 -0.02698681
  0.1662039 -0.02716625
  0.1732545 -0.02734556
  0.180318 -0.02752569
  0.1873918 -0.02770672
  0.1944739 -0.0278883
  0.2015623 -0.02807004
  0.2086553 -0.02825171
  0.2157515 -0.02843334
  0.2228498 -0.02861497
  0.2299495 -0.02879669
  0.2370502 -0.02897848
  0.2441515 -0.02916029
  0.2512532 -0.02934207
  0.2583549 -0.02952381
  0.2654563 -0.02970557
  0.2725572 -0.02988741
  0.2796572 -0.03006938
  0.2867559 -0.03025135
  0.293853 -0.03043304
  0.3009484 -0.03061417
  0.3080417 -0.03079465
  0.3151329 -0.03097479
  0.3222216 -0.031155
  0.3293076 -0.03133566
  0.3363907 -0.03151717
  0.3434704 -0.03169993
  0.3505464 -0.03188431
  0.3576184 -0.03207034
  0.3646856 -0.03225685
  0.3717472 -0.03244245
  0.3788016 -0.03262574
  0.3858473 -0.03280531
  0.3928819 -0.03297977
  0.399903 -0.03314773
  0.4069078 -0.03330777
  0.4138942 -0.03345833
  0.4208617 -0.03359783
  0.4278113 -0.03372478
  0.4347457 -0.03383772
  0.4416691 -0.03393519
  0.4485873 -0.03401576
  0.4555074 -0.03407823
  0.4624368 -0.03412351
  0.4693809 -0.03415347
  0.476343 -0.03416991
  0.4833239 -0.03417467
  0.4903224 -0.03416961
  0.4973345 -0.03415661
  0.5043538 -0.0341375
  0.5113725 -0.03411224
  0.5183841 -0.03407949
  0.5253838 -0.03403787
  0.5323688 -0.03398603
  0.539338 -0.03392266
  0.5462921 -0.03384643
  0.5532337 -0.03375603
  0.5601662 -0.03365071
  0.5670932 -0.03353036
  0.5740173 -0.03339489
  0.5809403 -0.0332442
  0.5878636 -0.03307819
  0.5947877 -0.03289677
  0.6017123 -0.03269987
  0.6086367 -0.03248742
  0.6155599 -0.03225939
  0.6224814 -0.03201571
  0.6294011 -0.03175632
  0.6363189 -0.03148116
  0.6432352 -0.03119013
  0.6501508 -0.03088313
  0.6570666 -0.03056012
  0.6639833 -0.03022131
  0.6709009 -0.02986705
  0.6778186 -0.02949771
  0.6847349 -0.02911338
  0.6916489 -0.02871377
  0.6985602 -0.02829853
  0.705469 -0.02786729
  0.7123764 -0.02741986
  0.7192834 -0.02695615
  0.7261912 -0.02647604
  0.7331013 -0.02597953
  0.7400149 -0.025467
  0.7469324 -0.02493892
  0.753854 -0.0243958
  0.7607796 -0.02383809
  0.7677097 -0.02326616
  0.774646 -0.02268026
  0.7815909 -0.02208072
  0.7885468 -0.02146869
  0.7955134 -0.02084573
  0.8024884 -0.02021362
  0.8094675 -0.01957355
  0.8164478 -0.01892546
  0.823429 -0.01826893
  0.8304137 -0.01760345
  0.8374054 -0.01692948
  0.8444048 -0.01624829
  0.8514095 -0.01556144
  0.8584143 -0.01487013
  0.865415 -0.01417389
  0.8724106 -0.01347174
  0.8794037 -0.01276247
  0.8863987 -0.01204619
  0.8933974 -0.01132432
  0.9003977 -0.01059871
  0.907394 -0.009871221
  0.9143783 -0.00914273
  0.9213415 -0.008413961
  0.928274 -0.007685724
  0.9351646 -0.006958769
  0.9419997 -0.006233969
  0.9487622 -0.005512564
  0.9554328 -0.004796504
  0.9619825 -0.004091325
  0.9683648 -0.003405249
  0.9745239 -0.002746325
  0.980409 -0.002116041
  0.9859848 -0.001514464
  0.9912181 -0.0009482414
  0.9960815 -0.0004227487
  1.0 0.0
