M6 (65%)     
  0.2404301 -0.02401702
  0.2468782 -0.02408291
  0.2533385 -0.02414967
  0.2598067 -0.02421769
  0.2662786 -0.02428645
  0.2727508 -0.02435536
  0.2792208 -0.02442387
  0.2856868 -0.02449142
  0.2921481 -0.02455746
  0.2986045 -0.02462148
  0.3050567 -0.02468299
  0.3115059 -0.02474193
  0.3179533 -0.02479842
  0.3243998 -0.02485257
  0.3308464 -0.0249045
  0.3372937 -0.02495432
  0.3437423 -0.02500214
  0.3501928 -0.02504806
  0.3566455 -0.0250922
  0.3631005 -0.02513466
  0.3695581 -0.02517554
  0.3760182 -0.02521495
  0.3824807 -0.02525299
  0.3889451 -0.02528976
  0.3954111 -0.02532538
  0.4018782 -0.02535993
  0.4083457 -0.0253934
  0.4148129 -0.02542557
  0.4212793 -0.02545617
  0.4277442 -0.02548496
  0.4342074 -0.02551169
  0.4406683 -0.02553612
  0.4471268 -0.025558
  0.4535825 -0.02557708
  0.4600353 -0.02559312
  0.4664851 -0.02560588
  0.4729319 -0.02561512
  0.4793758 -0.0256206
  0.4858168 -0.02562207
  0.4922551 -0.0256193
  0.4986911 -0.02561205
  0.5051249 -0.02560009
  0.511557 -0.02558331
  0.5179876 -0.02556165
  0.5244171 -0.02553506
  0.5308456 -0.02550346
  0.5372735 -0.0254668
  0.5437008 -0.02542501
  0.5501278 -0.02537803
  0.5565545 -0.02532579
  0.562981 -0.02526825
  0.5694073 -0.02520532
  0.5758335 -0.02513694
  0.5822594 -0.02506307
  0.5886852 -0.02498362
  0.5951106 -0.02489855
  0.6015355 -0.02480779
  0.6079599 -0.02471126
  0.6143834 -0.02460884
  0.620806 -0.02450042
  0.6272275 -0.02438588
  0.6336479 -0.0242651
  0.6400671 -0.02413795
  0.6464849 -0.02400432
  0.6529014 -0.02386409
  0.6593164 -0.02371714
  0.66573 -0.02356335
  0.6721422 -0.0234026
  0.6785529 -0.02323478
  0.6849622 -0.02305975
  0.6913702 -0.02287741
  0.6977768 -0.02268763
  0.7041822 -0.02249027
  0.7105865 -0.02228507
  0.7169895 -0.02207167
  0.7233913 -0.02184972
  0.7297915 -0.02161887
  0.7361901 -0.02137876
  0.7425867 -0.02112905
  0.7489809 -0.02086941
  0.7553722 -0.02059949
  0.7617603 -0.02031897
  0.7681444 -0.02002754
  0.774524 -0.01972488
  0.7808984 -0.01941068
  0.7872667 -0.01908466
  0.7936282 -0.01874652
  0.799982 -0.01839601
  0.8063272 -0.018033
  0.8126631 -0.01765799
  0.8189895 -0.01727158
  0.8253067 -0.01687434
  0.8316156 -0.01646683
  0.8379171 -0.01604954
  0.8442131 -0.01562293
  0.8505055 -0.01518743
  0.8567968 -0.01474341
  0.86309 -0.01429119
  0.8693885 -0.01383106
  0.8756961 -0.01336324
  0.8820173 -0.01288792
  0.8883571 -0.01240523
  0.894721 -0.01191522
  0.9011153 -0.01141792
  0.9075456 -0.0109117
  0.9139924 -0.01039292
  0.9204208 -0.009858676
  0.9268551 -0.00930128
  0.9332716 -0.008717154
  0.9395837 -0.008109402
  0.9457364 -0.007480131
  0.9516787 -0.006833003
  0.9573703 -0.006173946
  0.9627886 -0.005510564
  0.9679269 -0.004848958
  0.9727903 -0.004193538
  0.9773913 -0.003547302
  0.9817459 -0.002912155
  0.9858721 -0.002289196
  0.9897879 -0.001678954
  0.9935106 -0.00108157
  0.9970566 -0.0004969198
  1.0 0.0
