UAG 88-143/20
  0.2274848 -0.01338209
  0.2339323 -0.01325246
  0.2403801 -0.01312528
  0.2468292 -0.01300049
  0.2532803 -0.01287801
  0.2597338 -0.01275765
  0.2661898 -0.01263902
  0.2726484 -0.01252177
  0.2791093 -0.01240553
  0.2855723 -0.01228996
  0.2920367 -0.01217488
  0.2985022 -0.0120601
  0.3049682 -0.01194546
  0.311434 -0.01183079
  0.3178989 -0.01171613
  0.3243626 -0.01160172
  0.3308249 -0.01148783
  0.3372857 -0.01137472
  0.3437455 -0.01126261
  0.3502047 -0.01115128
  0.3566638 -0.0110403
  0.363123 -0.01092919
  0.3695825 -0.0108175
  0.3760424 -0.01070487
  0.3825028 -0.01059143
  0.3889638 -0.01047755
  0.3954253 -0.01036358
  0.4018876 -0.01024987
  0.4083505 -0.01013673
  0.4148142 -0.01002417
  0.4212787 -0.009912103
  0.4277437 -0.009800448
  0.4342091 -0.009689129
  0.4406744 -0.009578056
  0.4471395 -0.009467093
  0.4536042 -0.009356083
  0.4600683 -0.009244868
  0.4665322 -0.009133287
  0.472996 -0.00902121
  0.47946 -0.008908704
  0.4859246 -0.008795904
  0.4923897 -0.008682951
  0.4988555 -0.008569985
  0.5053218 -0.008457132
  0.5117884 -0.008344392
  0.5182552 -0.008231716
  0.524722 -0.008119053
  0.5311887 -0.00800635
  0.5376552 -0.007893558
  0.5441215 -0.007780632
  0.5505874 -0.007667532
  0.5570531 -0.007554216
  0.5635185 -0.007440642
  0.5699838 -0.007326777
  0.576449 -0.00721268
  0.5829142 -0.007098457
  0.5893796 -0.006984216
  0.5958452 -0.006870068
  0.6023111 -0.006756109
  0.6087772 -0.006642339
  0.6152437 -0.006528706
  0.6217104 -0.006415157
  0.6281774 -0.006301638
  0.6346446 -0.006188101
  0.6411119 -0.006074533
  0.6475793 -0.005960931
  0.6540467 -0.005847294
  0.6605138 -0.005733624
  0.6669807 -0.00561991
  0.673447 -0.005506095
  0.6799129 -0.005392109
  0.6863782 -0.00527788
  0.6928432 -0.005163335
  0.6993079 -0.005048467
  0.7057725 -0.004933408
  0.7122373 -0.004818304
  0.7187022 -0.004703305
  0.7251675 -0.00458855
  0.7316331 -0.004474072
  0.7380991 -0.004359823
  0.7445654 -0.004245758
  0.7510318 -0.004131828
  0.7574982 -0.004017974
  0.7639645 -0.003904095
  0.7704302 -0.003790084
  0.7768953 -0.003675836
  0.7833595 -0.003561293
  0.7898226 -0.003446687
  0.7962846 -0.003332356
  0.8027456 -0.003218634
  0.8092059 -0.003105794
  0.815666 -0.002993584
  0.8221259 -0.00288148
  0.8285859 -0.002768961
  0.8350459 -0.002655611
  0.8415058 -0.00254173
  0.8479654 -0.002427907
  0.8544245 -0.002314737
  0.8608826 -0.002202453
  0.8673394 -0.002090328
  0.8737946 -0.001977473
  0.8802484 -0.001863108
  0.8867008 -0.001747689
  0.8931529 -0.001632459
  0.8996063 -0.001518626
  0.9060628 -0.001406452
  0.9125227 -0.001295161
  0.9189842 -0.001183963
  0.9254438 -0.001072245
  0.9318985 -0.0009595506
  0.9383459 -0.0008457308
  0.9447825 -0.0007327925
  0.9512009 -0.0006235249
  0.9575907 -0.0005161145
  0.9639438 -0.0004033803
  0.9702464 -0.0002830923
  0.976439 -0.0001619608
  0.98238 -5.032164e-05
  0.9878389 3.572261e-05
  0.9926942 7.072982e-05
  0.9968935 0.0001022816
  1.0 2e-05
