NACA 63,3-418
  0.2101334 -0.06501812
  0.2173623 -0.0656265
  0.2246186 -0.06619336
  0.2318974 -0.06671879
  0.2391946 -0.06720245
  0.2465069 -0.06764412
  0.253832 -0.06804371
  0.2611685 -0.06840124
  0.2685146 -0.06871684
  0.2758685 -0.06899061
  0.2832275 -0.0692227
  0.2905892 -0.06941293
  0.2979514 -0.0695609
  0.3053125 -0.06966626
  0.3126715 -0.0697287
  0.320028 -0.06974785
  0.3273818 -0.06972332
  0.3347337 -0.0696547
  0.3420845 -0.06954155
  0.3494357 -0.06938362
  0.3567892 -0.06918092
  0.3641472 -0.06893339
  0.3715124 -0.06864092
  0.378888 -0.06830355
  0.386277 -0.06792196
  0.3936816 -0.06749693
  0.4011037 -0.06702922
  0.4085444 -0.06651964
  0.4160044 -0.06596909
  0.4234842 -0.06537854
  0.4309841 -0.06474897
  0.4385041 -0.06408138
  0.4460442 -0.06337674
  0.453604 -0.06263594
  0.4611831 -0.0618599
  0.4687806 -0.06104961
  0.4763955 -0.06020601
  0.4840274 -0.0593298
  0.4916764 -0.05842157
  0.4993432 -0.05748184
  0.5070296 -0.05651111
  0.5147374 -0.0555103
  0.5224674 -0.05448057
  0.5302196 -0.05342325
  0.537993 -0.05233981
  0.5457857 -0.05123144
  0.5535966 -0.05009902
  0.561425 -0.0489434
  0.569271 -0.04776531
  0.5771353 -0.04656551
  0.5850187 -0.04534482
  0.5929218 -0.04410407
  0.6008454 -0.04284413
  0.60879 -0.04156605
  0.6167562 -0.04027106
  0.6247444 -0.03896046
  0.6327547 -0.03763562
  0.6407869 -0.03629806
  0.6488393 -0.03494963
  0.6569084 -0.03359257
  0.6649889 -0.03222945
  0.6730739 -0.03086336
  0.6811566 -0.02949756
  0.6892308 -0.02813526
  0.6972908 -0.02677953
  0.7053317 -0.02543302
  0.71335 -0.024098
  0.7213436 -0.02277647
  0.7293117 -0.02147011
  0.7372535 -0.02018044
  0.7451678 -0.01890897
  0.7530524 -0.01765731
  0.760905 -0.01642745
  0.7687239 -0.01522166
  0.7765087 -0.01404201
  0.7842599 -0.01289029
  0.7919787 -0.01176787
  0.7996664 -0.01067595
  0.8073245 -0.009615664
  0.8149541 -0.008587931
  0.8225546 -0.007593511
  0.8301232 -0.006633374
  0.8376555 -0.005708919
  0.8451478 -0.004822313
  0.8525986 -0.003975508
  0.8600086 -0.003169756
  0.8673771 -0.002404268
  0.8746977 -0.001678006
  0.881959 -0.0009905523
  0.8891444 -0.0003430274
  0.8962325 0.0002628642
  0.9031991 0.0008243092
  0.9100239 0.001333161
  0.9166952 0.001781498
  0.9232086 0.002162211
  0.929566 0.002466956
  0.9357737 0.002688728
  0.9418417 0.002821877
  0.9477854 0.002861565
  0.9536245 0.002805137
  0.9593746 0.002660822
  0.9650378 0.002440063
  0.9706041 0.002157101
  0.9760505 0.001828795
  0.9813471 0.001467745
  0.9864698 0.001083452
  0.991397 0.0007027471
  0.996101 0.0003276964
  1.0 1e-05
