AH 93-W-215
  1.0 -0.00087
  0.9960061 0.001251413
  0.991324 0.003515084
  0.9865357 0.005650635
  0.9816597 0.007631486
  0.9766054 0.009414181
  0.9713202 0.01107946
  0.9657961 0.01268926
  0.9600292 0.01427984
  0.9540153 0.01587911
  0.9477484 0.01749643
  0.9412267 0.01913868
  0.9344506 0.02080895
  0.9274221 0.02251033
  0.9201459 0.02424605
  0.9126329 0.02601899
  0.9048998 0.0278293
  0.8969649 0.02967399
  0.8888456 0.03155097
  0.8805603 0.03346069
  0.8721302 0.03540404
  0.8635782 0.03737921
  0.8549247 0.03938156
  0.846187 0.0414069
  0.8373799 0.04345055
  0.8285194 0.04550702
  0.8196232 0.04757181
  0.8107071 0.04964469
  0.8017808 0.05172749
  0.7928479 0.05382232
  0.7839097 0.05592993
  0.774967 0.05805093
  0.7660205 0.06018565
  0.7570704 0.06233396
  0.7481162 0.06449585
  0.7391572 0.06667121
  0.730193 0.06885934
  0.7212247 0.07105918
  0.7122545 0.07326945
  0.7032847 0.07548925
  0.6943167 0.07771811
  0.6853503 0.07995573
  0.6763854 0.08220013
  0.6674256 0.08444735
  0.6584793 0.08669218
  0.649559 0.08892862
  0.6406776 0.0911509
  0.6318462 0.09335382
  0.6230743 0.09553263
  0.6143684 0.09768193
  0.6057325 0.09979653
  0.5971679 0.1018721
  0.5886736 0.1039052
  0.580249 0.1058932
  0.5718948 0.1078334
  0.5636131 0.1097229
  0.5554066 0.1115583
  0.5472758 0.1133352
  0.5392175 0.1150501
  0.5312253 0.1167005
  0.5232907 0.1182853
  0.5154065 0.1198049
  0.507568 0.1212598
  0.4997723 0.1226498
  0.4920185 0.1239742
  0.4843059 0.1252316
  0.4766319 0.1264207
  0.4689928 0.1275407
  0.4613834 0.1285907
  0.4537985 0.1295711
  0.4462338 0.1304826
  0.4386862 0.1313257
  0.4311535 0.1321007
  0.4236345 0.1328076
  0.4161282 0.1334468
  0.4086337 0.1340185
  0.4011503 0.1345228
  0.3936771 0.1349599
  0.386214 0.13533
  0.3787612 0.1356334
  0.3713195 0.1358703
  0.36389 0.1360409
  0.3564743 0.1361451
  0.3490738 0.1361828
  0.3416895 0.1361539
  0.3343224 0.1360584
  0.3269737 0.1358963
  0.319645 0.1356679
  0.3123386 0.1353735
  0.3050577 0.1350135
  0.2978056 0.1345879
  0.2905854 0.1340964
  0.2833995 0.1335384
  0.2762495 0.1329138
  0.2691368 0.1322226
  0.2620631 0.1314652
  0.2550313 0.1306422
  0.2480449 0.1297545
  0.241108 0.1288029
  0.234225 0.1277877
  0.2273997 0.1267091
  0.2206353 0.1255677
  0.2139348 0.1243641
  0.2073015 0.1230994
  0.2007395 0.121775
  0.1942531 0.1203925
  0.1878473 0.118954
  0.1815272 0.1174612
  0.1752977 0.1159161
  0.1691637 0.114321
  0.1631297 0.1126784
  0.1572005 0.1109913
  0.1513817 0.1092629
  0.1456788 0.1074969
  0.1400972 0.1056973
  0.1346422 0.103867
  0.1293182 0.1020095
  0.1241285 0.1001279
  0.1190755 0.09822565
  0.1141613 0.09630664
  0.1093881 0.09437521
  0.1047579 0.09243581
  0.1002722 0.09049285
  0.09593236 0.08854983
  0.09173867 0.08660958
  0.08769036 0.08467472
  0.08378561 0.08274758
  0.08002182 0.08083038
  0.07639612 0.0789256
  0.07290562 0.07703571
  0.06954725 0.07516308
  0.06631766 0.07330985
  0.06321347 0.07147765
  0.06023141 0.06966727
  0.05736777 0.06787923
  0.05461848 0.06611385
  0.05197923 0.0643713
  0.04944556 0.06265166
  0.04701302 0.06095523
  0.04467737 0.05928243
  0.04243456 0.05763362
  0.04028068 0.0560091
  0.03821194 0.0544091
  0.03622482 0.0528336
  0.0343166 0.05128182
  0.03248465 0.04975278
  0.03072625 0.04824553
  0.02903864 0.04675916
  0.02741904 0.04529277
  0.02586469 0.04384554
  0.02437294 0.04241681
  0.02294129 0.04100609
  0.02156728 0.03961292
  0.02024855 0.03823683
  0.01898283 0.03687737
  0.01776792 0.03553408
  0.01660172 0.0342065
  0.01548255 0.03289414
  0.01440915 0.03159646
  0.01338038 0.03031299
  0.01239507 0.02904337
  0.01145212 0.02778729
  0.0105504 0.02654447
  0.009688797 0.02531469
  0.008866292 0.02409773
  0.008082211 0.02289326
  0.007335863 0.02170079
  0.006626431 0.02051969
  0.00595303 0.01934925
  0.005314738 0.01818866
  0.004710632 0.01703712
  0.004139812 0.01589374
  0.003602079 0.01475773
  0.003098577 0.01362862
  0.002630602 0.0125064
  0.002199389 0.01139141
  0.001806043 0.01028428
  0.001451484 0.009185886
  0.001136401 0.008097248
  0.0008611763 0.007019586
  0.0006255366 0.005954537
  0.0004287018 0.004902886
  0.0002697582 0.003864254
  0.0001478682 0.002837353
  6.242698e-05 0.001820168
  1.319039e-05 0.00081006
  3.930645e-07 -0.0001962175
  2.434828e-05 -0.001202392
  8.483528e-05 -0.002211868
  0.0001820413 -0.003227353
  0.0003166025 -0.004250887
  0.0004894859 -0.005283796
  0.000701858 -0.006326581
  0.0009549181 -0.00737874
  0.001249663 -0.008438584
  0.001586481 -0.009503907
  0.001965303 -0.01057275
  0.002385891 -0.01164328
  0.002847891 -0.01271385
  0.003350907 -0.01378304
  0.003894572 -0.01484973
  0.004478646 -0.0159131
  0.00510326 -0.0169729
  0.005768944 -0.01802931
  0.006476263 -0.01908249
  0.007225767 -0.02013243
  0.008017959 -0.02117902
  0.008853252 -0.02222199
  0.009731916 -0.02326087
  0.01065419 -0.02429514
  0.01162058 -0.02532459
  0.01263166 -0.0263491
  0.01368793 -0.02736855
  0.01478987 -0.02838289
  0.01593792 -0.02939209
  0.01713248 -0.03039618
  0.01837415 -0.03139521
  0.01966423 -0.03238919
  0.02100421 -0.03337809
  0.0223956 -0.03436191
  0.02383995 -0.03534065
  0.02533878 -0.03631432
  0.02689363 -0.03728294
  0.02850622 -0.0382466
  0.03017868 -0.03920548
  0.03191327 -0.04015985
  0.03371227 -0.04111006
  0.035578 -0.04205652
