AH 93-156
  0.1809313 -0.03716837
  0.1878692 -0.0374638
  0.1948264 -0.0377428
  0.2018004 -0.03800709
  0.2087859 -0.0382576
  0.2157789 -0.03849426
  0.2227781 -0.03871704
  0.2297845 -0.03892627
  0.236799 -0.03912256
  0.2438212 -0.03930647
  0.2508502 -0.03947846
  0.2578852 -0.0396389
  0.2649259 -0.03978815
  0.2719721 -0.03992662
  0.2790242 -0.04005468
  0.2860826 -0.04017277
  0.2931473 -0.04028147
  0.3002174 -0.04038139
  0.3072905 -0.04047292
  0.3143649 -0.04055586
  0.3214406 -0.04062992
  0.3285188 -0.0406951
  0.3356015 -0.04075185
  0.3426908 -0.04080069
  0.3497884 -0.04084233
  0.3568925 -0.04087769
  0.3639972 -0.04090759
  0.3710958 -0.04093144
  0.378189 -0.04094758
  0.3852864 -0.04095471
  0.3923992 -0.04095455
  0.3995267 -0.0409503
  0.4066556 -0.04094431
  0.4137712 -0.04093454
  0.4208722 -0.0409177
  0.4279697 -0.0408917
  0.4350759 -0.04085802
  0.4421938 -0.04081881
  0.4493186 -0.04077548
  0.4564431 -0.04072807
  0.4635617 -0.04067647
  0.4706706 -0.0406199
  0.4777702 -0.04055677
  0.4848652 -0.04048556
  0.4919622 -0.04040628
  0.4990638 -0.04032016
  0.5061667 -0.04022836
  0.5132655 -0.0401307
  0.520357 -0.04002631
  0.5274415 -0.03991435
  0.5345206 -0.03979438
  0.5415953 -0.03966608
  0.5486653 -0.03952912
  0.5557299 -0.03938312
  0.5627883 -0.03922768
  0.5698396 -0.03906233
  0.576884 -0.03888642
  0.5839236 -0.03869924
  0.5909613 -0.03850057
  0.5979976 -0.03829086
  0.6050293 -0.03807066
  0.6120511 -0.03783953
  0.619061 -0.03759613
  0.6260606 -0.03733909
  0.6330534 -0.03706783
  0.64004 -0.03678235
  0.647018 -0.03648263
  0.6539842 -0.03616789
  0.6609378 -0.03583693
  0.6678808 -0.03548865
  0.6748153 -0.03512263
  0.6817409 -0.03473873
  0.688655 -0.03433668
  0.6955553 -0.03391569
  0.7024412 -0.0334748
  0.7093134 -0.03301312
  0.7161709 -0.03253009
  0.7230098 -0.03202538
  0.7298248 -0.03149799
  0.7366137 -0.03094581
  0.7433795 -0.03036642
  0.7501268 -0.0297584
  0.7568558 -0.02912164
  0.7635605 -0.02845648
  0.7702328 -0.02776147
  0.7768703 -0.0270335
  0.7834775 -0.02626901
  0.7900618 -0.02546575
  0.796628 -0.0246223
  0.8031779 -0.02373752
  0.8097136 -0.02281005
  0.8162412 -0.02183781
  0.8227708 -0.02081868
  0.829314 -0.01975299
  0.8358801 -0.0186419
  0.8424758 -0.0174876
  0.8491022 -0.01629526
  0.8557521 -0.01507216
  0.8624096 -0.01383027
  0.8690507 -0.01258875
  0.8756434 -0.01136867
  0.8821537 -0.01019044
  0.888564 -0.009069826
  0.8948784 -0.008017181
  0.901113 -0.007037049
  0.90728 -0.006131157
  0.9133832 -0.005302185
  0.919422 -0.004553653
  0.9253985 -0.003888863
  0.9313195 -0.003310393
  0.937193 -0.00281967
  0.943021 -0.002417705
  0.9487989 -0.002105766
  0.9545204 -0.001883926
  0.9601896 -0.001750879
  0.9658239 -0.001704818
  0.9714329 -0.001731315
  0.9769682 -0.001804194
  0.9823242 -0.001895482
  0.9873918 -0.001973696
  0.9921144 -0.002013786
  0.9964831 -0.002007189
  1.0 -0.00197
