AH 80-129
  1.0 0.0
  0.9982878 0.00117064
  0.9960245 0.001256027
  0.9933317 0.001387134
  0.9902803 0.001815246
  0.9867546 0.002216388
  0.9825921 0.002618267
  0.9777351 0.003206052
  0.9722941 0.003967874
  0.9665496 0.004802058
  0.9607561 0.00568501
  0.9549471 0.006627079
  0.9490789 0.007628438
  0.9431631 0.008678396
  0.9372413 0.009767812
  0.9313315 0.01089374
  0.9254244 0.01205699
  0.9195077 0.01325705
  0.9135796 0.01449114
  0.9076478 0.01575562
  0.9017194 0.01704847
  0.8957954 0.01836899
  0.8898715 0.01971725
  0.8839427 0.02109232
  0.8780077 0.02249236
  0.8720684 0.02391474
  0.8661295 0.02535741
  0.8601944 0.0268194
  0.8542645 0.02830022
  0.8483393 0.0297998
  0.8424172 0.0313181
  0.8364969 0.03285495
  0.8305773 0.03441004
  0.8246582 0.03598289
  0.8187389 0.03757254
  0.8128179 0.03917803
  0.8068933 0.04079861
  0.800962 0.04243371
  0.795021 0.04408222
  0.7890685 0.04574204
  0.7831053 0.04741038
  0.7771346 0.04908375
  0.7711616 0.0507581
  0.765192 0.05242961
  0.7592301 0.05409491
  0.7532786 0.05575108
  0.7473388 0.05739564
  0.7414107 0.05902614
  0.7354934 0.06063997
  0.7295855 0.06223469
  0.7236852 0.06380802
  0.7177899 0.06535788
  0.7118973 0.06688307
  0.7060054 0.06838295
  0.7001126 0.06985682
  0.6942178 0.07130384
  0.6883201 0.07272311
  0.682419 0.07411394
  0.6765142 0.07547594
  0.6706053 0.07680874
  0.6646921 0.07811197
  0.658774 0.07938524
  0.6528506 0.08062833
  0.6469216 0.08184119
  0.640987 0.08302374
  0.6350468 0.08417588
  0.6291011 0.08529749
  0.6231502 0.08638843
  0.6171944 0.08744853
  0.611234 0.08847769
  0.6052688 0.0894758
  0.5992988 0.09044279
  0.5933237 0.09137862
  0.5873434 0.09228333
  0.5813576 0.09315702
  0.5753668 0.09399975
  0.5693713 0.09481153
  0.5633719 0.09559235
  0.5573693 0.0963421
  0.5513644 0.09706052
  0.5453573 0.09774742
  0.5393477 0.09840263
  0.533335 0.09902605
  0.5273181 0.09961764
  0.5212961 0.1001778
  0.5152686 0.100707
  0.5092356 0.1012056
  0.5031981 0.1016741
  0.4971575 0.1021126
  0.4911157 0.1025212
  0.485074 0.1028992
  0.4790334 0.1032462
  0.4729938 0.1035617
  0.4669548 0.1038453
  0.4609153 0.1040969
  0.4548742 0.1043164
  0.4488308 0.1045043
  0.4427849 0.1046606
  0.4367369 0.1047856
  0.4306876 0.1048794
  0.424638 0.104942
  0.4185891 0.104973
