  SD6080 (9.2%)
  1.0 0.0
  0.9971481 0.0003244416
  0.9933991 0.0007780383
  0.9891339 0.001326501
  0.9843815 0.001969542
  0.9791919 0.002702614
  0.9736501 0.003515271
  0.9678513 0.004392063
  0.9618644 0.005321061
  0.9557483 0.006292078
  0.9495493 0.007295743
  0.9432941 0.008325586
  0.936997 0.00937794
  0.9306688 0.01044978
  0.9243162 0.01153859
  0.9179423 0.01264245
  0.9115476 0.01375975
  0.9051334 0.01488883
  0.898701 0.01602788
  0.8922525 0.01717496
  0.8857906 0.01832829
  0.8793181 0.0194867
  0.8728379 0.02064917
  0.8663528 0.02181468
  0.8598655 0.02298222
  0.8533786 0.0241508
  0.8468943 0.02531927
  0.8404142 0.02648652
  0.8339395 0.02765156
  0.8274704 0.02881351
  0.8210068 0.02997159
  0.8145479 0.03112518
  0.8080926 0.03227405
  0.8016402 0.03341806
  0.79519 0.03455704
  0.7887418 0.03569077
  0.7822958 0.03681896
  0.7758522 0.0379413
  0.7694115 0.03905737
  0.7629743 0.04016672
  0.7565408 0.04126889
  0.7501111 0.0423635
  0.7436852 0.04345018
  0.7372626 0.04452859
  0.7308429 0.04559843
  0.7244256 0.0466595
  0.7180101 0.04771161
  0.7115962 0.04875458
  0.7051837 0.04978818
  0.6987727 0.05081216
  0.6923633 0.05182624
  0.6859559 0.05283012
  0.679551 0.05382344
  0.6731491 0.0548058
  0.6667502 0.05577681
  0.6603544 0.05673611
  0.6539616 0.0576834
  0.6475714 0.05861838
  0.6411831 0.05954078
  0.6347962 0.06045037
  0.6284099 0.06134701
  0.622024 0.06223053
  0.6156383 0.0631007
  0.6092532 0.06395728
  0.6028694 0.06479996
  0.5964877 0.06562841
  0.5901095 0.06644227
  0.5837362 0.06724094
  0.577369 0.06802364
  0.5710087 0.0687896
  0.5646555 0.06953813
  0.5583095 0.07026861
  0.5519699 0.07098045
  0.545636 0.07167311
  0.5393064 0.07234614
  0.5329797 0.07299933
  0.5266547 0.07363261
  0.5203307 0.07424585
  0.5140072 0.07483889
  0.507684 0.07541153
  0.5013614 0.07596353
  0.4950399 0.07649464
  0.4887203 0.07700456
  0.4824034 0.07749288
  0.4760898 0.07795923
  0.4697797 0.07840323
  0.4634732 0.07882456
  0.4571701 0.07922289
  0.4508697 0.07959792
  0.4445714 0.07994935
  0.4382741 0.08027702
  0.431977 0.08058094
  0.4256797 0.08086109
  0.4193819 0.08111742
  0.4130835 0.08134989
  0.4067848 0.08155842
  0.4004864 0.08174296
  0.394189 0.0819034
  0.3878934 0.08203949
  0.3816006 0.08215091
  0.375311 0.08223739
  0.3690252 0.08229863
  0.3627437 0.08233436
  0.3564666 0.08234432
  0.3501942 0.08232824
  0.3439265 0.08228587
  0.3376635 0.08221696
  0.331405 0.08212125
  0.3251509 0.08199848
  0.3189009 0.08184837
  0.3126547 0.08167066
  0.3064117 0.08146507
  0.3001715 0.08123135
  0.2939339 0.08096938
  0.2876987 0.08067904
  0.2814665 0.08036025
  0.2752379 0.08001291
  0.2690136 0.07963697
  0.2627952 0.07923243
  0.2565839 0.07879904
  0.2503813 0.07833635
  0.2441886 0.07784385
  0.238007 0.07732109
  0.2318374 0.07676759
  0.2256805 0.0761829
  0.2195369 0.07556652
  0.2134073 0.07491782
  0.2072923 0.0742361
  0.2011927 0.07352067
  0.1951092 0.07277089
  0.1890426 0.07198615
  0.1829939 0.07116584
  0.1769641 0.0703092
  0.1709548 0.06941538
  0.1649675 0.06848357
  0.1590043 0.06751308
  0.1530674 0.06650333
  0.1471592 0.06545381
  0.1412828 0.06436355
  0.1354414 0.06323122
  0.1296386 0.06205574
  0.1238783 0.0608362
  0.1181643 0.05957192
  0.1125008 0.05826226
  0.1068917 0.05690599
  0.1013402 0.05550177
  0.09584827 0.05404823
  0.09041721 0.05254395
  0.08504788 0.05098724
  0.07974538 0.04937626
  0.07452275 0.04771166
  0.0693996 0.04599734
  0.06439984 0.04424032
  0.05954846 0.04244913
  0.05486191 0.04062856
  0.05034179 0.03877889
  0.04597917 0.03689689
  0.04175891 0.03497642
  0.03767787 0.03301479
  0.03378104 0.03103334
  0.03014375 0.02907676
  0.02683047 0.02719444
  0.02386829 0.0254197
  0.02123911 0.02375256
  0.0188942 0.02217436
  0.01678324 0.02066395
  0.0148638 0.01920236
  0.01310217 0.0177736
  0.01147385 0.01637026
  0.009972171 0.01500251
  0.00860135 0.01369022
  0.007364337 0.01245236
  0.00625735 0.01130053
  0.005270184 0.01023767
  0.004390856 0.009259316
  0.00361586 0.008350908
  0.002939562 0.007495579
  0.002353365 0.006679356
  0.001848819 0.005891188
  0.001418626 0.005122348
  0.001056831 0.004365821
  0.0007587496 0.003615812
  0.0005208168 0.00286737
  0.0003405032 0.002116682
  0.0002166995 0.001367185
  0.0001494074 0.0006259853
  0.0001394049 -0.0001010001
  0.0001883657 -0.000808653
  0.00029904 -0.00149226
  0.0004755267 -0.002147154
  0.0007236979 -0.00276835
  0.001051235 -0.003350791
  0.001461663 -0.003896027
  0.001956331 -0.00440951
  0.002538453 -0.00489624
  0.00321317 -0.005361109
  0.003987526 -0.00580936
  0.00487015 -0.006247214
  0.005869873 -0.006682789
  0.006991237 -0.007127434
  0.008232621 -0.007593289
  0.009607268 -0.008081952
  0.01113023 -0.008589815
  0.01280857 -0.009109093
  0.01463701 -0.009628071
  0.01660137 -0.01013442
  0.0186953 -0.01062105
  0.02094177 -0.01108969
  0.02338172 -0.01154421
  0.02606932 -0.0119884
  0.02907821 -0.01242658
  0.03250552 -0.01286389
  0.03646563 -0.01330674
  0.04100684 -0.01375235
  0.04604861 -0.0141779
  0.05139366 -0.0145582
  0.05684376 -0.014881
  0.06233522 -0.01515041
  0.06791192 -0.01537396
  0.07361927 -0.01555642
  0.07948587 -0.01570136
  0.08551614 -0.01581196
  0.0916819 -0.0158911
  0.09793841 -0.01593993
  0.1042461 -0.01596013
  0.1105765 -0.0159542
  0.1169148 -0.01592512
  0.1232603 -0.0158758
  0.1296199 -0.01580793
  0.1359991 -0.01572277
  0.1424013 -0.01562157
  0.1488275 -0.01550562
  0.1552761 -0.01537629
  0.1617434 -0.01523487
  0.168225 -0.01508221
  0.1747173 -0.01491908
  0.1812178 -0.01474625
  0.1877247 -0.0145645
  0.1942374 -0.01437457
  0.2007562 -0.0141772
  0.2072819 -0.01397299
  0.2138152 -0.01376252
  0.2203563 -0.01354636
  0.2269053 -0.01332513
  0.2334618 -0.01309943
  0.2400252 -0.0128699
  0.2465945 -0.01263713
  0.2531685 -0.01240147
  0.2597462 -0.01216317
  0.2663269 -0.01192247
  0.2729099 -0.01167962
  0.2794947 -0.01143485
  0.2860808 -0.01118841
  0.2926683 -0.01094051
  0.2992569 -0.0106914
  0.3058467 -0.01044134
  0.3124377 -0.01019056
  0.3190299 -0.009939321
  0.3256231 -0.009687876
  0.3322174 -0.009436477
  0.3388128 -0.009185374
  0.3454092 -0.008934789
  0.3520066 -0.00868478
  0.3586048 -0.008435354
  0.3652036 -0.008186517
  0.3718026 -0.007938282
  0.3784014 -0.007690665
  0.3849996 -0.007443681
  0.3915964 -0.007197354
  0.3981913 -0.006951736
  0.4047837 -0.006707046
  0.4113729 -0.006463552
  0.417959 -0.006221515
  0.4245416 -0.005981188
  0.4311211 -0.005742814
  0.4376977 -0.005506632
  0.4442721 -0.005272871
  0.4508447 -0.005041742
  0.4574166 -0.004813285
  0.4639884 -0.004587431
  0.4705606 -0.004364118
  0.4771336 -0.004143286
  0.4837077 -0.003924883
  0.4902827 -0.003708862
  0.4968588 -0.003495181
  0.5034355 -0.003283804
  0.5100125 -0.003074738
  0.5165893 -0.002868059
  0.5231658 -0.002663853
  0.5297414 -0.002462198
  0.5363161 -0.002263175
  0.5428897 -0.002066858
  0.5494621 -0.001873322
  0.5560332 -0.001682638
  0.5626032 -0.001494878
  0.569172 -0.001310121
  0.5757398 -0.001128447
  0.5823066 -0.0009499381
  0.5888725 -0.0007746768
  0.5954375 -0.0006027448
  0.6020017 -0.0004342244
  0.6085651 -0.000269198
  0.6151277 -0.0001077472
  0.6216897 5.006563e-05
  0.6282509 0.0002041937
  0.6348116 0.0003545908
  0.6413716 0.0005012109
  0.6479312 0.0006440083
  0.6544903 0.000782937
  0.661049 0.0009179513
  0.6676076 0.001049006
  0.674166 0.001176063
  0.6807242 0.001299095
  0.6872824 0.001418072
  0.6938405 0.001532965
  0.7003982 0.001643742
  0.7069555 0.001750373
  0.7135122 0.001852826
  0.7200679 0.001951064
  0.7266224 0.002045005
  0.7331755 0.002134528
  0.7397271 0.002219518
  0.746277 0.002299859
  0.7528256 0.002375438
  0.7593728 0.002446141
  0.7659192 0.002511856
  0.7724649 0.002572486
  0.7790103 0.00262797
  0.7855555 0.002678247
  0.7921003 0.002723259
  0.7986443 0.002762942
  0.8051871 0.002797236
  0.8117278 0.00282608
  0.8182656 0.002849345
  0.8247997 0.002866758
  0.8313297 0.002878034
  0.8378559 0.00288289
  0.8443785 0.002881041
  0.8508986 0.002872204
  0.8574174 0.002856114
  0.863936 0.002832679
  0.8704548 0.002801875
  0.8769736 0.002763685
  0.8834911 0.002718095
  0.8900052 0.002665108
  0.8965134 0.002604582
  0.903013 0.002535907
  0.9095025 0.002458382
  0.9159813 0.002371309
  0.9224498 0.002273985
  0.9289091 0.002165866
  0.9353582 0.002046997
  0.9417922 0.001917634
  0.9482016 0.001778159
  0.954573 0.001628965
  0.9608781 0.001469813
  0.9670624 0.001301018
  0.9730536 0.001124018
  0.978769 0.000939394
  0.9841051 0.0007472002
  0.9889754 0.0005501525
  0.9933302 0.000352368
  0.9971356 0.0001595235
  1.00001 0.0
