 SELIG 3002-099-83
  0.7055417 -0.002863429
  0.7123833 -0.002306926
  0.7192119 -0.001751385
  0.7260207 -0.001200412
  0.7328052 -0.0006573824
  0.7395628 -0.0001254329
  0.7462928 0.0003925346
  0.7529965 0.0008938333
  0.7596763 0.001376369
  0.7663354 0.001839126
  0.7729763 0.002281214
  0.7796014 0.002701719
  0.7862128 0.003099698
  0.7928123 0.003474184
  0.7994016 0.003824185
  0.805982 0.004148801
  0.8125545 0.004447547
  0.8191197 0.004720017
  0.825678 0.004965788
  0.8322294 0.005184422
  0.8387736 0.005375475
  0.84531 0.005538503
  0.8518378 0.005673008
  0.8583563 0.005778393
  0.864865 0.005854069
  0.871364 0.005899457
  0.8778535 0.005913986
  0.8843342 0.005897078
  0.8908069 0.005848261
  0.8972723 0.0057674
  0.9037307 0.005654421
  0.9101817 0.005509258
  0.9166243 0.005331866
  0.9230572 0.005122251
  0.9294769 0.004880706
  0.9358758 0.004607897
  0.9422416 0.00430487
  0.9485577 0.003973138
  0.9548032 0.003614482
  0.9609459 0.003231023
  0.9669411 0.002826346
  0.9727387 0.002405418
  0.9782861 0.001974468
  0.9835183 0.001541812
  0.9883771 0.001116486
  0.9928275 0.0007061387
  0.9968506 0.0003170934
  1.0 0.0
