EH 2.0/10
  1.0 0.0
  0.9966331 0.0001694716
  0.9921883 0.0004403001
  0.9871847 0.0008045259
  0.9817379 0.001243964
  0.9759928 0.001735303
  0.9700642 0.00226215
  0.9640225 0.002811064
  0.9579218 0.003371368
  0.9517973 0.00393947
  0.9456625 0.00451446
  0.9395207 0.005095798
  0.9333758 0.005682858
  0.9272315 0.006275537
  0.9210902 0.006874135
  0.9149522 0.007479096
  0.9088169 0.008090882
  0.9026831 0.008709997
  0.8965494 0.009336697
  0.8904144 0.009970736
  0.8842774 0.01061176
  0.8781381 0.01125936
  0.8719967 0.01191306
  0.8658533 0.01257236
  0.8597081 0.01323679
  0.8535612 0.01390601
  0.8474132 0.0145797
  0.8412648 0.01525753
  0.835117 0.01593925
  0.8289705 0.01662494
  0.8228254 0.01731476
  0.8166813 0.01800894
  0.8105374 0.0187076
  0.8043928 0.01941061
  0.798247 0.02011775
  0.7920997 0.0208288
  0.785951 0.02154351
  0.779801 0.0222616
  0.7736501 0.02298282
  0.7674984 0.02370688
  0.7613463 0.02443355
  0.755194 0.02516274
  0.7490417 0.02589436
  0.7428893 0.0266284
  0.7367369 0.02736479
  0.7305842 0.02810346
  0.724431 0.0288443
  0.7182771 0.02958719
  0.7121222 0.030332
  0.7059663 0.0310786
  0.6998091 0.03182677
  0.6936507 0.03257627
  0.6874909 0.03332686
  0.6813301 0.03407827
  0.6751683 0.03483028
  0.6690058 0.03558267
  0.662843 0.03633524
  0.6566802 0.03708778
  0.6505179 0.03784007
  0.6443564 0.03859186
  0.638196 0.03934287
  0.632037 0.04009288
  0.6258792 0.04084164
  0.6197228 0.04158893
  0.6135675 0.04233455
  0.6074134 0.04307827
  0.6012603 0.04381984
  0.5951086 0.04455901
  0.5889583 0.04529553
  0.5828097 0.04602904
  0.5766629 0.04675918
  0.5705179 0.04748559
  0.5643746 0.04820795
  0.5582326 0.04892593
  0.5520917 0.04963929
  0.5459518 0.05034778
  0.5398128 0.05105115
  0.5336749 0.05174913
  0.5275383 0.05244143
  0.5214035 0.05312765
  0.5152707 0.05380729
  0.5091399 0.05447989
  0.5030112 0.05514501
  0.4968844 0.05580221
  0.4907594 0.05645109
  0.4846359 0.05709129
  0.4785139 0.05772241
  0.4723933 0.05834406
  0.4662743 0.05895585
  0.4601571 0.05955734
  0.4540417 0.06014803
  0.4479282 0.06072746
  0.4418166 0.06129515
  0.4357069 0.06185064
  0.429599 0.06239347
  0.4234928 0.06292317
  0.4173883 0.06343926
  0.4112858 0.06394126
  0.4051854 0.06442867
  0.3990874 0.06490096
  0.3929922 0.06535748
  0.3869 0.06579755
  0.3808107 0.06622054
  0.3747243 0.06662581
  0.3686408 0.06701274
  0.3625599 0.06738073
  0.3564817 0.06772918
  0.3504063 0.06805748
  0.3443338 0.06836504
  0.3382646 0.06865121
  0.3321989 0.06891526
  0.3261369 0.06915647
  0.3200789 0.0693741
  0.3140248 0.06956745
  0.3079749 0.06973577
  0.3019292 0.06987831
  0.295888 0.06999429
  0.2898515 0.07008295
  0.2838201 0.07014351
  0.2777943 0.07017515
  0.2717744 0.07017692
  0.2657607 0.07014792
  0.2597535 0.07008725
  0.2537531 0.06999399
  0.2477595 0.0698672
  0.2417732 0.06970595
  0.2357945 0.0695093
  0.2298238 0.06927632
  0.2238618 0.06900604
  0.217909 0.0686974
  0.2119658 0.06834937
  0.2060328 0.06796088
  0.2001103 0.06753091
  0.1941986 0.06705835
  0.1882986 0.06654216
  0.1824108 0.06598127
  0.1765362 0.06537466
  0.1706758 0.06472113
  0.1648306 0.06401945
  0.1590018 0.0632684
  0.1531903 0.06246677
  0.1473974 0.0616132
  0.1416244 0.06070626
  0.1358727 0.0597446
  0.1301437 0.05872684
  0.124439 0.05765145
  0.1187605 0.05651685
  0.1131098 0.05532156
  0.1074888 0.05406399
  0.1019002 0.05274242
  0.09634702 0.05135534
  0.09083278 0.04990139
  0.08536176 0.0483787
  0.07993824 0.04678526
  0.0745663 0.04511925
  0.06925063 0.04337869
  0.06399721 0.04156191
  0.05881297 0.03966797
  0.05370765 0.03769637
  0.04869594 0.03564858
  0.04379682 0.03352885
  0.03903756 0.03134267
  0.03445392 0.0291013
  0.03008621 0.02682169
  0.02598223 0.02452653
  0.02218486 0.02224632
  0.01873186 0.02002655
  0.01566114 0.017926
  0.01298671 0.01598362
  0.01071618 0.01421371
  0.008825632 0.01262139
  0.007258235 0.011194
  0.005947222 0.009904797
  0.004833155 0.008723612
  0.003871927 0.007625983
  0.003034878 0.006592376
  0.002312796 0.005611511
  0.001701922 0.004684404
  0.001194576 0.003814612
  0.0007793127 0.003003233
  0.0004533676 0.002248907
  0.0002164367 0.001542286
  6.565618e-05 0.0008694824
  1.330666e-06 0.0002161472
  2.882231e-05 -0.0004327309
  0.0001481283 -0.001090488
  0.0003584576 -0.001766469
  0.0006646765 -0.00246646
  0.00107385 -0.00318914
  0.001591945 -0.003924572
  0.002227059 -0.004667102
  0.002983184 -0.005413376
  0.003858821 -0.006164234
  0.004853418 -0.00692772
  0.005986489 -0.007710288
  0.00729065 -0.008516948
  0.008807726 -0.009352953
  0.01058736 -0.01022239
  0.01268763 -0.01112981
  0.01516466 -0.01208231
  0.01805745 -0.01309169
  0.02138779 -0.01414452
  0.02514515 -0.01520309
  0.02931528 -0.0162351
  0.03387972 -0.0172239
