AH 79-K-132/20
  1.0 0.0
  0.9968268 0.00115844
  0.9928138 0.002368869
  0.9882853 0.003517758
  0.983267 0.004681125
  0.977893 0.00586061
  0.9722786 0.007034042
  0.966486 0.008186905
  0.960545 0.009323663
  0.9544816 0.01045253
  0.9483344 0.01157928
  0.9421632 0.0127027
  0.9360117 0.01380852
  0.9298774 0.01488781
  0.9237288 0.01594853
  0.9175544 0.0170066
  0.9113759 0.018071
  0.9052278 0.01912985
  0.8991213 0.02016468
  0.8930414 0.02116325
  0.8869608 0.02213451
  0.8808607 0.02310044
  0.8747342 0.0240817
  0.8685844 0.02509094
  0.8624158 0.02612507
  0.8562308 0.02717906
  0.8500301 0.02824832
  0.8438178 0.02933227
  0.8376162 0.03043109
  0.8314673 0.0315411
  0.8254289 0.03265646
  0.8195512 0.03378535
  0.8138419 0.03494849
  0.8082711 0.03617127
  0.8027821 0.03748486
  0.7972965 0.0389141
  0.7917396 0.04046132
  0.78606 0.04212186
  0.7802357 0.04388103
  0.7742871 0.04570808
  0.7682741 0.04756761
  0.7622522 0.04943313
  0.7562522 0.0512858
  0.7502785 0.05311522
  0.7443119 0.05492007
  0.7383289 0.05670806
  0.7323181 0.05848535
  0.7262815 0.06025408
  0.7202352 0.06201239
  0.7142067 0.06375206
  0.7082182 0.0654585
  0.7022784 0.06712033
  0.6963835 0.06873032
  0.6905183 0.07028458
  0.6846598 0.07178399
  0.6787875 0.07323549
  0.6728888 0.07464474
  0.6669583 0.07601525
  0.6609989 0.07734861
  0.6550212 0.0786443
  0.6490371 0.07989893
  0.643054 0.0811096
  0.637074 0.08227466
  0.6310941 0.08339345
  0.6251062 0.0844664
  0.6191003 0.08549687
  0.6130695 0.08648902
  0.6070105 0.08744631
  0.6009237 0.08837158
  0.5948139 0.08926712
  0.5886885 0.09013347
  0.5825541 0.09096975
  0.5764154 0.09177539
  0.5702751 0.09255017
  0.5641336 0.09329413
  0.5579898 0.09400766
  0.5518418 0.0946913
  0.5456883 0.09534557
  0.5395283 0.09597092
  0.5333614 0.09656771
  0.5271875 0.0971363
