NACA 66-018
  0.1490696 -0.06314847
  0.1557589 -0.06443365
  0.1625119 -0.06568523
  0.1693268 -0.06690347
  0.176201 -0.06808864
  0.1831312 -0.06924103
  0.1901135 -0.07036098
  0.1971432 -0.07144884
  0.2042149 -0.07250498
  0.2113229 -0.07352922
  0.2184619 -0.07452108
  0.2256277 -0.07548027
  0.2328168 -0.0764067
  0.2400265 -0.07730047
  0.2472552 -0.07816187
  0.2545022 -0.0789913
  0.2617677 -0.07978922
  0.2690514 -0.08055603
  0.2763529 -0.08129212
  0.2836714 -0.08199783
  0.2910055 -0.0826735
  0.2983536 -0.08331946
  0.3057135 -0.08393597
  0.313083 -0.08452298
  0.3204599 -0.0850803
  0.3278425 -0.08560779
  0.3352291 -0.08610535
  0.3426183 -0.08657293
  0.350009 -0.08701052
  0.3574004 -0.08741809
  0.3647918 -0.0877956
  0.3721832 -0.08814301
  0.3795747 -0.08846029
  0.3869672 -0.08874742
  0.3943616 -0.0890044
  0.4017595 -0.08923119
  0.4091627 -0.08942786
  0.4165723 -0.0895946
  0.423988 -0.08973162
  0.4314084 -0.0898391
  0.4388305 -0.08991722
  0.4462502 -0.08996622
  0.4536621 -0.08998636
  0.46106 -0.08997748
  0.4684397 -0.08993896
  0.4757991 -0.0898702
  0.4831385 -0.08977061
  0.4904604 -0.08963957
  0.4977696 -0.08947637
  0.5050727 -0.0892802
  0.5123761 -0.08905051
  0.5196811 -0.08878709
  0.526983 -0.08848994
  0.5342709 -0.08815947
  0.5415282 -0.08779656
  0.5487332 -0.08740271
  0.5558604 -0.08697945
  0.5628872 -0.08652441
  0.5698025 -0.08603356
  0.5766065 -0.08550272
  0.5833084 -0.08492746
  0.5899242 -0.08430278
  0.5964759 -0.08362289
  0.6029912 -0.0828809
  0.6095014 -0.0820728
  0.6160351 -0.08119864
  0.6226156 -0.08025853
  0.6292608 -0.07925274
  0.6359831 -0.07818212
  0.6427887 -0.07704856
  0.6496756 -0.07585549
  0.6566331 -0.07460784
  0.663646 -0.07330928
  0.6707003 -0.07196287
  0.677785 -0.0705715
  0.6848922 -0.06913769
  0.6920178 -0.06766342
  0.6991612 -0.06614997
  0.7063259 -0.06459787
  0.7135175 -0.06300743
  0.7207411 -0.0613791
  0.7280012 -0.05971349
  0.7353013 -0.05801142
  0.7426442 -0.05627394
  0.7500316 -0.05450238
  0.757464 -0.05269838
  0.7649409 -0.05086384
  0.7724597 -0.04900113
  0.7800162 -0.04711321
  0.7876039 -0.04520366
  0.7952143 -0.0432767
  0.8028369 -0.04133722
  0.8104599 -0.03939112
  0.8180731 -0.03744483
  0.8256687 -0.03550417
  0.8332417 -0.03357422
  0.8407898 -0.03165933
  0.8483129 -0.02976314
  0.8558134 -0.02788828
  0.8632929 -0.02603436
  0.8707505 -0.02420021
  0.8781827 -0.02238535
  0.885581 -0.020591
  0.8929189 -0.01882361
  0.9001468 -0.01709502
  0.907202 -0.01542263
  0.9140376 -0.01382926
  0.9206377 -0.01232981
  0.9270089 -0.01093108
  0.9331713 -0.009634709
  0.9391522 -0.008439499
  0.9449824 -0.007342991
  0.9506947 -0.006342486
  0.9563202 -0.005432356
  0.9618732 -0.004600345
  0.9673457 -0.003836869
  0.9727121 -0.003135152
  0.9779349 -0.002489957
  0.982972 -0.001896397
  0.9877798 -0.001349273
  0.9923185 -0.00084407
  0.9965626 -0.0003766821
  1.0 0.0
