R140 (original)
  0.2898215 -0.05323477
  0.2957494 -0.05345632
  0.301692 -0.05366205
  0.3076435 -0.05386991
  0.3135933 -0.05409678
  0.3195291 -0.05433966
  0.3254442 -0.05457835
  0.3313383 -0.05479272
  0.3372175 -0.05496323
  0.3430939 -0.05507545
  0.3489795 -0.05514271
  0.3548802 -0.05518822
  0.3607953 -0.05523538
  0.3667168 -0.05530775
  0.372631 -0.05541468
  0.3785273 -0.05553413
  0.3844029 -0.05564038
  0.3902627 -0.05570829
  0.3961191 -0.05571399
  0.4019887 -0.05565514
  0.4078844 -0.05555012
  0.4138121 -0.05541842
  0.4197708 -0.05528028
  0.4257516 -0.05515372
  0.4317423 -0.05503823
  0.437733 -0.05492575
  0.443717 -0.05480812
  0.4496916 -0.0546772
  0.4556567 -0.05452672
  0.4616141 -0.05435427
  0.4675659 -0.05415783
  0.473515 -0.05393533
  0.479465 -0.05368508
  0.4854195 -0.0534119
  0.4913808 -0.05312574
  0.4973481 -0.05283683
  0.5033184 -0.05255558
  0.5092861 -0.05228888
  0.5152449 -0.05202813
  0.5211913 -0.05176055
  0.5271251 -0.05147339
  0.5330488 -0.0511541
  0.5389676 -0.05079662
  0.5448864 -0.05040257
  0.5508088 -0.04997394
  0.5567374 -0.04951278
  0.5626733 -0.0490216
  0.5686168 -0.04850738
  0.5745674 -0.04798002
  0.580523 -0.04744964
  0.5864802 -0.04692657
  0.5924342 -0.04641706
  0.5983793 -0.04591268
  0.6043122 -0.04540173
  0.6102325 -0.04487241
  0.6161419 -0.04431303
  0.6220455 -0.04372239
  0.6279494 -0.04311303
  0.6338587 -0.04249851
  0.6397777 -0.04189256
  0.6457094 -0.04130764
  0.6516544 -0.04074291
  0.6576109 -0.04019053
  0.6635754 -0.03964268
  0.6695424 -0.03909165
  0.6755053 -0.03853414
  0.6814586 -0.03798079
  0.6873973 -0.03744489
  0.6933173 -0.03693939
  0.6992155 -0.03647617
  0.7050879 -0.0360476
  0.7109325 -0.03562467
  0.7167514 -0.03517767
  0.7225506 -0.03467716
  0.7283404 -0.03409671
  0.7341353 -0.03344411
  0.739947 -0.03274826
  0.745781 -0.03203947
  0.7516362 -0.03134956
  0.7575042 -0.03070211
  0.7633711 -0.03008141
  0.7692259 -0.02946099
  0.7750626 -0.02881416
  0.7808796 -0.02811428
  0.7866815 -0.02735246
  0.7924771 -0.02655264
  0.7982743 -0.02574229
  0.8040794 -0.02494916
  0.8098974 -0.02420126
  0.8157301 -0.02351085
  0.8215742 -0.02285474
  0.8274256 -0.02220486
  0.8332803 -0.02153297
  0.8391345 -0.02081474
  0.8449884 -0.0200565
  0.850845 -0.01927845
  0.8567085 -0.01850085
  0.862584 -0.01774393
  0.8684772 -0.0170213
  0.87439 -0.01632604
  0.8803223 -0.01564745
  0.8862711 -0.01497489
  0.8922316 -0.01429802
  0.8981965 -0.01360986
  0.9041577 -0.01290611
  0.9101052 -0.01218283
  0.9160282 -0.0114364
  0.9219153 -0.01066515
  0.9277625 -0.00987875
  0.9335816 -0.009089875
  0.9393997 -0.00830874
  0.9452601 -0.0075436
  0.9511939 -0.006798758
  0.9570509 -0.00608007
  0.9628376 -0.005369617
  0.9686613 -0.004637748
  0.9745147 -0.003868545
  0.9799698 -0.003112139
  0.9849265 -0.002391086
  0.9893959 -0.001713299
  0.9934291 -0.001079113
  0.9970869 -0.0004854463
  1.0 0.0
