AH 88-K-130/20
  1.0 0.0
  0.9972595 0.001148152
  0.9935352 0.00233345
  0.989194 0.003571491
  0.9842792 0.004885767
  0.9788531 0.006290737
  0.9731195 0.007748417
  0.9672061 0.009230098
  0.9611585 0.01073418
  0.9550469 0.01225332
  0.948928 0.01377812
  0.9428064 0.01531016
  0.9366703 0.01685043
  0.93054 0.01839058
  0.9244617 0.01992291
  0.9184586 0.02145436
  0.9125128 0.02300122
  0.90658 0.02457099
  0.9006252 0.02615499
  0.8946369 0.02773785
  0.8886264 0.02930968
  0.8826102 0.03087743
  0.8765961 0.03245198
  0.870582 0.0340449
  0.8645594 0.03565923
  0.8585209 0.0372941
  0.8524621 0.03894779
  0.8463817 0.04061782
  0.8402818 0.04230105
  0.8341676 0.04399339
  0.8280477 0.0456898
  0.8219335 0.04738624
  0.8158349 0.04908249
  0.8097568 0.05078009
  0.803699 0.0524819
  0.7976563 0.05419037
  0.7916203 0.05590389
  0.7855822 0.05762006
  0.7795333 0.05933653
  0.7734646 0.06105122
  0.7673715 0.06276434
  0.761259 0.06447526
  0.7551439 0.06618026
  0.7490538 0.0678726
  0.7430225 0.06954007
  0.737072 0.07116456
  0.731205 0.07273299
  0.7254084 0.07423766
  0.7196558 0.07567483
  0.7139131 0.0770474
  0.7081513 0.07836526
  0.7023517 0.07963609
  0.6965048 0.08086494
  0.6906113 0.08205456
  0.6846822 0.08320534
  0.6787298 0.08431602
  0.6727625 0.08538618
  0.6667835 0.08641647
  0.6607912 0.08740846
  0.6547789 0.08836468
  0.6487397 0.08928881
  0.6426703 0.09018416
  0.6365721 0.09105341
  0.6304513 0.09189868
  0.6243185 0.09272114
  0.6181856 0.09351885
  0.6120601 0.09428926
  0.6059453 0.0950305
  0.5998396 0.09574132
  0.5937374 0.09642101
  0.5876306 0.09707061
  0.5815134 0.09769196
  0.5753825 0.09828652
  0.5692378 0.09885546
  0.5630823 0.09939966
  0.556921 0.09991921
  0.5507589 0.1004133
  0.5445988 0.1008812
  0.5384423 0.1013225
  0.5322889 0.1017368
  0.5261369 0.1021238
  0.5199847 0.1024829
  0.5138326 0.1028136
  0.5076829 0.1031151
  0.5015396 0.1033866
  0.4954085 0.1036275
  0.4892953 0.1038359
  0.4832016 0.1040099
  0.4771244 0.1041478
  0.4710568 0.1042478
  0.4649876 0.1043082
  0.4589026 0.1043293
  0.4527908 0.1043145
  0.446647 0.1042674
  0.4404721 0.1041919
  0.4342738 0.1040917
  0.4280661 0.10397
  0.4218632 0.103826
  0.4156744 0.1036582
  0.4095032 0.1034649
  0.4033479 0.1032446
  0.3972017 0.1029955
  0.3910559 0.1027178
  0.3849046 0.1024123
  0.3787447 0.1020796
  0.3725763 0.1017208
  0.3664027 0.101337
  0.360229 0.1009284
  0.3540594 0.1004949
  0.3478966 0.100036
  0.3417421 0.09955137
  0.3355956 0.09904055
  0.329456 0.0985032
  0.3233214 0.09793911
  0.3171901 0.09734801
  0.3110599 0.09672959
  0.3049282 0.0960835
  0.2987931 0.09540976
  0.2926542 0.09470893
  0.2865133 0.09398178
  0.2803744 0.09322943
  0.2742437 0.09245316
  0.2681277 0.09165281
  0.2620296 0.09082714
  0.2559487 0.08997441
  0.2498806 0.08909233
  0.2438175 0.08817854
  0.2377522 0.08723253
  0.2316822 0.08625489
