NACA 0010-65
  1.0 0.001
  0.9968439 0.00172714
  0.9930333 0.00259662
  0.9890234 0.00350166
  0.9847962 0.004444712
  0.9803333 0.005428084
  0.9756168 0.006453689
  0.9706307 0.007522683
  0.9653637 0.008634932
  0.9598126 0.009788319
  0.9539873 0.01097794
  0.9479152 0.0121954
  0.9416435 0.01342876
  0.935231 0.0146645
  0.9287385 0.01588966
  0.9222205 0.01709338
  0.9157194 0.01826782
  0.9092625 0.0194085
  0.9028615 0.02051396
  0.8965146 0.02158524
  0.8902108 0.02262493
  0.8839384 0.02363563
  0.8776872 0.02461956
  0.8714484 0.02557854
  0.8652141 0.02651412
  0.8589776 0.02742757
  0.852733 0.02831994
  0.8464752 0.02919208
  0.8402 0.03004465
  0.8339041 0.03087817
  0.8275849 0.03169296
  0.8212409 0.03248924
  0.8148712 0.03326708
  0.8084762 0.03402644
  0.8020571 0.03476715
  0.7956163 0.03548896
  0.7891569 0.03619162
  0.7826819 0.03687495
  0.7761943 0.03753885
  0.7696965 0.03818326
  0.7631911 0.03880818
  0.7566802 0.03941368
  0.7501657 0.03999986
  0.7436493 0.04056686
  0.7371323 0.04111488
  0.7306159 0.04164416
  0.7241008 0.04215495
  0.7175877 0.04264753
  0.7110768 0.04312223
  0.7045682 0.04357936
  0.6980616 0.04401929
  0.6915566 0.0444423
  0.6850525 0.04484854
  0.6785489 0.04523815
  0.6720453 0.04561128
  0.6655411 0.04596804
  0.6590359 0.04630855
  0.6525293 0.04663293
  0.6460209 0.04694128
  0.6395103 0.0472337
  0.6329972 0.04751028
  0.6264813 0.04777113
  0.6199623 0.04801632
  0.61344 0.04824595
  0.606914 0.04846007
  0.6003843 0.04865879
  0.5938506 0.0488422
  0.5873128 0.04901061
  0.5807708 0.04916439
  0.5742244 0.0493039
  0.5676737 0.04942949
  0.5611187 0.04954152
  0.5545594 0.04964036
  0.5479959 0.04972638
  0.5414282 0.04979992
  0.5348567 0.04986136
  0.5282814 0.04991107
  0.5217027 0.04994941
  0.5151208 0.04997676
