OAF117 AIRFOIL
  1.0 0.004931
  0.996427 0.005186189
  0.9920183 0.005511903
  0.9872884 0.005874731
  0.9822342 0.006275996
  0.9768614 0.006717188
  0.9711835 0.007199603
  0.9652212 0.007723242
  0.9590013 0.00828688
  0.9525545 0.008888695
  0.9459119 0.009526362
  0.9391034 0.01019708
  0.9321573 0.01089778
  0.9250984 0.01162583
  0.9179472 0.01237886
  0.9107193 0.01315462
  0.9034279 0.01395073
  0.896084 0.01476502
  0.8886966 0.01559562
  0.8812731 0.01644087
  0.873819 0.01729934
  0.8663387 0.01816986
  0.8588352 0.01905134
  0.8513109 0.01994275
  0.8437677 0.02084302
  0.8362076 0.02175109
  0.8286324 0.02266607
  0.8210439 0.02358715
  0.8134437 0.02451353
  0.8058329 0.02544458
  0.7982125 0.02637976
  0.7905831 0.02731858
  0.7829449 0.02826051
  0.7752986 0.02920492
  0.7676456 0.03015107
  0.7599878 0.0310982
  0.7523274 0.03204578
  0.7446666 0.03299335
  0.7370072 0.03394047
  0.7293509 0.03488664
  0.7216989 0.0358313
  0.7140515 0.03677398
  0.7064087 0.03771428
  0.6987703 0.03865199
  0.6911361 0.03958691
  0.6835062 0.0405188
  0.6758811 0.04144738
  0.6682611 0.0423723
  0.6606465 0.04329324
  0.6530375 0.04420984
  0.6454339 0.04512183
  0.637836 0.04602888
  0.6302436 0.0469307
  0.6226572 0.04782697
  0.6150769 0.04871732
  0.6075031 0.04960136
  0.599936 0.05047869
  0.5923758 0.05134893
  0.5848226 0.05221168
  0.5772766 0.05306654
  0.569738 0.05391309
  0.5622072 0.05475092
  0.5546847 0.05557956
  0.547171 0.05639847
  0.5396663 0.05720712
  0.5321711 0.05800496
  0.5246857 0.05879148
  0.5172101 0.0595661
  0.5097448 0.06032826
  0.5022901 0.06107736
  0.4948464 0.06181285
  0.487414 0.06253407
  0.4799933 0.06324039
  0.4725845 0.06393116
  0.4651877 0.06460575
  0.4578031 0.06526354
  0.4504309 0.06590388
  0.4430716 0.06652608
  0.4357256 0.06712949
  0.4283938 0.0677134
  0.4210765 0.06827704
