NACA M2
  1.0 0.002
  0.9969202 0.002310821
  0.993194 0.002685289
  0.9892624 0.00307853
  0.9851046 0.003492298
  0.9806985 0.003928425
  0.9760216 0.004388714
  0.9710526 0.004874771
  0.9657744 0.005387709
  0.9601787 0.005927712
  0.9542725 0.006493457
  0.9480853 0.007081452
  0.9417141 0.007682021
  0.9354257 0.008270002
  0.9292048 0.008847134
  0.9229963 0.009418747
  0.9167592 0.009988714
  0.9104645 0.01055973
  0.9040955 0.01113332
  0.8976966 0.01170551
  0.8913584 0.01226828
  0.8850699 0.01282267
  0.8788174 0.01336988
  0.8725893 0.01391093
  0.8663757 0.01444668
  0.8601675 0.01497783
  0.8539574 0.01550497
  0.8477389 0.01602858
  0.8415064 0.01654904
  0.8352556 0.01706661
  0.8289832 0.01758147
  0.8226867 0.01809369
  0.816365 0.01860326
  0.8100181 0.01911005
  0.8036472 0.01961384
  0.7972548 0.02011431
  0.7908447 0.02061108
  0.7844206 0.02110382
  0.77799 0.02159193
  0.7715646 0.0220745
  0.7651426 0.02255167
  0.7587214 0.02302364
  0.7522988 0.02349056
  0.7458729 0.02395256
  0.7394421 0.02440973
  0.7330082 0.02486193
  0.7265796 0.02530857
  0.7201577 0.02574955
  0.7137426 0.02618488
  0.7073342 0.02661459
  0.7009318 0.0270387
  0.6945347 0.02745729
  0.6881419 0.02787038
  0.6817523 0.02827799
  0.6753652 0.0286801
  0.6689796 0.02907671
  0.662595 0.0294678
  0.6562107 0.02985336
  0.6498261 0.03023335
  0.6434408 0.03060774
  0.6370545 0.03097647
  0.6306668 0.03133951
  0.6242775 0.0316968
  0.6178865 0.03204827
  0.6114938 0.03239387
  0.6050993 0.03273352
  0.5987033 0.03306714
  0.5923058 0.03339467
  0.5859072 0.03371604
  0.5795075 0.03403116
  0.5731072 0.03433998
  0.5667062 0.03464243
  0.560305 0.03493845
  0.5539036 0.03522796
  0.5475023 0.0355109
  0.5411012 0.03578721
  0.5347005 0.03605682
  0.5283005 0.03631969
  0.5219013 0.03657574
  0.5155031 0.03682492
  0.509106 0.03706716
  0.5027102 0.03730242
  0.4963159 0.03753062
  0.4899232 0.03775165
  0.4835322 0.03796532
  0.477143 0.03817144
  0.4707557 0.03836983
  0.4643703 0.03856031
