DAE-51 AIRFOIL
  0.9999979 0.001
  0.99696 0.001572763
  0.9930224 0.002312772
  0.9885512 0.003149801
  0.9835437 0.004083931
  0.9780922 0.005100603
  0.9723193 0.006181636
  0.9663054 0.007314709
  0.9601181 0.008487461
  0.9538168 0.00968863
  0.9474449 0.01091025
  0.9410342 0.01214669
  0.9346057 0.01339434
  0.928168 0.01465189
  0.9217196 0.01591928
  0.9152576 0.01719609
  0.9087803 0.01848158
  0.902288 0.01977468
  0.8957821 0.02107403
  0.8892654 0.02237824
  0.8827409 0.02368589
  0.8762119 0.0249955
  0.8696818 0.02630557
  0.8631542 0.02761453
  0.8566322 0.02892092
  0.8501179 0.03022345
  0.8436124 0.03152106
  0.8371159 0.03281286
  0.8306278 0.03409822
  0.8241471 0.03537666
  0.8176728 0.03664772
  0.8112033 0.037911
  0.8047373 0.03916616
  0.7982735 0.04041307
  0.7918113 0.0416516
  0.7853512 0.04288143
  0.7788947 0.04410208
  0.7724438 0.04531279
  0.7660007 0.04651229
  0.7595667 0.04769932
  0.753142 0.04887285
  0.7467261 0.05003198
  0.7403177 0.05117613
  0.7339153 0.05230497
  0.7275172 0.05341824
  0.7211219 0.05451565
  0.7147279 0.05559692
  0.7083336 0.05666199
  0.7019384 0.05771094
  0.6955421 0.05874372
  0.6891453 0.05976018
  0.6827492 0.06076002
  0.6763554 0.06174263
  0.6699646 0.06270738
  0.663577 0.06365374
  0.6571925 0.06458129
  0.65081 0.06548971
  0.6444287 0.06637887
  0.6380479 0.0672486
  0.6316672 0.06809871
  0.6252863 0.06892897
  0.6189053 0.06973922
  0.6125236 0.07052943
  0.6061404 0.07129964
  0.5997544 0.07204989
  0.593364 0.07278035
  0.5869676 0.07349147
  0.5805645 0.07418376
  0.5741551 0.07485758
  0.5677408 0.07551322
  0.561324 0.0761507
  0.5549066 0.0767696
  0.5484901 0.07736952
  0.5420752 0.07795018
  0.5356615 0.07851134
  0.5292486 0.07905289
  0.5228358 0.07957475
  0.5164229 0.08007682
  0.51001 0.08055897
  0.5035977 0.08102105
  0.4971864 0.0814628
  0.4907766 0.08188398
  0.4843684 0.08228434
  0.4779621 0.08266365
  0.4715575 0.08302171
  0.4651545 0.0833583
  0.4587531 0.08367321
  0.4523537 0.08396621
  0.4459566 0.08423709
  0.4395621 0.08448558
  0.4331707 0.08471135
  0.4267824 0.08491411
  0.4203972 0.08509357
  0.4140148 0.08524942
  0.407635 0.08538147
  0.4012575 0.0854895
  0.3948825 0.08557334
  0.3885103 0.08563277
  0.3821412 0.08566757
  0.3757758 0.08567746
  0.3694145 0.08566212
  0.3630575 0.08562124
  0.356705 0.08555451
  0.3503569 0.08546165
  0.3440131 0.08534238
  0.3376738 0.08519642
  0.3313389 0.0850235
  0.3250083 0.08482333
  0.3186821 0.08459566
  0.3123605 0.08434025
  0.3060436 0.08405688
  0.2997319 0.08374534
  0.293426 0.08340538
  0.2871264 0.08303671
  0.2808336 0.08263896
  0.2745483 0.08221181
  0.268271 0.08175492
  0.2620019 0.08126792
  0.2557418 0.0807504
  0.249491 0.08020193
  0.2432501 0.07962208
  0.2370198 0.07901046
  0.2308006 0.0783666
  0.2245933 0.07768996
  0.2183987 0.07698004
  0.2122178 0.07623637
  0.2060516 0.07545847
  0.199901 0.07464569
  0.1937674 0.07379736
  0.1876519 0.07291281
  0.1815555 0.07199142
  0.1754794 0.07103252
  0.1694251 0.07003525
  0.1633939 0.0689988
  0.1573874 0.06792243
  0.1514073 0.06680546
  0.1454556 0.06564702
  0.1395344 0.06444612
  0.1336462 0.06320189
  0.1277935 0.06191361
  0.121979 0.06058056
  0.1162061 0.05920165
  0.1104786 0.05777588
  0.1048007 0.05630251
  0.09917666 0.05478113
  0.09361154 0.05321131
  0.08811107 0.05159253
  0.08268142 0.04992474
  0.07732895 0.04820842
  0.0720604 0.04644431
  0.06688707 0.0446334
  0.06182795 0.04277974
  0.05690726 0.04089115
  0.05215094 0.03897838
  0.0475844 0.03705304
  0.04322927 0.035126
  0.03909974 0.03320767
  0.03520229 0.03130728
  0.03153859 0.02943204
  0.02812573 0.02759257
  0.02499575 0.0258117
  0.02216951 0.02411354
  0.01964501 0.02251386
  0.01740159 0.02101718
  0.01540559 0.01961581
  0.01361787 0.0182957
  0.01200339 0.01704256
  0.01053348 0.01584394
  0.009185615 0.01468905
  0.007947061 0.01356653
  0.006816891 0.01247329
  0.005797212 0.01141423
  0.004887038 0.0103962
  0.004080603 0.009424296
  0.003370918 0.008501636
  0.00275223 0.007628188
  0.002215424 0.006798765
  0.001751162 0.006006564
  0.001351451 0.005244902
  0.001009952 0.004507718
  0.0007218743 0.003789598
  0.0004838013 0.003085649
  0.0002935443 0.002391319
  0.0001500656 0.00170219
  5.348909e-05 0.001013757
  5.225812e-06 0.0003211477
  8.243412e-06 -0.0003810823
  6.713159e-05 -0.001095484
  0.0001878338 -0.001818963
  0.000374893 -0.002545581
  0.0006307779 -0.003269266
  0.0009581118 -0.003983754
  0.001359821 -0.004682635
  0.001837786 -0.005359658
  0.002393904 -0.006007787
  0.003030937 -0.006618612
  0.003751381 -0.007187772
  0.004555965 -0.00771906
  0.005444283 -0.008217627
  0.006413694 -0.008689794
  0.007464809 -0.009140249
  0.008606733 -0.009570432
  0.009850544 -0.009982741
  0.01120862 -0.01038162
  0.01269428 -0.01077456
  0.01432433 -0.01116644
  0.01612115 -0.01155637
  0.0181105 -0.01194313
  0.02032129 -0.01232597
  0.02278565 -0.01270549
  0.02554096 -0.01308351
  0.02862993 -0.01345687
  0.03208991 -0.01381982
  0.03594191 -0.01416614
  0.04018495 -0.01449175
  0.0448079 -0.01479625
  0.04979335 -0.01507438
  0.05509852 -0.01531974
  0.06066115 -0.01552879
  0.0664212 -0.015702
  0.07233993 -0.01584118
