AH 80-140
  1.0 0.0
  0.9972963 0.001460569
  0.9937117 0.001867859
  0.9902129 0.002490303
  0.9865931 0.00301783
  0.98277 0.003494132
  0.9787549 0.004033613
  0.9745482 0.004622183
  0.9701264 0.005211092
  0.9654643 0.00580176
  0.9605483 0.006431219
  0.9553736 0.007123227
  0.9499367 0.007859571
  0.9442385 0.008612984
  0.9382882 0.009385534
  0.9320956 0.01020263
  0.9256609 0.01108423
  0.9189842 0.01201649
  0.9120868 0.01297349
  0.9050128 0.01394646
  0.8977952 0.014952
  0.8904326 0.01601089
  0.8829068 0.01712076
  0.8752312 0.01826234
  0.8674648 0.01941548
  0.8596666 0.02058421
  0.8518435 0.02178531
  0.8439517 0.0230345
  0.8359529 0.02432667
  0.8278608 0.02564491
  0.8197429 0.02697107
  0.8116575 0.028306
  0.8036085 0.0296614
  0.7955506 0.03105238
  0.787437 0.03248034
  0.7792619 0.03393671
  0.7710667 0.03540593
  0.7629084 0.0368822
  0.7548051 0.03837178
  0.7467298 0.03988873
  0.7386243 0.0414451
  0.7304471 0.04303947
  0.7221987 0.04466139
  0.7139251 0.0462931
  0.7056858 0.04792699
  0.6975048 0.04956707
  0.6893647 0.05122522
  0.6812162 0.05291457
  0.6730164 0.05463652
  0.6647556 0.05638427
  0.6564617 0.05814309
  0.6481888 0.05990119
  0.6399746 0.06165867
  0.6318253 0.06342226
  0.6237183 0.06520353
  0.6156153 0.06700634
  0.6074879 0.06882597
  0.5993238 0.07065395
  0.5911272 0.07247932
  0.5829156 0.07429979
  0.5747083 0.07611834
  0.5665223 0.07793834
  0.5583723 0.07976193
  0.5502658 0.08158185
  0.5422008 0.08338885
  0.5341672 0.08517578
  0.5261482 0.08693836
  0.5181325 0.08867933
  0.5101296 0.09040039
  0.5021709 0.0920986
  0.4943065 0.09376613
  0.4865839 0.09538582
  0.4790234 0.09694216
  0.4716201 0.09842645
  0.4643507 0.09983499
  0.4571835 0.1011694
  0.4500953 0.1024333
  0.4430748 0.1036281
  0.4361207 0.1047536
  0.4292398 0.1058079
  0.4224384 0.1067872
  0.4157107 0.1076889
  0.4090393 0.1085119
  0.4023966 0.1092557
  0.3957459 0.1099216
  0.3890545 0.1105177
  0.382305 0.1110515
  0.3754975 0.1115291
  0.3686519 0.1119557
  0.3618041 0.1123319
  0.3549835 0.1126517
  0.3482015 0.1129099
  0.3414514 0.1131026
  0.3347109 0.1132261
  0.3279509 0.1132825
  0.3211549 0.1132765
  0.3143231 0.1132127
  0.3074737 0.1130963
  0.3006408 0.1129302
  0.2938535 0.1127105
  0.2871228 0.1124324
  0.2804418 0.1120911
  0.2737885 0.1116809
  0.2671361 0.1112018
  0.2604714 0.110657
  0.2537975 0.1100506
  0.2471344 0.1093886
  0.2405127 0.1086741
  0.2339512 0.1079039
  0.2274489 0.107073
  0.2209867 0.1061739
  0.2145319 0.1052001
  0.208059 0.1041543
  0.201566 0.1030439
  0.1950765 0.1018807
  0.1886366 0.1006781
  0.1822874 0.09943669
  0.1760411 0.09815081
  0.1698837 0.09681017
  0.1637822 0.09540374
  0.1577091 0.09393305
  0.1516655 0.09240818
  0.145681 0.09084679
  0.1398073 0.08926733
  0.1340859 0.08767166
  0.1285263 0.08605278
  0.1231133 0.08439827
  0.1178168 0.08269685
  0.1126159 0.0809516
  0.1075131 0.07917416
  0.1025305 0.07738273
  0.09770171 0.07559481
  0.09305117 0.07381307
  0.08858158 0.07203264
  0.08428078 0.07024459
  0.08012826 0.06844017
  0.07610638 0.06662328
  0.07221221 0.06480573
  0.06845385 0.06300342
  0.0648453 0.0612336
  0.06140178 0.0595033
  0.05812816 0.05780854
  0.05501844 0.05614215
  0.05206085 0.05449557
  0.04924078 0.05286096
  0.04654245 0.05123927
  0.04395554 0.04963686
  0.04147495 0.04806148
  0.03909854 0.04652135
  0.03682566 0.04502405
  0.03465809 0.04357104
  0.0325964 0.04215804
  0.03063769 0.04077984
  0.02877704 0.03943108
  0.02700855 0.0381065
  0.02532586 0.0368015
  0.02372115 0.03551502
  0.02218738 0.03424825
  0.02071909 0.03300275
  0.01931198 0.03178024
  0.01796247 0.03058242
  0.01666755 0.02941085
  0.01542609 0.02826531
  0.0142392 0.02714268
  0.01310717 0.02603966
  0.01202955 0.02495312
  0.01100538 0.02388014
  0.01003336 0.02281802
  0.009112013 0.02176432
  0.008239678 0.02071754
  0.007414654 0.01967693
  0.006635366 0.0186419
  0.005900347 0.0176119
  0.005208223 0.0165865
  0.004557705 0.0155653
  0.003947665 0.01454797
  0.00337859 0.01353445
  0.002852152 0.01252488
  0.002369787 0.01151938
  0.001932691 0.01051807
  0.001541846 0.009521059
  0.001198046 0.008528443
  0.0009018135 0.007540351
  0.0006518225 0.00655747
  0.0004454455 0.005580577
  0.0002802191 0.004609975
  0.0001539373 0.003645557
  6.468367e-05 0.002686879
  1.085236e-05 0.001733205
  -8.837173e-06 0.0007835354
  4.680137e-06 -0.0001633797
  5.241441e-05 -0.001108117
  0.0001395498 -0.002049044
  0.0002722106 -0.002983903
  0.0004569746 -0.003910069
  0.0007009445 -0.004824489
  0.001011808 -0.005723627
  0.00139657 -0.006603784
  0.001854022 -0.007463306
  0.002379415 -0.00830129
  0.00296778 -0.00911659
  0.003613826 -0.009907796
  0.004311822 -0.01067322
  0.005056709 -0.01141122
  0.005847321 -0.01212124
  0.00668341 -0.01280297
  0.007564757 -0.01345605
  0.008491184 -0.01408008
  0.009462565 -0.01467463
  0.01047893 -0.01523949
  0.01154087 -0.01577646
  0.01264906 -0.01628827
  0.01380395 -0.016778
  0.01500555 -0.0172491
  0.01625325 -0.01770557
  0.01754563 -0.01815195
  0.01888211 -0.01859048
  0.02026438 -0.01901962
  0.02169468 -0.01943738
  0.02317572 -0.01984166
  0.02471096 -0.02023017
  0.02630485 -0.02060043
  0.02796318 -0.02095026
  0.02969234 -0.02128089
  0.03149899 -0.02159535
  0.03338998 -0.02189746
  0.03537189 -0.02219212
  0.0374502 -0.0224856
  0.03962825 -0.02278513
  0.04190879 -0.02309149
  0.04429538 -0.02340059
  0.04679233 -0.0237073
  0.04940604 -0.02400541
  0.05214745 -0.02428757
  0.055034 -0.02454897
  0.05808714 -0.02479305
  0.06132871 -0.0250259
  0.06477788 -0.02525601
  0.06844585 -0.02549502
  0.0723324 -0.02574803
  0.07643189 -0.02600636
  0.08074076 -0.02625764
  0.0852668 -0.02648676
  0.09003814 -0.02668384
  0.09509085 -0.02685613
  0.1004506 -0.02701662
  0.1061151 -0.02718262
  0.1120437 -0.02735784
  0.1181886 -0.02752627
  0.1245253 -0.02766859
  0.1310692 -0.02777093
  0.1378495 -0.02784378
  0.14487 -0.02790564
  0.1520896 -0.02797563
  0.1594397 -0.02804834
  0.166877 -0.02810487
  0.1744045 -0.02812621
  0.1820598 -0.02811038
  0.1898651 -0.02807211
  0.1978027 -0.02802856
  0.2058141 -0.02798826
