  NACA 64(1)-212
  1.0 0.0
  0.9968318 0.0003526298
  0.9930049 0.0007841964
  0.9889746 0.001245331
  0.9847216 0.00173934
  0.9802255 0.002269853
  0.9754656 0.002840743
  0.9704229 0.003455952
  0.9650824 0.004119165
  0.9594374 0.004833266
  0.9534946 0.00559955
  0.9472806 0.006416722
  0.9408443 0.007279739
  0.9342478 0.008180508
  0.9275556 0.009109792
  0.9208253 0.01005863
  0.9141007 0.01101951
  0.9074076 0.01198721
  0.9007536 0.01295903
  0.8941298 0.01393483
  0.88752 0.01491611
  0.8809105 0.01590425
  0.8742906 0.01690021
  0.8676529 0.01790454
  0.8609929 0.0189173
  0.8543091 0.0199381
  0.8476036 0.02096602
  0.8408813 0.02199971
  0.8341473 0.02303778
  0.8274064 0.0240789
  0.8206627 0.02512184
  0.8139194 0.02616547
  0.8071794 0.02720878
  0.8004445 0.02825086
  0.7937159 0.02929087
  0.7869945 0.030328
  0.7802806 0.03136142
  0.7735744 0.03239038
  0.7668757 0.03341418
  0.7601842 0.03443214
  0.7534992 0.03544365
  0.7468197 0.03644815
  0.7401447 0.03744529
  0.7334733 0.03843491
  0.7268048 0.0394168
  0.7201388 0.04039073
  0.713475 0.04135643
  0.7068134 0.04231361
  0.7001541 0.04326195
  0.6934976 0.04420106
  0.6868441 0.0451305
  0.680194 0.04604981
  0.6735475 0.04695854
  0.6669048 0.04785627
  0.6602659 0.04874259
  0.6536308 0.0496171
  0.6469993 0.05047941
  0.6403713 0.05132918
  0.6337464 0.05216611
  0.6271246 0.05298987
  0.6205056 0.05380016
  0.6138891 0.05459667
  0.6072749 0.05537909
  0.6006628 0.05614713
  0.5940524 0.05690047
  0.5874435 0.0576388
  0.5808363 0.05836179
  0.5742309 0.05906908
  0.5676277 0.0597603
  0.5610274 0.06043507
  0.5544309 0.06109298
  0.547839 0.06173364
  0.541253 0.06235652
  0.5346737 0.06296103
  0.5281012 0.0635466
  0.5215354 0.06411272
  0.5149755 0.06465893
  0.5084201 0.06518478
  0.5018676 0.06568988
  0.4953156 0.06617385
  0.4887621 0.06663648
  0.482206 0.0670776
  0.4756478 0.0674969
  0.4690891 0.06789402
  0.4625331 0.06826855
  0.4559842 0.06862004
  0.4494482 0.06894804
  0.4429319 0.06925176
  0.4364409 0.06952918
  0.4299783 0.06977827
  0.4235444 0.06999716
  0.4171368 0.07018414
  0.4107508 0.07033754
  0.4043793 0.07045567
  0.3980131 0.07053676
  0.3916409 0.07058026
  0.3852525 0.07058809
  0.3788403 0.07056234
  0.3723992 0.07050499
  0.365927 0.07041806
  0.3594242 0.07030361
  0.3528948 0.07016387
  0.3463459 0.07000124
  0.339787 0.06981678
  0.3332271 0.06960998
  0.3266731 0.06938032
  0.3201298 0.06912728
  0.3136001 0.06885033
  0.3070847 0.06854889
  0.3005826 0.0682223
  0.2940907 0.06786987
