  SD7043 (9.1%)
  1.0 0.0
  0.9968706 0.000451117
  0.9928545 0.001050938
  0.9884026 0.001743552
  0.9835364 0.002533777
  0.9782773 0.00342115
  0.9726704 0.004395564
  0.9667804 0.0054402
  0.9606793 0.006540545
  0.9544353 0.007683603
  0.9480961 0.008859248
  0.9416823 0.01006181
  0.9352066 0.01128694
  0.9286803 0.01253024
  0.9221139 0.01378744
  0.9155163 0.01505502
  0.9088962 0.01633022
  0.9022618 0.01761029
  0.895621 0.01889257
  0.8889809 0.02017448
  0.8823473 0.02145366
  0.8757241 0.02272809
  0.8691132 0.02399621
  0.8625141 0.02525684
  0.8559249 0.02650924
  0.8493425 0.02775332
  0.8427649 0.0289891
  0.8361906 0.03021641
  0.8296195 0.03143489
  0.823052 0.03264403
  0.8164897 0.0338431
  0.8099339 0.03503112
  0.8033856 0.03620716
  0.796845 0.03737042
  0.7903119 0.03852022
  0.7837854 0.03965596
  0.7772641 0.04077721
  0.7707465 0.04188382
  0.7642314 0.04297573
  0.757718 0.04405277
  0.7512055 0.04511476
  0.7446938 0.04616143
  0.7381829 0.04719249
  0.731673 0.04820761
  0.7251644 0.04920652
  0.718657 0.05018898
  0.7121506 0.05115482
  0.7056448 0.05210386
  0.6991388 0.05303597
  0.6926317 0.05395104
  0.6861223 0.05484915
  0.6796098 0.05573055
  0.6730936 0.05659545
  0.6665733 0.05744406
  0.6600488 0.05827651
  0.6535203 0.0590929
  0.6469885 0.05989332
  0.640454 0.06067775
  0.6339176 0.06144608
  0.6273797 0.06219821
  0.6208408 0.06293407
  0.6143008 0.06365362
  0.6077597 0.06435682
  0.601217 0.06504368
  0.5946723 0.06571423
  0.5881249 0.06636859
  0.5815746 0.06700687
  0.5750212 0.06762919
  0.5684648 0.06823562
  0.5619059 0.0688262
  0.5553451 0.06940098
  0.5487834 0.06995997
  0.5422218 0.07050304
  0.5356613 0.07102987
  0.5291025 0.07154015
  0.5225459 0.07203362
  0.5159916 0.07251003
  0.5094395 0.07296915
  0.5028891 0.07341075
  0.4963399 0.07383468
  0.4897912 0.07424087
  0.4832423 0.07462933
  0.4766931 0.07500003
  0.4701433 0.07535292
  0.4635931 0.07568796
  0.4570427 0.07600509
  0.4504925 0.07630423
  0.4439432 0.07658526
  0.4373954 0.07684794
  0.4308494 0.07709205
  0.4243057 0.07731739
  0.4177643 0.07752374
  0.4112255 0.07771091
  0.404689 0.07787871
  0.3981547 0.07802694
  0.3916225 0.07815542
  0.3850923 0.07826397
  0.3785642 0.07835242
  0.3720382 0.07842059
  0.3655148 0.07846829
  0.3589943 0.07849535
  0.3524772 0.07850158
  0.3459642 0.07848672
  0.3394557 0.0784504
  0.3329522 0.0783923
  0.3264539 0.07831207
  0.319961 0.07820938
  0.3134736 0.0780839
  0.3069915 0.07793529
  0.3005148 0.0777632
  0.2940434 0.07756728
  0.2875777 0.07734716
  0.2811182 0.07710252
  0.2746653 0.07683302
  0.2682201 0.07653837
  0.2617835 0.07621825
  0.2553566 0.07587212
  0.2489405 0.07549933
  0.2425362 0.07509921
  0.2361445 0.07467111
  0.2297663 0.07421443
  0.223402 0.07372853
  0.2170524 0.07321273
  0.2107181 0.07266621
  0.2044 0.07208814
  0.198099 0.07147773
  0.1918163 0.07083425
  0.1855531 0.070157
  0.1793108 0.06944524
  0.1730912 0.06869786
  0.1668965 0.06791374
  0.1607294 0.06709192
  0.1545926 0.06623155
  0.1484895 0.06533195
  0.1424236 0.06439223
  0.1363989 0.06341078
  0.1304193 0.06238607
  0.1244886 0.06131673
  0.1186106 0.06020162
  0.1127889 0.05903971
  0.1070278 0.0578295
  0.1013332 0.05656963
  0.09571175 0.05525941
  0.09017085 0.0538988
  0.08471847 0.05248834
  0.07936478 0.05102795
  0.07412347 0.04951824
  0.06901026 0.04796179
  0.06404132 0.04636294
  0.05923224 0.04472707
  0.05459991 0.04305879
  0.0501613 0.04136413
  0.04593048 0.03965092
  0.04191688 0.03792773
  0.03812704 0.03620284
  0.03457282 0.03448601
  0.03126657 0.03279051
  0.02821409 0.03112982
  0.02541215 0.02951507
  0.02285084 0.02795216
  0.02051768 0.02644055
  0.01839621 0.02497854
  0.01646774 0.02356405
  0.01471315 0.0221946
  0.01311409 0.02086754
  0.01165529 0.01958074
  0.01032699 0.018334
  0.009120569 0.01712765
