  SD7084 (9.6%)
  0.2439854 -0.0260773
  0.2502119 -0.02604907
  0.2564414 -0.02601236
  0.2626733 -0.02596759
  0.2689068 -0.02591495
  0.2751414 -0.02585459
  0.2813768 -0.02578661
  0.2876126 -0.02571116
  0.293849 -0.02562836
  0.300086 -0.02553832
  0.306324 -0.02544119
  0.3125635 -0.02533712
  0.3188049 -0.02522641
  0.3250485 -0.02510934
  0.3312944 -0.02498621
  0.3375427 -0.02485733
  0.3437932 -0.02472298
  0.3500457 -0.02458349
  0.3562995 -0.02443916
  0.3625543 -0.0242902
  0.3688095 -0.02413666
  0.3750647 -0.02397855
  0.3813196 -0.02381588
  0.3875742 -0.02364867
  0.3938284 -0.02347692
  0.4000825 -0.02330063
  0.4063367 -0.0231198
  0.4125914 -0.02293447
  0.4188473 -0.02274481
  0.4251044 -0.02255104
  0.4313633 -0.02235338
  0.4376239 -0.02215205
  0.4438863 -0.02194728
  0.4501504 -0.0217393
  0.456416 -0.02152836
  0.4626828 -0.02131467
  0.4689505 -0.02109838
  0.4752186 -0.02087949
  0.4814869 -0.02065802
  0.4877551 -0.020434
  0.4940232 -0.02020741
  0.5002908 -0.01997829
  0.5065581 -0.01974663
  0.5128251 -0.01951244
  0.5190917 -0.01927573
  0.5253582 -0.01903654
  0.5316246 -0.01879494
  0.5378912 -0.01855097
  0.544158 -0.01830468
  0.5504253 -0.01805613
  0.5566931 -0.01780537
  0.5629618 -0.01755245
  0.5692314 -0.01729742
  0.5755023 -0.01704039
  0.5817745 -0.01678152
  0.5880482 -0.01652099
  0.5943233 -0.01625897
  0.6005998 -0.01599566
  0.6068774 -0.01573122
  0.6131561 -0.01546587
  0.6194354 -0.01519977
  0.625715 -0.0149331
  0.6319945 -0.01466582
  0.6382736 -0.01439787
  0.6445521 -0.01412917
  0.6508298 -0.01385965
  0.6571068 -0.01358924
  0.6633829 -0.01331784
  0.6696583 -0.01304537
  0.6759332 -0.01277177
  0.6822079 -0.01249718
  0.6884825 -0.01222182
  0.6947573 -0.01194595
  0.7010325 -0.0116698
  0.7073081 -0.01139361
  0.7135845 -0.01111762
  0.7198616 -0.01084209
  0.7261395 -0.01056723
  0.7324184 -0.01029308
  0.738698 -0.01001963
  0.7449783 -0.009746846
  0.751259 -0.009474711
  0.7575397 -0.009203211
  0.76382 -0.008932336
  0.7700993 -0.00866208
  0.7763771 -0.008392545
  0.7826527 -0.008124029
  0.7889261 -0.007856842
  0.795197 -0.007591286
  0.8014658 -0.007327651
  0.8077328 -0.007066217
  0.8139986 -0.006807257
  0.820264 -0.006550929
  0.8265298 -0.006297136
  0.8327965 -0.006045751
  0.8390642 -0.005796658
  0.8453329 -0.005549754
  0.8516024 -0.005304941
  0.8578722 -0.00506215
  0.8641415 -0.004821519
  0.8704097 -0.004583318
  0.8766765 -0.004347816
  0.8829414 -0.004115274
