 NLR-1T AIRFOIL
  0.2432372 -0.0289113
  0.2495795 -0.02911265
  0.2559244 -0.02930524
  0.2622703 -0.0294894
  0.2686155 -0.02966525
  0.2749585 -0.02983252
  0.2812987 -0.02999091
  0.2876364 -0.03014017
  0.2939724 -0.03028005
  0.3003087 -0.03041029
  0.3066478 -0.03053089
  0.3129919 -0.03064245
  0.3193425 -0.03074572
  0.3257 -0.03084138
  0.3320641 -0.03093015
  0.3384333 -0.03101272
  0.3448051 -0.03108973
  0.3511767 -0.03116118
  0.3575458 -0.03122668
  0.3639113 -0.03128584
  0.3702727 -0.03133829
  0.3766306 -0.03138367
  0.3829866 -0.0314216
  0.3893429 -0.03145189
  0.3957018 -0.03147491
  0.4020649 -0.03149112
  0.4084328 -0.03150098
  0.4148054 -0.03150497
  0.4211816 -0.03150355
  0.4275597 -0.03149718
  0.433937 -0.03148598
  0.4403116 -0.03146947
  0.4466817 -0.03144716
  0.4530469 -0.03141858
  0.459407 -0.03138324
  0.4657629 -0.03134063
  0.4721159 -0.0312903
  0.4784679 -0.03123201
  0.4848204 -0.03116579
  0.4911739 -0.03109167
  0.4975286 -0.03100968
  0.5038836 -0.03091986
  0.5102376 -0.03082226
  0.5165886 -0.03071693
  0.5229346 -0.03060357
  0.5292743 -0.03048174
  0.5356081 -0.03035099
  0.5419372 -0.03021082
  0.548264 -0.0300607
  0.5545923 -0.02990008
  0.5609267 -0.02972886
  0.5672713 -0.02954844
  0.5736289 -0.02936049
  0.5800003 -0.02916677
  0.5863848 -0.0289691
  0.5927798 -0.02876938
  0.5991808 -0.02856954
  0.6055821 -0.02836999
  0.6119787 -0.02816956
  0.6183671 -0.02796699
  0.6247453 -0.027761
  0.6311126 -0.02755026
  0.63747 -0.02733341
  0.6438194 -0.02710931
  0.6501637 -0.02687771
  0.6565054 -0.02663854
  0.662847 -0.02639173
  0.6691908 -0.02613722
  0.6755393 -0.02587493
  0.6818945 -0.02560487
  0.6882583 -0.02532801
  0.6946318 -0.02504589
  0.7010152 -0.02476011
  0.707408 -0.02447233
  0.7138085 -0.02418422
  0.7202144 -0.02389651
  0.7266226 -0.02360891
  0.7330297 -0.0233211
  0.7394318 -0.02303277
  0.745825 -0.02274345
  0.7522065 -0.02245201
  0.7585761 -0.0221571
  0.7649363 -0.02185727
  0.7712921 -0.02155094
  0.7776506 -0.02123734
  0.7840174 -0.02091733
  0.7903956 -0.02059209
  0.7967846 -0.02026294
  0.8031809 -0.0199314
  0.809578 -0.01959864
  0.8159692 -0.01926423
  0.8223504 -0.0189273
  0.8287202 -0.01858686
  0.8350796 -0.01824179
  0.8414321 -0.01789086
  0.8477834 -0.01753299
  0.854138 -0.01716799
  0.8604966 -0.01679597
  0.8668563 -0.0164173
  0.8732102 -0.01603258
  0.8795476 -0.01564265
  0.8858546 -0.01524638
  0.8921165 -0.01483751
  0.8983192 -0.01440936
  0.9044505 -0.01395578
  0.9104994 -0.01347126
  0.9164588 -0.01295077
  0.9223339 -0.01238884
  0.9281454 -0.01177867
  0.9339272 -0.01111138
  0.9397267 -0.01037593
  0.9455927 -0.009570593
  0.9515395 -0.008705272
  0.9575294 -0.007798784
  0.9634688 -0.006880252
  0.9692282 -0.005980554
  0.9746994 -0.005118584
  0.9798247 -0.004304655
  0.9845894 -0.00354239
  0.9890063 -0.002830945
  0.9931021 -0.002167075
  0.9969084 -0.001546552
  1.0 -0.00104
