Dayton-Wright T-1
  0.07219663 0.1005363
  0.0678419 0.09867227
  0.06370218 0.09682461
  0.05977751 0.09499213
  0.05606412 0.09317437
  0.0525553 0.09137131
  0.0492422 0.08958319
  0.04611553 0.08781255
  0.04316641 0.08606533
  0.04038486 0.08434593
  0.0377604 0.08265715
  0.03528259 0.08100058
  0.0329414 0.07937697
  0.03072736 0.07778647
  0.02863166 0.07622882
  0.02664617 0.07470345
  0.02476339 0.07320964
  0.02297519 0.07174514
  0.02127275 0.07030606
  0.01965125 0.06889192
  0.01810853 0.06750497
  0.01664338 0.06614877
  0.01525446 0.06482708
  0.0139397 0.06354306
  0.01269614 0.06229888
  0.01152116 0.06109589
  0.01041731 0.05993539
  0.009385862 0.0588167
  0.008425271 0.05773749
  0.007532577 0.05669469
  0.006704271 0.05568504
  0.005936757 0.0547053
  0.0052266 0.05375245
  0.004570639 0.05282367
  0.003966036 0.05191642
  0.00341028 0.05102837
  0.002901183 0.0501574
  0.002436862 0.04930157
  0.002015718 0.04845912
  0.001636415 0.0476284
  0.001297868 0.0468079
  0.0009992228 0.04599619
  0.0007398498 0.04519191
  0.0005193346 0.04439377
  0.0003374757 0.04360052
  0.0001942854 0.04281092
  8.999542e-05 0.04202375
  2.506719e-05 0.04123778
  2.086561e-07 0.04045175
  1.60505e-05 0.03966445
  7.182745e-05 0.03887517
  0.0001665501 0.0380834
  0.0002994887 0.03728866
  0.0004701472 0.03649053
  0.0006782447 0.03568864
  0.0009237017 0.03488263
  0.001206631 0.03407221
  0.001527334 0.03325711
  0.001886298 0.03243711
  0.002284196 0.03161205
  0.002721897 0.03078182
  0.003200465 0.0299464
  0.003721171 0.02910586
  0.004285504 0.02826038
  0.004895176 0.02741032
  0.005552138 0.02655622
  0.006258579 0.02569889
  0.007016925 0.02483949
  0.007829828 0.02397961
  0.00870012 0.02312147
  0.009630737 0.02226805
  0.01062458 0.02142339
  0.01168426 0.02059289
  0.01281176 0.01978367
  0.0140092 0.01900175
  0.01528041 0.01824805
  0.01662941 0.01752226
  0.01806009 0.01682313
  0.01957612 0.01614814
  0.02118094 0.01549308
  0.02287762 0.01485159
  0.02466898 0.01421453
  0.02655805 0.01357082
  0.02855048 0.01291733
  0.03065317 0.01225533
