 E178  (8.69%)
  0.2671607 -0.01768492
  0.2732068 -0.01755318
  0.2792541 -0.01741799
  0.2853027 -0.01727958
  0.2913521 -0.01713815
  0.2974024 -0.01699394
  0.3034532 -0.01684717
  0.3095045 -0.01669804
  0.3155562 -0.01654671
  0.3216081 -0.01639323
  0.3276603 -0.01623769
  0.3337127 -0.01608013
  0.3397653 -0.01592063
  0.3458183 -0.01575926
  0.3518716 -0.01559607
  0.3579254 -0.01543112
  0.3639798 -0.01526451
  0.370035 -0.01509639
  0.376091 -0.01492691
  0.382148 -0.01475624
  0.3882059 -0.01458454
  0.3942648 -0.01441197
  0.4003245 -0.01423869
  0.4063851 -0.01406488
  0.4124463 -0.0138907
  0.418508 -0.01371624
  0.42457 -0.01354151
  0.4306323 -0.01336654
  0.4366947 -0.01319134
  0.4427572 -0.01301593
  0.4488195 -0.01284032
  0.4548817 -0.01266453
  0.4609437 -0.01248856
  0.4670054 -0.01231245
  0.473067 -0.01213624
  0.4791282 -0.01196002
  0.4851892 -0.01178386
  0.49125 -0.01160784
  0.4973104 -0.01143206
  0.5033707 -0.01125658
  0.5094307 -0.01108149
  0.5154906 -0.01090686
  0.5215503 -0.01073278
  0.5276099 -0.01055927
  0.5336694 -0.01038634
  0.5397289 -0.01021398
  0.5457883 -0.01004221
  0.5518477 -0.009871031
  0.5579072 -0.009700443
  0.5639667 -0.009530453
  0.5700263 -0.009361067
  0.5760859 -0.009192289
  0.5821456 -0.009024131
  0.5882054 -0.008856607
  0.5942652 -0.008689732
  0.600325 -0.00852352
  0.6063847 -0.008357986
  0.6124444 -0.008193146
  0.6185039 -0.008029015
  0.6245631 -0.00786561
  0.630622 -0.007702959
  0.6366804 -0.007541135
  0.6427384 -0.007380223
  0.6487958 -0.007220303
  0.6548527 -0.007061457
  0.6609091 -0.006903765
  0.6669652 -0.006747308
  0.673021 -0.006592163
  0.6790767 -0.006438406
  0.6851324 -0.006286057
  0.6911883 -0.006135073
  0.6972445 -0.00598541
  0.7033011 -0.005837027
  0.709358 -0.005689881
  0.7154152 -0.005543932
  0.7214727 -0.00539914
  0.7275303 -0.005255466
  0.7335879 -0.005112902
  0.7396453 -0.004971493
  0.7457025 -0.004831292
  0.7517595 -0.00469235
  0.7578161 -0.004554717
  0.7638724 -0.004418444
  0.7699284 -0.004283578
  0.7759843 -0.004150167
  0.7820401 -0.004018231
  0.7880959 -0.003887764
  0.7941519 -0.003758756
  0.800208 -0.003631201
  0.8062642 -0.00350509
  0.8123205 -0.003380418
  0.8183768 -0.00325718
  0.8244329 -0.003135397
  0.8304888 -0.003015151
  0.8365444 -0.002896534
  0.8425996 -0.002779635
  0.8486543 -0.002664544
  0.8547084 -0.002551351
  0.8607619 -0.00244014
  0.8668148 -0.002330896
  0.8728673 -0.002223515
