  SD7062 (14%)
  1.0 0.0
  0.9964103 0.0005885489
  0.9920345 0.001355811
  0.9873816 0.002220825
  0.9824303 0.003182039
  0.9771658 0.004238832
  0.9715797 0.005389149
  0.9656718 0.006626621
  0.9594524 0.007945013
  0.9529436 0.009336782
  0.9461769 0.01079085
  0.9391897 0.01229507
  0.9320218 0.01383867
  0.9247101 0.01541137
  0.9172829 0.01700463
  0.9097586 0.01861356
  0.9021528 0.02023547
  0.8944798 0.02186806
  0.8867526 0.02350943
  0.8789821 0.02515794
  0.8711781 0.02681201
  0.8633494 0.02847021
  0.8555039 0.03013138
  0.8476483 0.03179449
  0.839788 0.03345816
  0.8319275 0.03512093
  0.8240703 0.03678155
  0.8162189 0.03843896
  0.8083749 0.04009231
  0.800539 0.04174084
  0.7927122 0.04338379
  0.7848952 0.0450204
  0.7770889 0.04664993
  0.769294 0.04827162
  0.7615114 0.04988466
  0.7537418 0.05148815
  0.7459856 0.05308118
  0.7382434 0.05466291
  0.7305156 0.0562325
  0.7228024 0.05778918
  0.7151038 0.05933214
  0.7074199 0.06086064
  0.6997502 0.06237396
  0.6920941 0.06387146
  0.6844507 0.06535255
  0.6768189 0.0668167
  0.6691976 0.06826351
  0.6615856 0.06969271
  0.6539825 0.07110398
  0.6463878 0.07249694
  0.6388016 0.07387115
  0.6312242 0.07522611
  0.6236564 0.07656125
  0.6160986 0.07787589
  0.6085511 0.0791694
  0.601014 0.0804412
  0.5934868 0.08169076
  0.5859688 0.08291764
  0.5784592 0.08412141
  0.5709567 0.08530183
  0.5634606 0.08645873
  0.5559705 0.08759187
  0.5484862 0.08870096
  0.5410081 0.08978566
  0.5335367 0.09084561
  0.5260729 0.09188033
  0.5186178 0.09288919
  0.5111721 0.09387153
  0.5037364 0.09482674
  0.4963112 0.09575425
  0.4888965 0.09665352
  0.4814924 0.09752406
  0.4740986 0.0983654
  0.466715 0.0991771
  0.4593416 0.0999587
  0.4519783 0.1007098
  0.4446253 0.1014298
  0.4372827 0.1021184
  0.4299508 0.1027751
  0.4226299 0.1033993
  0.4153206 0.1039906
  0.4080235 0.1045484
  0.4007393 0.1050722
  0.393469 0.1055615
  0.3862136 0.1060158
  0.3789742 0.1064344
  0.3717519 0.1068167
  0.3645479 0.1071619
  0.3573628 0.1074693
  0.3501977 0.1077381
  0.3430532 0.1079678
  0.3359298 0.1081576
  0.3288283 0.108307
  0.3217494 0.1084152
  0.3146937 0.1084814
  0.3076623 0.1085052
  0.3006558 0.1084857
  0.2936752 0.1084226
  0.2867216 0.108315
  0.2797964 0.1081623
  0.2729011 0.1079637
  0.2660377 0.1077186
  0.2592081 0.1074265
  0.2524146 0.107087
  0.2456597 0.1066994
  0.2389459 0.1062628
  0.2322753 0.1057764
  0.2256499 0.1052395
  0.2190713 0.1046514
  0.2125409 0.1040116
  0.2060604 0.1033195
  0.1996316 0.1025745
  0.1932571 0.1017762
  0.18694 0.1009244
  0.1806837 0.1000192
  0.1744918 0.09906073
  0.1683684 0.09804906
  0.1623178 0.09698397
  0.1563443 0.09586555
  0.1504519 0.09469417
  0.1446443 0.09347043
  0.1389252 0.09219511
  0.1332987 0.09086891
  0.1277695 0.08949287
  0.122342 0.08806846
  0.1170211 0.08659755
  0.1118111 0.08508239
  0.1067165 0.08352534
  0.1017426 0.08192895
  0.09689507 0.08029641
  0.09217948 0.07863151
  0.08760068 0.07693844
  0.08316279 0.07522155
  0.07886991 0.07348466
  0.0747258 0.07173151
  0.07073312 0.06996612
  0.06689323 0.06819259
  0.06320615 0.06641496
  0.05967072 0.064637
  0.05628574 0.06286202
  0.05304974 0.06109334
  0.04996044 0.05933423
  0.04701475 0.05758778
  0.04420876 0.05585676
  0.04153788 0.05414358
  0.03899761 0.05245019
  0.03658384 0.05077829
  0.03429223 0.04912946
  0.0321181 0.04750507
  0.03005652 0.04590625
  0.02810235 0.04433382
  0.02625033 0.04278837
  0.02449545 0.04127005
  0.02283344 0.03977846
  0.02126011 0.03831314
  0.01977121 0.03687358
  0.01836254 0.03545924
  0.01702996 0.03406955
  0.01576941 0.03270393
  0.014577 0.03136175
  0.01344903 0.03004237
  0.01238289 0.02874527
  0.0113767 0.02747002
  0.01042846 0.02621615
  0.009536137 0.0249832
  0.008697644 0.02377064
  0.007910897 0.02257797
  0.007173828 0.02140467
  0.006484403 0.0202502
  0.005840635 0.01911404
  0.005240566 0.01799568
  0.004681979 0.01689466
  0.004162545 0.01581053
  0.003680066 0.01474277
  0.003232485 0.01369084
  0.002817883 0.01265417
  0.002434475 0.0116322
  0.002080602 0.01062434
  0.001754726 0.00963003
  0.001455422 0.00864873
