LWK 80-080
  1.0 0.0
  0.998191 0.001066019
  0.995846 0.001122278
  0.9930626 0.001261823
  0.9899223 0.001630058
  0.9862807 0.001905215
  0.9818912 0.002141243
  0.9767755 0.002488165
  0.9712623 0.00288609
  0.9655156 0.003273064
  0.9595983 0.003667465
  0.9535859 0.004080467
  0.9475391 0.004503194
  0.941491 0.004929516
  0.9354557 0.005361821
  0.9294345 0.005804324
  0.9234199 0.006259376
  0.9174045 0.006727422
  0.9113841 0.007208607
  0.9053568 0.007702059
  0.8993239 0.008206216
  0.8932894 0.008719326
  0.887259 0.009240928
  0.8812356 0.009771978
  0.8752185 0.01031379
  0.8692037 0.01086749
  0.8631868 0.01143284
  0.8571658 0.01200917
  0.8511414 0.01259556
  0.845116 0.01319127
  0.8390914 0.01379602
  0.833068 0.01440977
  0.8270441 0.01503261
  0.8210169 0.01566419
  0.8149841 0.01630343
  0.8089447 0.01694906
  0.8028992 0.01759969
  0.796849 0.0182538
  0.7907961 0.01890996
  0.7847422 0.01956673
  0.778689 0.02022272
  0.7726376 0.02087659
  0.7665892 0.02152726
  0.7605444 0.02217378
  0.7545036 0.02281527
  0.7484666 0.02345088
  0.742433 0.02407986
  0.7364021 0.02470164
  0.7303736 0.02531563
  0.724347 0.02592127
  0.7183219 0.02651796
  0.7122978 0.02710522
  0.7062748 0.02768267
  0.7002526 0.02824991
  0.6942316 0.02880654
  0.6882118 0.02935213
  0.6821937 0.02988617
  0.6761775 0.03040806
  0.6701633 0.03091724
  0.6641507 0.03141314
  0.6581395 0.03189524
  0.6521291 0.03236316
  0.646119 0.03281668
  0.640109 0.03325558
  0.6340989 0.03367964
  0.6280886 0.03408861
  0.6220782 0.03448232
  0.6160676 0.03486072
  0.6100566 0.03522381
  0.6040447 0.03557159
  0.5980312 0.03590406
  0.5920153 0.03622132
  0.585996 0.03652384
  0.579973 0.03681221
  0.5739462 0.037087
  0.567916 0.03734875
  0.5618833 0.03759797
  0.5558491 0.03783491
  0.5498142 0.03805956
  0.543779 0.03827195
  0.5377434 0.0384721
  0.5317072 0.03866008
  0.5256695 0.03883604
  0.5196296 0.03900042
  0.5135871 0.0391537
  0.5075417 0.03929635
  0.5014935 0.03942881
  0.495443 0.03955153
  0.4893905 0.03966475
  0.4833366 0.03976865
  0.4772817 0.03986338
  0.4712263 0.03994913
  0.4651707 0.04002605
  0.4591151 0.04009426
  0.4530599 0.04015371
  0.4470049 0.04020438
  0.4409499 0.04024625
  0.4348947 0.04027927
  0.4288388 0.04030346
  0.4227816 0.04031896
  0.4167231 0.04032597
  0.4106635 0.04032467
  0.4046033 0.04031526
  0.3985433 0.04029791
  0.3924845 0.04027255
  0.3864273 0.04023892
  0.3803719 0.04019677
  0.3743178 0.04014584
  0.3682638 0.04008588
  0.3622087 0.04001686
  0.3561516 0.03993913
  0.3500922 0.03985306
  0.344031 0.03975902
  0.3379692 0.0396574
  0.3319087 0.03954833
  0.325851 0.03943128
  0.3197969 0.03930568
  0.3137464 0.03917091
  0.3076988 0.03902634
  0.3016525 0.03887156
  0.2956061 0.03870673
  0.2895585 0.03853208
  0.2835093 0.03834787
  0.2774585 0.03815437
  0.2714068 0.03795174
  0.2653548 0.03773988
  0.2593037 0.03751869
  0.2532545 0.03728806
  0.2472084 0.0370479
  0.2411665 0.03679785
  0.2351295 0.03653724
  0.2290968 0.03626535
  0.2230671 0.0359814
  0.2170382 0.03568468
  0.211008 0.03537517
  0.2049759 0.03505316
  0.198943 0.03471905
  0.192912 0.03437332
  0.1868867 0.03401575
  0.1808693 0.03364525
  0.1748599 0.03326053
  0.168856 0.03286015
  0.1628532 0.03244306
  0.1568487 0.03200929
  0.1508432 0.03155926
  0.1448406 0.03109361
  0.1388478 0.03061231
  0.1328696 0.03011335
  0.1269064 0.02959426
  0.1209539 0.02905222
  0.1150056 0.02848555
  0.1090584 0.02789411
  0.1031151 0.02727836
  0.09718314 0.02663853
  0.0912715 0.02597218
  0.08538581 0.02527601
  0.07952837 0.02454649
  0.07369989 0.02377963
  0.06790155 0.02297147
  0.06213555 0.02211803
  0.05641051 0.02121469
  0.05074734 0.02025871
  0.04517747 0.01924719
  0.03973296 0.01817113
  0.03443883 0.01702207
  0.02934162 0.01579623
  0.02453778 0.0145088
  0.02014272 0.01318786
  0.01625483 0.01187119
  0.01292469 0.01059292
  0.01019526 0.009390866
  0.008013303 0.00829355
  0.006258752 0.007294003
  0.004815899 0.006370821
  0.003603964 0.005505113
  0.002594722 0.004672749
  0.001784989 0.003864204
  0.001156593 0.003083437
  0.000682454 0.002336687
  0.0003439241 0.001631992
  0.000124345 0.0009634047
  1.414339e-05 0.0003183159
  1.414339e-05 -0.0003183159
  0.000124345 -0.0009634047
  0.0003439241 -0.001631992
  0.000682454 -0.002336687
  0.001156593 -0.003083437
  0.001784989 -0.003864204
  0.002594722 -0.004672749
  0.003603964 -0.005505113
  0.004815899 -0.006370821
  0.006258752 -0.007294003
  0.008013303 -0.00829355
  0.01019526 -0.009390866
  0.01292469 -0.01059292
  0.01625483 -0.01187119
  0.02014272 -0.01318786
  0.02453778 -0.0145088
  0.02934162 -0.01579623
  0.03443883 -0.01702207
  0.03973296 -0.01817113
  0.04517747 -0.01924719
  0.05074734 -0.02025871
