EH 2.5/10
  1.0 0.0
  0.9960907 0.0003276565
  0.9910142 0.0007545281
  0.9854127 0.001227756
  0.9795152 0.001731767
  0.973465 0.002257285
  0.9673108 0.00279486
  0.9611065 0.003337299
  0.9548949 0.003884106
  0.9486948 0.004437222
  0.942502 0.004999165
  0.9363066 0.005569992
  0.9301035 0.006148964
  0.9238928 0.006734847
  0.9176797 0.007326576
  0.9114697 0.007924545
  0.9052655 0.008529612
  0.8990671 0.009142912
  0.8928716 0.009765408
  0.8866761 0.01039701
  0.8804788 0.0110373
  0.8742797 0.01168574
  0.86808 0.01234179
  0.8618816 0.01300544
  0.855685 0.01367684
  0.8494903 0.01435621
  0.8432967 0.01504377
  0.837103 0.0157393
  0.8309086 0.01644252
  0.824713 0.01715307
  0.8185161 0.01787055
  0.8123181 0.01859449
  0.8061189 0.01932437
  0.7999186 0.02005968
  0.7937172 0.02079997
  0.7875149 0.02154484
  0.7813117 0.02229393
  0.7751079 0.02304687
  0.768904 0.02380331
  0.7627003 0.02456321
  0.7564972 0.02532658
  0.7502949 0.02609345
  0.7440936 0.02686385
  0.7378935 0.02763789
  0.7316942 0.02841567
  0.7254952 0.02919737
  0.719296 0.02998311
  0.7130958 0.03077261
  0.7068942 0.03156545
  0.7006913 0.03236117
  0.6944876 0.03315927
  0.6882836 0.03395955
  0.6820797 0.03476189
  0.6758759 0.03556627
  0.669672 0.03637263
  0.6634674 0.03718084
  0.6572622 0.03799066
  0.6510561 0.03880185
  0.6448496 0.03961409
  0.6386429 0.04042702
  0.6324364 0.0412402
  0.6262302 0.04205325
  0.6200247 0.04286575
  0.6138198 0.04367733
  0.6076156 0.04448761
  0.601412 0.04529621
  0.595209 0.0461028
  0.5890064 0.04690712
  0.5828042 0.04770894
  0.5766024 0.04850804
  0.5704009 0.0493042
  0.5641999 0.05009717
  0.5579994 0.05088671
  0.5517997 0.05167258
  0.5456009 0.0524545
  0.5394033 0.05323201
  0.533207 0.05400455
  0.5270121 0.05477157
  0.5208188 0.0555325
  0.5146268 0.05628682
  0.5084363 0.05703399
  0.502247 0.0577735
  0.4960588 0.05850482
  0.4898714 0.0592275
  0.4836848 0.05994112
  0.4774988 0.06064526
  0.4713134 0.06133949
  0.4651284 0.06202336
  0.458944 0.06269645
  0.4527601 0.06335831
  0.4465768 0.0640085
  0.4403942 0.06464645
  0.4342125 0.0652715
  0.4280317 0.06588302
  0.421852 0.06648034
  0.4156735 0.06706281
  0.4094964 0.0676298
  0.4033206 0.06818065
  0.3971464 0.06871473
  0.3909739 0.0692313
  0.3848031 0.06972956
  0.3786342 0.07020868
  0.3724671 0.07066784
  0.3663018 0.07110625
  0.3601383 0.07152311
  0.3539764 0.07191761
  0.347816 0.07228897
  0.3416569 0.0726364
  0.3354992 0.07295914
  0.3293429 0.07325641
  0.3231882 0.07352743
  0.3170354 0.07377144
  0.3108848 0.07398766
  0.304737 0.07417531
  0.2985924 0.07433365
  0.2924518 0.07446175
  0.2863156 0.0745584
  0.2801842 0.07462235
  0.2740574 0.07465236
