NACA 67,1-215
  1.0 0.0
  0.9967002 0.0006126028
  0.9927586 0.001366545
  0.9886608 0.002176058
  0.9843958 0.003046595
  0.9799517 0.003984176
  0.9753166 0.004995379
  0.9704788 0.006087302
  0.9654274 0.007267437
  0.9601533 0.008543456
  0.9546506 0.009922831
  0.9489184 0.01141225
  0.9429618 0.01301479
  0.9367921 0.01472662
  0.9304269 0.01653968
  0.9238904 0.01844187
  0.9172123 0.02041736
  0.9104254 0.02244731
  0.903564 0.02451098
  0.8966609 0.02658734
  0.8897455 0.02866022
  0.8828412 0.03071887
  0.8759631 0.03275519
  0.8691184 0.03476369
  0.8623064 0.03674127
  0.8555195 0.03868703
  0.8487432 0.04060193
  0.8419587 0.04248978
  0.8351512 0.04435591
  0.8283128 0.04620381
  0.821443 0.04803492
  0.8145489 0.04984865
  0.8076459 0.05164249
  0.800757 0.05341208
  0.7939114 0.05515015
  0.787134 0.05684479
  0.7804395 0.05848611
  0.773833 0.06006729
  0.7673118 0.06158406
  0.7608668 0.06303406
  0.7544834 0.06441626
  0.7481428 0.06573059
  0.741824 0.06698014
  0.7355087 0.06817039
  0.7291818 0.06930575
  0.7228307 0.07038965
  0.7164451 0.07142466
  0.7100173 0.07241267
  0.7035418 0.07335497
  0.6970159 0.07425239
  0.690439 0.07510616
  0.6838114 0.07591802
  0.6771342 0.07668975
  0.6704095 0.07742316
  0.6636399 0.07812014
  0.6568293 0.07878261
  0.6499826 0.07941261
  0.6431055 0.0800117
  0.6362034 0.08057999
  0.6292812 0.08111744
  0.6223425 0.08162421
  0.6153905 0.08210056
  0.608427 0.08254688
  0.6014529 0.08296365
  0.5944684 0.08335142
  0.5874728 0.08371073
  0.5804656 0.08404213
  0.5734465 0.08434612
  0.5664152 0.08462322
  0.5593716 0.08487393
  0.552316 0.08509877
  0.5452485 0.08529822
  0.5381696 0.08547272
  0.5310799 0.08562266
  0.5239805 0.08574844
  0.5168723 0.08585047
  0.5097568 0.08592919
  0.5026356 0.08598504
  0.4955107 0.08601847
  0.488384 0.08602962
  0.4812568 0.08601843
  0.4741302 0.08598484
  0.4670042 0.08592881
  0.4598785 0.08585029
  0.4527521 0.08574919
  0.4456235 0.08562544
  0.4384909 0.08547916
  0.431353 0.08531065
  0.4242094 0.08512024
  0.4170605 0.08490824
  0.4099076 0.08467505
  0.4027529 0.08442107
  0.3955995 0.08414678
  0.3884507 0.08385218
  0.3813095 0.08353687
  0.3741775 0.08320043
  0.3670553 0.08284239
  0.3599426 0.08246224
  0.352838 0.08205941
  0.3457392 0.08163326
  0.3386431 0.08118349
  0.3315474 0.08071017
  0.3244506 0.08021342
  0.3173521 0.07969342
  0.3102526 0.07915042
  0.3031535 0.07858475
  0.2960573 0.07799683
  0.2889671 0.07738681
  0.281886 0.07675437
  0.2748162 0.07609916
  0.2677595 0.07542078
  0.2607167 0.07471882
  0.2536882 0.07399278
  0.2466738 0.07324214
  0.2396728 0.07246627
  0.2326847 0.07166454
  0.2257102 0.07083639
  0.2187504 0.06998137
  0.2118072 0.06909915
  0.2048832 0.06818951
  0.1979816 0.06725239
  0.1911063 0.06628774
  0.1842606 0.06529508
  0.1774469 0.06427383
  0.1706664 0.06322324
  0.1639191 0.06214247
  0.1572041 0.06103052
  0.1505196 0.05988623
  0.1438628 0.05870822
  0.1372328 0.05749483
  0.1306345 0.05624517
  0.124079 0.05495973
  0.1175829 0.0536405
  0.1111671 0.05229095
  0.1048559 0.05091597
  0.09867457 0.04952157
  0.09264813 0.04811363
  0.08680089 0.04669449
  0.08115403 0.04526644
  0.07572387 0.04383256
  0.07052119 0.04239649
  0.06555238 0.04096444
  0.0608223 0.03954471
  0.05633345 0.0381451
  0.05208472 0.03677228
  0.04807115 0.03543142
  0.04428636 0.03412466
