20-32C AIRFOIL
  1.0 0.0016
  0.9972186 0.002208331
  0.9938471 0.002944546
  0.99028 0.003722042
  0.9864943 0.004545601
  0.9824637 0.005420601
  0.9781594 0.006352959
  0.9735504 0.007348936
  0.9686062 0.008414666
  0.9633001 0.009555243
  0.9576178 0.01077313
  0.9515677 0.01206575
  0.9452312 0.01341503
  0.9389904 0.01473932
  0.9328635 0.01603484
  0.9267733 0.01731794
  0.9206625 0.01860058
  0.914488 0.01989154
  0.9082197 0.02119678
  0.9018435 0.02251886
  0.8954724 0.02383401
  0.8891829 0.02512649
  0.8829544 0.02640069
  0.8767689 0.02766037
  0.8706112 0.0289087
  0.864468 0.03014833
  0.8583282 0.03138154
  0.8521819 0.0326102
  0.8460209 0.03383592
  0.8398383 0.03505996
  0.8336283 0.03628333
  0.8273866 0.03750675
  0.8211104 0.03873062
  0.8147983 0.03995504
  0.8084506 0.0411798
  0.8020695 0.04240432
  0.795659 0.04362767
  0.7892244 0.04484864
  0.7827781 0.04606474
  0.7763408 0.04727195
  0.7699098 0.04847066
  0.7634811 0.04966154
  0.7570511 0.05084515
  0.7506167 0.05202191
  0.7441755 0.05319217
  0.7377253 0.05435616
  0.7312664 0.0555137
  0.7248128 0.05666216
  0.7183683 0.05780076
  0.7119332 0.05892941
  0.7055067 0.06004814
  0.699088 0.06115704
  0.6926754 0.06225628
  0.6862676 0.06334601
  0.6798631 0.06442635
  0.6734605 0.06549738
  0.6670588 0.06655916
  0.6606571 0.06761172
  0.6542544 0.06865505
  0.64785 0.06968912
  0.6414434 0.07071388
  0.6350343 0.07172924
  0.6286222 0.07273511
  0.622207 0.07373135
  0.6157888 0.07471782
  0.6093676 0.07569433
  0.6029438 0.0766607
  0.5965178 0.07761672
  0.59009 0.07856207
  0.583661 0.07949638
  0.5772312 0.08041931
  0.570801 0.08133049
  0.5643707 0.08222958
  0.5579407 0.08311627
  0.5515111 0.08399022
  0.5450821 0.08485113
  0.5386539 0.0856987
  0.5322266 0.08653263
  0.5258001 0.08735265
  0.5193745 0.08815846
  0.5129496 0.08894982
  0.5065254 0.08972644
  0.5001016 0.09048808
  0.493678 0.09123447
  0.4872544 0.09196534
  0.4808307 0.09268041
  0.4744067 0.09337938
  0.4679823 0.09406195
  0.4615576 0.09472782
  0.4551324 0.09537669
  0.448707 0.09600823
  0.4422814 0.09662214
  0.4358557 0.0972181
  0.4294302 0.09779579
  0.4230051 0.09835489
  0.4165807 0.09889507
  0.4101574 0.09941601
  0.4037356 0.0999174
  0.3973156 0.1003989
  0.390898 0.10086
  0.3844833 0.1013001
  0.3780719 0.1017182
  0.371664 0.1021139
  0.3652601 0.1024862
  0.3588603 0.1028347
  0.3524647 0.1031584
  0.3460735 0.1034569
  0.3396865 0.1037293
  0.3333037 0.1039751
  0.326925 0.1041936
  0.3205502 0.1043841
  0.314179 0.1045459
  0.307811 0.1046784
  0.3014459 0.104781
  0.2950832 0.1048528
  0.2887226 0.1048931
  0.2823646 0.1049008
  0.2760099 0.1048751
  0.2696603 0.104815
  0.2633177 0.1047196
  0.2569849 0.1045882
  0.2506652 0.1044199
  0.2443623 0.1042138
  0.2380806 0.1039664
  0.2318239 0.1036738
  0.225596 0.1033321
  0.2193999 0.1029376
  0.2132384 0.1024869
  0.2071137 0.1019766
  0.2010278 0.1014036
  0.1949823 0.1007649
  0.1889788 0.1000579
  0.1830183 0.09928004
  0.1771 0.09842872
  0.1712226 0.09750109
  0.1653832 0.09649404
  0.1595784 0.09540414
  0.1538034 0.0942275
  0.1480528 0.09295966
  0.1423212 0.09159612
  0.1366064 0.09013322
  0.1309102 0.08856813
  0.1252387 0.08689922
  0.1196019 0.08512643
  0.1140136 0.08325162
  0.1084911 0.08127887
  0.103054 0.07921468
  0.0977234 0.07706788
  0.09251707 0.07484805
  0.08743255 0.07255706
  0.08244282 0.07018428
  0.07749951 0.06770493
  0.07252943 0.06507495
  0.06743656 0.06223025
  0.0621756 0.05912814
  0.05683515 0.05580642
  0.0516686 0.05242643
  0.04696606 0.04920788
  0.04284375 0.04626723
  0.03920576 0.04356685
  0.03591187 0.04102412
  0.03283904 0.03855491
  0.02987399 0.03606794
  0.02687966 0.03343165
  0.02358119 0.03034835
  0.01965471 0.02645537
  0.0156996 0.02246546
  0.01197527 0.01878944
  0.009712778 0.01659324
  0.007995554 0.0149001
  0.006626176 0.01350999
  0.005487605 0.01231131
