20-32C AIRFOIL
  0.00451786 0.01124648
  0.003679912 0.01028161
  0.002949784 0.009394901
  0.002311063 0.00857142
  0.001752061 0.007800433
  0.001264233 0.007073935
  0.0008412252 0.006385776
  0.0004782911 0.005731115
  0.0001719071 0.005106062
  -8.047761e-05 0.004507444
  -0.0002806058 0.003932626
  -0.0004295177 0.003379401
  -0.0005276116 0.002845892
  -0.0005746676 0.002330493
  -0.0005698379 0.001831813
  -0.0005116027 0.001348641
  -0.000397685 0.0008799091
  -0.0002249134 0.0004246723
  1.098595e-05 -1.791668e-05
  0.0003144683 -0.0004487545
  0.0006871202 -0.0008690668
  0.001130795 -0.001279971
  0.001648642 -0.00168239
  0.002245319 -0.002077059
  0.002927349 -0.002464517
  0.003703685 -0.002845065
  0.004586588 -0.003218666
  0.005593048 -0.003584749
  0.006747118 -0.003941787
  0.008083883 -0.004286357
  0.009656241 -0.004610832
  0.01154493 -0.004896985
  0.01386126 -0.005097508
  0.01678398 -0.005117096
  0.02051473 -0.004820755
  0.02486808 -0.004219213
  0.02955975 -0.003568237
  0.03458091 -0.00292516
  0.03992948 -0.002268579
  0.0455843 -0.001570916
  0.05149408 -0.0007982115
  0.05759068 7.036267e-05
  0.06382794 0.001018865
  0.07016524 0.00202226
  0.07657087 0.003053015
  0.08301991 0.004090033
  0.0894849 0.005125972
  0.09594627 0.006156487
  0.1023945 0.007178892
  0.1088301 0.008192475
  0.1152575 0.009197721
  0.1216807 0.01019506
  0.1281032 0.0111848
  0.1345276 0.01216713
  0.1409559 0.01314211
  0.1473892 0.01410971
  0.1538282 0.01506977
  0.1602726 0.0160221
  0.1667215 0.01696649
  0.1731739 0.01790267
  0.1796282 0.01883036
  0.1860827 0.01974923
  0.1925355 0.02065892
  0.1989842 0.02155904
  0.2054264 0.022449
  0.2118597 0.02332697
  0.2182827 0.02419075
  0.2246944 0.02503823
  0.2310945 0.02586744
  0.2374831 0.02667651
  0.2438611 0.02746363
  0.2502296 0.02822712
  0.2565906 0.02896554
  0.2629457 0.0296783
  0.2692965 0.03036491
  0.2756445 0.03102488
  0.281991 0.03165766
  0.2883372 0.0322627
  0.2946843 0.0328394
  0.3010332 0.03338712
  0.3073849 0.03390557
  0.31374 0.03439527
  0.3200992 0.03485689
  0.3264631 0.03529106
  0.3328321 0.03569838
  0.3392067 0.03607946
  0.3455871 0.03643489
  0.3519735 0.03676526
  0.3583661 0.03707114
  0.364765 0.03735309
  0.3711701 0.03761169
  0.3775813 0.0378475
  0.3839984 0.03806108
  0.3904211 0.038253
  0.396849 0.03842383
  0.4032816 0.03857413
  0.4097185 0.03870435
  0.4161592 0.03881478
  0.4226034 0.03890574
  0.4290505 0.03897756
  0.4355004 0.03903054
  0.4419527 0.03906502
  0.4484072 0.03908134
  0.4548635 0.03907981
  0.4613216 0.03906078
  0.4677813 0.03902459
  0.4742423 0.03897157
  0.4807047 0.03890207
  0.4871683 0.03881643
  0.4936332 0.03871499
  0.5000993 0.03859809
  0.5065667 0.03846605
  0.5130354 0.03831909
  0.5195055 0.0381574
  0.525977 0.03798117
  0.5324499 0.03779062
  0.5389241 0.03758594
  0.5453995 0.03736732
  0.5518761 0.03713497
  0.5583538 0.03688909
  0.5648324 0.0366299
  0.5713118 0.03635758
  0.5777917 0.03607237
  0.584272 0.03577447
  0.5907523 0.0354641
  0.5972324 0.03514147
  0.6037121 0.03480682
  0.610191 0.03446041
  0.616669 0.03410255
  0.6231459 0.03373352
  0.6296219 0.03335362
  0.636097 0.03296314
  0.6425714 0.03256235
  0.6490456 0.03215151
  0.6555198 0.0317309
  0.6619948 0.03130076
  0.668471 0.03086134
  0.6749492 0.03041285
  0.6814304 0.02995553
  0.6879154 0.02948959
  0.6944053 0.02901521
  0.7009013 0.02853258
  0.7074047 0.0280418
  0.7139164 0.02754274
  0.7204371 0.02703527
  0.7269668 0.0265193
  0.7335052 0.02599477
  0.7400446 0.02546223
  0.7465763 0.02492232
  0.753102 0.0243749
  0.7596239 0.02381974
  0.7661447 0.02325656
  0.7726675 0.02268502
  0.7791961 0.02210474
  0.7857306 0.02151563
  0.7922521 0.02091934
  0.7987526 0.02031662
  0.8052269 0.01970801
  0.8116705 0.0190942
  0.8180805 0.01847585
  0.8244561 0.01785341
  0.8307979 0.01722715
  0.8371084 0.0165972
  0.8433913 0.0159635
  0.8496519 0.01532583
  0.8558967 0.01468381
  0.8621337 0.01403689
  0.8683723 0.01338433
  0.8746232 0.0127252
  0.8808992 0.01205836
  0.8872151 0.0113824
  0.893588 0.01069559
  0.9000382 0.009995838
  0.9065277 0.009287321
  0.9129159 0.008585194
  0.9192058 0.007888993
  0.9254257 0.00719548
  0.9316173 0.006499795
  0.9378372 0.005795269
  0.9441619 0.00507274
  0.950606 0.004329836
  0.9567858 0.003610791
  0.9625928 0.00292916
  0.9680145 0.002287561
  0.9730638 0.001685502
  0.9777672 0.001120765
  0.9821562 0.0005903603
  0.9862628 9.109918e-05
  0.990117 -0.0003801061
  0.993746 -0.0008261012
  0.9971738 -0.001249441
  1.0 -0.0016
