AH-6-40-7 AIRFOIL
  0.2457281 0.01443245
  0.2522699 0.01508008
  0.2588153 0.01571197
  0.2653626 0.01632856
  0.27191 0.01693027
  0.2784559 0.01751758
  0.284999 0.01809099
  0.291538 0.01865102
  0.2980718 0.01919821
  0.3045995 0.01973302
  0.3111205 0.02025519
  0.3176342 0.02076402
  0.3241405 0.02125883
  0.3306391 0.02173899
  0.3371304 0.02220384
  0.3436147 0.0226528
  0.3500924 0.02308525
  0.3565644 0.02350061
  0.3630316 0.0238983
  0.369495 0.02427775
  0.375956 0.02463839
  0.3824161 0.02497963
  0.388877 0.02530088
  0.3953405 0.02560157
  0.4018087 0.02588107
  0.4082838 0.02613945
  0.4147679 0.02637793
  0.4212626 0.02659783
  0.4277693 0.02680041
  0.434289 0.02698697
  0.4408223 0.02715877
  0.4473696 0.0273171
  0.4539307 0.02746322
  0.4605051 0.02759842
  0.4670921 0.02772401
  0.4736903 0.0278413
  0.480298 0.02795162
  0.4869131 0.0280563
  0.4935331 0.02815669
  0.500155 0.02825415
  0.5067756 0.0283495
  0.5133916 0.02844168
  0.5200001 0.02852923
  0.5265991 0.02861072
  0.5331866 0.02868473
  0.5397614 0.02874988
  0.5463225 0.02880482
  0.5528697 0.02884822
  0.5594029 0.02887876
  0.5659226 0.02889516
  0.5724298 0.02889614
  0.5789258 0.02888041
  0.5854121 0.02884671
  0.591891 0.02879374
  0.5983649 0.02872019
  0.6048366 0.0286249
  0.6113091 0.02850795
  0.617785 0.02837007
  0.6242665 0.02821197
  0.6307553 0.02803436
  0.6372526 0.02783791
  0.6437594 0.02762335
  0.6502759 0.02739138
  0.6568022 0.02714274
  0.6633378 0.02687821
  0.6698816 0.02659857
  0.6764321 0.02630466
  0.6829873 0.02599736
  0.6895448 0.0256776
  0.6961016 0.02534633
  0.7026542 0.02500457
  0.709199 0.02465289
  0.7157329 0.02429133
  0.7222536 0.02391984
  0.7287601 0.02353835
  0.7352517 0.02314675
  0.7417289 0.02274486
  0.7481931 0.02233248
  0.7546462 0.02190931
  0.7610911 0.02147502
  0.7675315 0.02102919
  0.7739716 0.02057132
  0.7804167 0.0201008
  0.7868728 0.01961695
  0.7933471 0.01911894
  0.7998475 0.0186058
  0.8063831 0.01807645
  0.8129623 0.01752999
  0.8195521 0.01696903
  0.8260901 0.01639909
  0.8325759 0.01582057
  0.8390137 0.01523346
  0.8454102 0.01463746
  0.851774 0.01403204
  0.8581161 0.01341638
  0.8644493 0.01278937
  0.8707887 0.01214957
  0.8771523 0.01149514
  0.883561 0.01082377
  0.89004 0.01013255
  0.8966005 0.009419883
  0.9030747 0.008704086
  0.9093909 0.0079938
  0.9155321 0.007291859
  0.9214875 0.006600484
  0.9272513 0.005921335
  0.932822 0.005255577
  0.9382012 0.004603955
  0.9433931 0.003966871
  0.9484036 0.003344455
  0.9532396 0.002736632
  0.9579087 0.002143173
  0.9624191 0.001563741
  0.9667786 0.0009979234
  0.9709953 0.0004452612
  0.9750768 -9.473318e-05
  0.9790305 -0.0006225593
  0.9828635 -0.001138718
  0.9865824 -0.001643703
  0.9901935 -0.002137997
  0.9937026 -0.002622065
  0.9971152 -0.003096355
  1.0 -0.0035
