S8038 (13%)
  1.0 0.0
  0.9965641 0.0005864491
  0.9923358 0.001488659
  0.9877378 0.002516578
  0.9828443 0.00358879
  0.977722 0.00466609
  0.9723828 0.0057294
  0.966823 0.00676544
  0.9610326 0.007775328
  0.9550141 0.008772014
  0.9487931 0.009766918
  0.9424095 0.01076101
  0.9359006 0.01175412
  0.9292953 0.01274739
  0.9226151 0.01373981
  0.9158779 0.01473036
  0.9090978 0.01571867
  0.902285 0.0167043
  0.8954474 0.01768688
  0.8885906 0.01866647
  0.881718 0.01964332
  0.8748324 0.02061766
  0.8679366 0.02158973
  0.8610335 0.02255972
  0.8541258 0.02352753
  0.8472156 0.0244928
  0.8403041 0.02545528
  0.8333918 0.02641481
  0.8264782 0.02737143
  0.8195631 0.02832528
  0.8126464 0.02927648
  0.8057281 0.03022515
  0.7988085 0.03117132
  0.791888 0.03211496
  0.7849673 0.03305597
  0.7780469 0.03399425
  0.7711278 0.03492967
  0.7642106 0.03586202
  0.7572962 0.0367909
  0.7503849 0.03771588
  0.7434769 0.03863661
  0.7365721 0.03955273
  0.7296699 0.040464
  0.72277 0.04137033
  0.7158719 0.04227165
  0.7089749 0.04316786
  0.7020785 0.0440589
  0.6951824 0.0449447
  0.6882861 0.04582522
  0.6813901 0.04670037
  0.6744953 0.04756996
  0.6676032 0.04843376
  0.6607159 0.0492914
  0.6538355 0.05014204
  0.6469634 0.05098458
  0.6401004 0.05181805
  0.6332461 0.0526416
  0.6263996 0.05345448
  0.6195592 0.05425619
  0.6127233 0.05504667
  0.6058904 0.05582582
  0.5990595 0.05659351
  0.5922297 0.05734959
  0.5854005 0.05809386
  0.5785717 0.05882618
  0.5717435 0.05954639
  0.5649164 0.0602543
  0.5580916 0.06094969
  0.5512704 0.06163229
  0.5444546 0.06230164
  0.5376458 0.06295683
  0.5308449 0.06359694
  0.5240522 0.06422113
  0.5172675 0.06482861
  0.51049 0.06541867
  0.5037185 0.06599089
  0.4969516 0.06654508
  0.4901881 0.06708107
  0.4834265 0.06759867
  0.4766653 0.06809768
  0.4699031 0.06857796
  0.4631387 0.0690396
  0.4563721 0.06948272
  0.4496041 0.06990739
  0.4428366 0.07031362
  0.4360724 0.07070137
  0.4293149 0.07107017
  0.4225668 0.07141892
  0.415829 0.07174661
  0.409101 0.07205229
  0.4023807 0.0723351
  0.3956647 0.07259433
  0.3889491 0.07283013
  0.3822315 0.07304296
  0.3755108 0.07323316
  0.3687873 0.07340107
  0.3620627 0.07354695
  0.35534 0.07367068
  0.3486218 0.07377163
  0.3419103 0.07384917
  0.3352066 0.07390273
  0.3285114 0.07393175
  0.3218248 0.07393569
  0.3151463 0.07391405
  0.3084753 0.07386629
  0.3018106 0.07379191
  0.2951509 0.07369035
  0.2884947 0.07356112
  0.2818406 0.07340419
  0.2751882 0.07321966
  0.268538 0.07300766
  0.2618912 0.07276838
  0.2552503 0.07250191
  0.2486178 0.07220776
  0.2419964 0.07188521
  0.2353882 0.0715336
  0.228795 0.07115228
  0.2222185 0.07074052
  0.2156596 0.07029734
  0.2091186 0.06982164
  0.2025951 0.06931228
  0.1960879 0.06876808
  0.1895954 0.06818813
  0.1831173 0.06757202
  0.1766548 0.06691955
  0.1702107 0.06623072
  0.1637896 0.06550558
  0.1573967 0.0647433
  0.1510372 0.06394287
  0.1447162 0.06310344
  0.1384381 0.0622242
  0.132208 0.0613039
  0.1260317 0.06034123
  0.119916 0.05933535
  0.1138684 0.05828577
  0.1078978 0.05719139
  0.1020153 0.05605126
  0.09623354 0.05486555
  0.09056578 0.05363522
  0.08502594 0.05236045
  0.07962677 0.05104172
  0.07437899 0.04968038
  0.06929201 0.04827879
  0.06438043 0.04684198
  0.05966489 0.04537866
  0.05516665 0.04389997
  0.05090448 0.04241387
  0.04689078 0.04092322
  0.04312825 0.03943119
  0.03961182 0.03794103
  0.03633305 0.03645583
