 NLR-7301 AIRFOIL
  0.07458406 -0.0545759
  0.07761226 -0.0552464
  0.08075225 -0.05591923
  0.08400988 -0.0565951
  0.0873915 -0.05727399
  0.0909038 -0.05795583
  0.09455383 -0.05864057
  0.09834907 -0.05932823
  0.1022975 -0.06001893
  0.1064076 -0.06071288
  0.1106882 -0.06141034
  0.115148 -0.06211165
  0.1197956 -0.0628173
  0.1246388 -0.06352794
  0.1296849 -0.06424409
  0.1349404 -0.06496462
  0.1404105 -0.06568759
  0.1460993 -0.06641076
  0.1520088 -0.06713159
  0.1581396 -0.06784743
  0.1644901 -0.06855558
  0.171056 -0.06925324
  0.1778309 -0.06993754
  0.1848067 -0.07060574
  0.1919739 -0.07125529
  0.1993234 -0.07188397
  0.2068473 -0.0724899
  0.2145385 -0.0730709
  0.2223888 -0.0736247
  0.2303885 -0.07414914
  0.2385269 -0.07464227
  0.2467926 -0.07510234
  0.255174 -0.07552785
  0.2636592 -0.07591736
  0.2722361 -0.07626949
  0.2808923 -0.07658311
  0.2896155 -0.07685736
  0.298394 -0.07709162
  0.3072167 -0.07728547
  0.3160728 -0.07743813
  0.3249524 -0.07754879
  0.3338454 -0.07761681
  0.3427427 -0.07764176
  0.3516355 -0.07762335
  0.3605158 -0.07756118
  0.3693758 -0.07745425
  0.3782081 -0.07730167
  0.3870057 -0.07710266
  0.3957616 -0.07685666
  0.4044696 -0.07656319
  0.4131241 -0.07622094
  0.4217223 -0.07582775
  0.4302641 -0.07538142
  0.4387526 -0.07487967
  0.4471931 -0.07432006
  0.4555934 -0.07370001
  0.4639632 -0.07301815
  0.4723138 -0.07227364
  0.480658 -0.07146515
  0.4890102 -0.07059073
  0.4973871 -0.06964774
  0.5058076 -0.06863298
  0.5142916 -0.06754571
  0.5228553 -0.06638728
  0.5315087 -0.0651598
  0.5402553 -0.06386644
  0.5490905 -0.06251194
  0.5580006 -0.06110214
  0.5669678 -0.05963958
  0.5759782 -0.05812496
  0.5850236 -0.05655821
  0.5941023 -0.05493826
