 CHEN AIRFOIL
  0.273619 0.01513092
  0.2806964 0.01481641
  0.2878466 0.01444681
  0.2950648 0.01402762
  0.3023455 0.01356452
  0.3096819 0.01306109
  0.3170654 0.01252031
  0.3244848 0.01194562
  0.3319273 0.01134063
  0.3393814 0.01070688
  0.3468434 0.01004441
  0.3543187 0.009352465
  0.3618213 0.008629375
  0.3693715 0.007875687
  0.3769791 0.007096779
  0.3846351 0.006300482
  0.39231 0.005497177
  0.3999613 0.004699528
  0.4075597 0.003919425
  0.4150967 0.003166179
  0.4225824 0.002446423
  0.4300378 0.001760861
  0.4374819 0.001107358
  0.4449299 0.0004843538
  0.4523933 -0.0001091815
  0.4598805 -0.0006738708
  0.4673964 -0.001211193
  0.4749434 -0.001723927
  0.4825215 -0.002214831
  0.4901283 -0.002686576
  0.4977589 -0.003141871
  0.5054062 -0.003585155
  0.5130642 -0.004022528
  0.5207278 -0.004460292
  0.5283936 -0.004904863
  0.5360596 -0.005361357
  0.5437242 -0.005826045
  0.5513836 -0.006291597
  0.5590313 -0.006750541
  0.5666585 -0.007195358
  0.574255 -0.007619632
  0.581817 -0.008019492
  0.589351 -0.008391957
  0.5968735 -0.008734474
  0.6044109 -0.009045176
  0.6119934 -0.009328139
  0.6196412 -0.009590956
  0.6273615 -0.009840993
  0.6351457 -0.01008549
  0.6429711 -0.01032894
  0.650814 -0.01057071
  0.658659 -0.01080979
  0.6665 -0.01104552
  0.6743392 -0.01127764
  0.6821818 -0.01150664
  0.6900305 -0.0117331
  0.6978849 -0.01195749
  0.7057419 -0.01218004
  0.7135965 -0.0124001
  0.7214438 -0.0126168
  0.7292784 -0.01282924
  0.7370951 -0.01303656
  0.7448918 -0.01323783
  0.7526715 -0.01343227
  0.7604434 -0.01361922
  0.7682206 -0.01379872
  0.7760045 -0.01397256
  0.7837711 -0.01414242
  0.7914706 -0.0143093
  0.7990431 -0.01446516
  0.8064623 -0.01459074
  0.8137464 -0.01466876
  0.8209475 -0.01468454
  0.828132 -0.01463702
  0.8353509 -0.01453352
  0.8426341 -0.0143807
  0.8499905 -0.01418545
  0.8574087 -0.01395557
  0.8648576 -0.01370013
  0.8722871 -0.0134281
  0.8796465 -0.0131351
  0.886916 -0.01280897
  0.8941087 -0.01243751
  0.9012548 -0.0120168
  0.908374 -0.01155035
  0.9154681 -0.01104252
  0.9225173 -0.0104986
  0.9294703 -0.009926371
  0.936251 -0.00933321
  0.9428035 -0.008704646
  0.9491342 -0.008016804
  0.9552873 -0.007254956
  0.9612829 -0.00642874
  0.9670947 -0.005559463
  0.9726853 -0.004704501
  0.9780336 -0.003927517
  0.9831225 -0.003254529
  0.9879264 -0.002677251
  0.9924249 -0.002086493
  0.9966018 -0.001266844
  1.0 0.0
