K3311 (smoothed)
  0.2176552 -0.02528662
  0.22409 -0.02528541
  0.2305312 -0.02527076
  0.236978 -0.0252433
  0.2434295 -0.02520361
  0.2498844 -0.02515199
  0.2563422 -0.02508868
  0.2628022 -0.02501391
  0.2692647 -0.0249279
  0.2757299 -0.02483089
  0.2821984 -0.02472321
  0.2886706 -0.02460523
  0.2951467 -0.02447734
  0.3016268 -0.02433993
  0.3081106 -0.02419339
  0.3145976 -0.02403806
  0.3210875 -0.02387419
  0.3275796 -0.02370201
  0.3340735 -0.02352175
  0.3405687 -0.02333366
  0.3470648 -0.02313796
  0.3535612 -0.0229347
  0.3600575 -0.02272385
  0.3665533 -0.02250537
  0.3730483 -0.02227925
  0.3795421 -0.02204544
  0.3860346 -0.02180391
  0.3925255 -0.02155461
  0.3990151 -0.02129746
  0.4055038 -0.02103238
  0.4119925 -0.02075927
  0.4184819 -0.02047801
  0.4249734 -0.02018867
  0.4314679 -0.01989157
  0.4379662 -0.01958707
  0.4444684 -0.01927556
  0.4509745 -0.01895744
  0.4574839 -0.01863314
  0.4639961 -0.01830302
  0.4705104 -0.01796739
  0.4770268 -0.01762651
  0.4835458 -0.01728064
  0.4900681 -0.01693001
  0.4965949 -0.01657484
  0.5031276 -0.01621561
  0.509667 -0.01585306
  0.5162132 -0.01548797
  0.5227653 -0.01512117
  0.5293217 -0.01475354
  0.53588 -0.01438599
  0.5424375 -0.01401923
  0.5489922 -0.0136538
  0.5555427 -0.01329022
  0.5620884 -0.01292895
  0.5686295 -0.01257041
  0.575167 -0.01221495
  0.581702 -0.01186268
  0.5882355 -0.01151369
  0.5947682 -0.01116806
  0.6013003 -0.01082589
  0.6078319 -0.01048732
  0.6143627 -0.01015249
  0.6208923 -0.00982154
  0.6274205 -0.009494624
  0.6339474 -0.009171875
  0.6404732 -0.008853418
  0.6469982 -0.00853937
  0.6535231 -0.008229793
  0.6600484 -0.007924641
  0.6665742 -0.007623863
  0.6731006 -0.007327417
  0.6796275 -0.007035272
  0.6861544 -0.00674741
  0.6926806 -0.006463895
  0.6992058 -0.006184887
  0.7057296 -0.005910543
  0.7122519 -0.005641012
  0.718773 -0.005376431
  0.7252932 -0.005116928
  0.7318128 -0.0048626
  0.7383319 -0.004613537
  0.7448504 -0.004369845
  0.7513676 -0.004131638
  0.7578827 -0.003899044
  0.7643945 -0.003672302
  0.7709022 -0.003451844
  0.7774056 -0.003238098
  0.783905 -0.003031473
  0.7904015 -0.002832358
  0.7968965 -0.002641068
  0.8033913 -0.002457666
  0.8098862 -0.002282181
  0.8163807 -0.002114663
  0.8228731 -0.001955189
  0.829361 -0.001803946
  0.8358422 -0.001661549
  0.8423164 -0.001528692
  0.8487854 -0.001406024
  0.8552523 -0.001294168
  0.8617222 -0.001193281
  0.8681986 -0.001102627
  0.8746825 -0.001021414
  0.881172 -0.0009488751
  0.8876628 -0.0008844077
  0.8941504 -0.0008282758
  0.9006342 -0.0007810237
  0.9071175 -0.0007431693
  0.9136076 -0.0007148448
  0.9201113 -0.0006941154
  0.92663 -0.0006783571
  0.9331585 -0.0006649452
  0.9396847 -0.0006520574
  0.9461875 -0.0006389877
  0.9526375 -0.0006251029
  0.9589988 -0.0006075146
  0.9652331 -0.0005802799
  0.9713033 -0.0005383713
  0.9771565 -0.0004801694
  0.9827083 -0.0004067703
  0.9878692 -0.0003187161
  0.9925667 -0.0002165724
  0.9967655 -0.0001034208
  1.0 0.0
