FX 66-H-60
  1.0 0.0
  0.9967999 0.0002970163
  0.9920083 0.0006100516
  0.9866228 0.0009276721
  0.9810028 0.001215586
  0.9752536 0.001474362
  0.9694596 0.001714954
  0.9636699 0.001937749
  0.9578938 0.002136828
  0.9521175 0.002311284
  0.9463327 0.002462375
  0.9405401 0.002591541
  0.9347399 0.002700911
  0.928927 0.002792927
  0.9230952 0.002871728
  0.9172446 0.002942419
  0.9113835 0.003009986
  0.9055241 0.003078245
  0.8996743 0.003150422
  0.8938362 0.003229737
  0.8880074 0.003318577
  0.8821845 0.003418454
  0.8763647 0.003530853
  0.8705454 0.003656985
  0.8647245 0.003796643
  0.8589012 0.003949161
  0.8530755 0.00411385
  0.8472483 0.004290112
  0.8414209 0.004477719
  0.8355936 0.004676532
  0.8297665 0.004886431
  0.8239388 0.005107235
  0.8181097 0.005338422
  0.8122786 0.005579367
  0.806445 0.005829437
  0.8006092 0.00608799
  0.7947713 0.006354484
  0.7889318 0.006628445
  0.7830912 0.006909392
  0.7772498 0.00719684
  0.7714085 0.007490422
  0.7655675 0.007790153
  0.7597274 0.008096124
  0.7538882 0.008408439
  0.7480498 0.008727208
  0.742212 0.009052485
  0.7363746 0.009384223
  0.7305373 0.009722362
  0.7246999 0.01006684
  0.7188622 0.0104176
  0.7130242 0.01077451
  0.7071857 0.01113735
  0.7013467 0.01150589
  0.6955072 0.0118799
  0.6896672 0.01225915
  0.6838268 0.01264343
  0.6779861 0.01303259
  0.6721451 0.01342648
  0.666304 0.01382494
  0.6604628 0.01422783
  0.6546217 0.01463501
  0.6487807 0.0150464
  0.64294 0.01546192
  0.6370993 0.01588151
  0.6312585 0.01630511
  0.6254174 0.01673267
  0.6195758 0.01716402
  0.6137334 0.01759895
  0.6078902 0.01803719
  0.6020464 0.01847852
  0.5962023 0.01892266
  0.590358 0.01936944
  0.5845142 0.01981891
  0.5786709 0.02027112
  0.5728282 0.02072615
  0.5669863 0.0211841
  0.5611449 0.02164504
  0.5553038 0.02210894
  0.5494627 0.0225757
  0.5436215 0.02304522
  0.5377797 0.02351739
  0.5319373 0.02399211
  0.5260939 0.02446923
  0.5202493 0.02494846
  0.5144036 0.0254295
  0.5085567 0.02591202
  0.5027089 0.02639568
  0.4968607 0.02688013
  0.4910124 0.02736523
  0.4851644 0.027851
  0.4793169 0.0283375
  0.4734699 0.02882481
  0.4676231 0.02931299
  0.4617763 0.02980212
  0.455929 0.03029204
  0.4500811 0.03078253
  0.4442326 0.03127336
  0.4383837 0.03176426
  0.4325351 0.03225495
  0.4266873 0.03274504
  0.4208408 0.033234
  0.4149961 0.03372131
  0.4091533 0.03420647
  0.4033122 0.03468901
  0.3974727 0.03516848
  0.3916343 0.03564461
  0.3857968 0.03611717
  0.3799598 0.03658595
  0.374123 0.03705072
  0.3682863 0.03751124
  0.3624494 0.03796732
  0.3566123 0.03841876
  0.3507753 0.03886536
  0.3449386 0.0393069
  0.339103 0.03974315
  0.3332692 0.04017375
  0.3274377 0.04059785
  0.3216092 0.04101454
  0.3157835 0.04142293
  0.3099605 0.04182215
  0.3041398 0.04221137
  0.2983209 0.04258988
  0.2925033 0.04295703
  0.2866873 0.04331214
  0.2808731 0.04365452
  0.2750614 0.04398343
  0.269253 0.04429776
  0.2634484 0.04459619
  0.2576479 0.04487741
  0.2518517 0.04514014
  0.2460595 0.0453831
  0.2402711 0.04560507
  0.2344862 0.04580484
  0.228705 0.04598119
  0.2229277 0.04613292
  0.2171548 0.04625875
  0.211387 0.04635697
  0.205625 0.04642577
  0.19987 0.04646334
  0.1941231 0.04646791
  0.1883856 0.04643742
  0.1826588 0.04636915
  0.1769435 0.04626039
  0.1712399 0.04610845
  0.1655481 0.04591064
  0.1598682 0.04566425
  0.154201 0.04536657
  0.1485479 0.04501498
  0.1429109 0.04460695
  0.1372921 0.04413962
  0.131693 0.04360988
  0.1261133 0.04301449
  0.1205515 0.04235014
  0.1150055 0.04161475
  0.1094737 0.04080719
  0.1039559 0.03992641
  0.09845251 0.03897149
  0.09296479 0.03794202
  0.08749401 0.03683774
  0.08204152 0.03565841
  0.076609 0.0344036
  0.07119906 0.03307281
  0.06581535 0.03166588
  0.060463 0.03018211
  0.05514942 0.0286194
  0.0498838 0.02697637
  0.04467626 0.02525132
  0.0395326 0.0234398
  0.03445213 0.02153455
  0.02945187 0.01952969
  0.02460026 0.01744076
  0.01997946 0.01529625
  0.01558618 0.01308961
  0.01151777 0.01084655
  0.008291803 0.008862551
  0.005950189 0.007251507
  0.00417083 0.005881324
  0.002766102 0.004649998
  0.001731275 0.003559855
  0.001009948 0.00263602
  0.0005122412 0.001852132
  0.0001949303 0.001165388
  2.832453e-05 0.0005343867
  5.105852e-06 -7.233911e-05
  0.0001313764 -0.0006807644
  0.0004070669 -0.001304569
  0.0008501111 -0.001945345
  0.001495019 -0.002577238
  0.002398316 -0.003166573
  0.003636181 -0.003706668
  0.005264852 -0.004242275
  0.007396066 -0.004825557
  0.01022488 -0.005440973
  0.01394091 -0.006056135
  0.01853 -0.006632774
  0.02369907 -0.007154835
  0.02913944 -0.007606925
  0.03470411 -0.007995745
  0.0403468 -0.008327957
  0.04605774 -0.00861509
  0.05182676 -0.008871337
  0.05762502 -0.009108064
  0.06342548 -0.009325868
  0.06922329 -0.009523983
  0.07503218 -0.00970486
  0.0808635 -0.009874302
  0.08671691 -0.01003801
  0.09258253 -0.01019928
  0.09845065 -0.0103587
  0.104317 -0.01051681
