K3311  (original)
  0.2114597 -0.02494994
  0.2179458 -0.02493451
  0.2244689 -0.02490094
  0.2310322 -0.0248534
  0.2376345 -0.02479624
  0.2442692 -0.02473401
  0.2509245 -0.02467148
  0.2575834 -0.02461141
  0.2642296 -0.02455093
  0.2708513 -0.02448623
  0.2774416 -0.02441358
  0.2839986 -0.02432932
  0.2905244 -0.02422984
  0.2970253 -0.02411154
  0.3035116 -0.02397093
  0.3099959 -0.02380858
  0.3164888 -0.02362867
  0.322998 -0.02343553
  0.329528 -0.02323362
  0.3360802 -0.02302756
  0.3426526 -0.02282217
  0.3492395 -0.02262244
  0.3558321 -0.02243245
  0.3624203 -0.02225008
  0.3689965 -0.022071
  0.375556 -0.02189081
  0.3820973 -0.02170509
  0.3886212 -0.02150942
  0.3951317 -0.02129936
  0.401635 -0.02107041
  0.4081397 -0.02081998
  0.4146542 -0.0205494
  0.4211851 -0.02026045
  0.4277373 -0.01995496
  0.4343139 -0.01963485
  0.440916 -0.01930216
  0.4475427 -0.01895909
  0.454191 -0.01860793
  0.4608563 -0.01825028
  0.4675346 -0.01788715
  0.4742221 -0.01751952
  0.4809162 -0.01714835
  0.4876145 -0.01677458
  0.494316 -0.01639909
  0.5010199 -0.01602273
  0.5077264 -0.01564611
  0.5144335 -0.01526941
  0.5211383 -0.01489275
  0.5278416 -0.01451609
  0.5345446 -0.01413932
  0.5412493 -0.01376231
  0.5479561 -0.01338502
  0.5546573 -0.01300792
  0.5613492 -0.01263194
  0.56803 -0.01225833
  0.5746991 -0.01188823
  0.5813568 -0.01152274
  0.5880046 -0.01116288
  0.594645 -0.01080962
  0.6012813 -0.01046386
  0.6079179 -0.01012596
  0.6145585 -0.009795117
  0.6212061 -0.009470423
  0.6278623 -0.009151034
  0.6345279 -0.008836155
  0.6412022 -0.008525041
  0.6478838 -0.008216988
  0.6545697 -0.007911401
  0.6612568 -0.007608349
  0.6679422 -0.007308274
  0.6746244 -0.00701158
  0.6813022 -0.006718626
  0.6879756 -0.006429734
  0.6946454 -0.006145187
  0.7013133 -0.005865232
  0.7079814 -0.005589983
  0.7146518 -0.00531932
  0.7213254 -0.005053132
  0.7280021 -0.004791354
  0.7346808 -0.004533957
  0.7413594 -0.004280951
  0.7480347 -0.004032377
  0.7547024 -0.003788373
  0.7613584 -0.003549776
  0.7680001 -0.003317752
  0.7746271 -0.003093384
  0.7812406 -0.002877676
  0.787844 -0.002671567
  0.7944423 -0.002475952
  0.8010424 -0.002291703
  0.8076528 -0.002119069
  0.8142805 -0.001956804
  0.8209292 -0.001803515
  0.8275992 -0.00165788
  0.8342868 -0.001518631
  0.8409845 -0.001384538
  0.8476808 -0.00125441
  0.8543608 -0.0011273
  0.8610089 -0.00100465
  0.8676158 -0.0008893158
  0.8741791 -0.0007839321
  0.8807028 -0.0006909302
  0.8871968 -0.0006126103
  0.8936766 -0.0005512436
  0.9001634 -0.0005091999
  0.9066835 -0.0004877436
  0.9132579 -0.0004833558
  0.9198915 -0.0004913018
  0.9265697 -0.0005065579
  0.9332565 -0.0005237733
  0.9398954 -0.0005374824
  0.9464158 -0.0005425631
  0.9527428 -0.000534866
  0.9588114 -0.0005134051
  0.9645811 -0.0004800972
  0.9700362 -0.0004370377
  0.9751787 -0.0003861489
  0.980022 -0.0003290829
  0.9845856 -0.0002672028
  0.9888911 -0.0002016058
  0.9929607 -0.0001331627
  0.9968156 -6.255946e-05
  1.0 0.0
