LWK 80-120/K25
  1.0 0.0
  0.997646 0.001068484
  0.994692 0.001141839
  0.9916733 0.001504618
  0.9884868 0.001916113
  0.9849699 0.002222914
  0.981036 0.002544175
  0.9766647 0.002961382
  0.9718591 0.003437784
  0.9666324 0.003935926
  0.9610274 0.004467524
  0.9551097 0.005047124
  0.9489558 0.005667405
  0.9426464 0.006316535
  0.9362496 0.006990753
  0.9298044 0.007691476
  0.9233209 0.008419777
  0.9168047 0.00917368
  0.9102665 0.009950526
  0.9037185 0.01074881
  0.8971683 0.01156809
  0.8906178 0.01240846
  0.8840657 0.01327
  0.877511 0.01415266
  0.8709528 0.0150563
  0.8643908 0.01598057
  0.8578247 0.01692496
  0.851254 0.01788898
  0.8446783 0.01887205
  0.8380962 0.01987361
  0.8315047 0.02089331
  0.8248994 0.02193094
  0.8182757 0.02298528
  0.8116307 0.02405416
  0.8049644 0.02513494
  0.7982797 0.02622456
  0.7915811 0.02732023
  0.7848745 0.02841915
  0.7781663 0.02951837
  0.7714635 0.03061485
  0.7647722 0.03170559
  0.7580964 0.03278796
  0.7514379 0.03385975
  0.7447962 0.03491918
  0.7381694 0.03596492
  0.731556 0.03699582
  0.7249546 0.03801064
  0.718364 0.03900816
  0.7117836 0.03998729
  0.7052123 0.04094714
  0.6986496 0.04188685
  0.6920945 0.04280558
  0.6855462 0.0437025
  0.6790039 0.04457697
  0.672467 0.0454284
  0.6659349 0.04625617
  0.6594071 0.04705966
  0.6528833 0.04783829
  0.646363 0.0485916
  0.6398456 0.04931919
  0.63333 0.05002066
  0.6268153 0.05069563
  0.6203001 0.05134398
  0.613783 0.0519659
  0.607263 0.05256158
  0.6007389 0.05313119
  0.5942094 0.05367487
  0.5876736 0.05419299
  0.5811308 0.05468615
  0.5745803 0.0551549
  0.5680222 0.05559979
  0.5614565 0.05602132
  0.5548835 0.05641996
  0.5483036 0.05679616
  0.541717 0.05715038
  0.5351237 0.05748309
  0.5285238 0.05779476
  0.521917 0.05808591
  0.5153035 0.05835707
  0.5086831 0.05860878
  0.5020559 0.05884158
  0.495422 0.05905601
  0.4887816 0.05925253
  0.4821351 0.05943157
  0.4754833 0.05959356
  0.4688272 0.05973895
  0.4621683 0.05986812
  0.4555077 0.05998119
  0.4488464 0.06007812
  0.4421847 0.06015888
  0.4355222 0.06022348
  0.428858 0.06027192
  0.4221914 0.06030444
  0.4155219 0.06032129
  0.4088497 0.06032277
  0.4021756 0.06030915
  0.395501 0.06028062
  0.3888272 0.06023708
  0.3821551 0.06017835
  0.3754848 0.06010426
  0.3688161 0.06001463
  0.3621484 0.05990935
  0.3554808 0.05978846
  0.3488132 0.05965201
  0.3421457 0.05950006
  0.3354788 0.05933267
  0.3288132 0.05914978
  0.3221499 0.05895119
  0.3154894 0.05873672
  0.3088325 0.05850619
  0.3021796 0.05825939
  0.2955311 0.05799605
  0.2888869 0.05771585
  0.2822465 0.05741846
  0.2756091 0.05710352
  0.2689738 0.05677081
  0.2623405 0.05642024
  0.25571 0.05605179
  0.2490845 0.05566555
  0.2424669 0.05526141
  0.2358596 0.05483866
  0.2292632 0.0543964
  0.2226764 0.0539336
  0.2160963 0.05344925
  0.2095201 0.05294299
  0.2029476 0.05241488
  0.196381 0.05186514
  0.1898252 0.05129408
  0.183285 0.05070093
  0.1767631 0.05008437
  0.1702586 0.04944281
  0.1637686 0.04877463
  0.1572902 0.04807907
  0.1508245 0.04735591
  0.1443761 0.0466054
  0.1379525 0.04582734
  0.1315603 0.04502016
  0.1252027 0.04418192
  0.1188802 0.04331047
  0.1125937 0.04240417
  0.1063487 0.04146234
  0.1001557 0.0404852
  0.09402886 0.03947228
  0.08798268 0.03842213
  0.08203045 0.03733383
  0.07618628 0.03620686
  0.07047187 0.03504249
  0.06491594 0.03384502
  0.05955114 0.03261911
  0.05441186 0.03136942
  0.04952799 0.03010316
  0.04492393 0.02882796
  0.0406229 0.02755306
  0.03663946 0.02628965
  0.03297726 0.02504564
  0.02963223 0.02382567
  0.0265902 0.02263444
  0.02382932 0.02147514
  0.021326 0.02034871
  0.01905583 0.01925559
  0.01699416 0.01819568
  0.01511843 0.01716771
  0.01341165 0.01616879
  0.01185914 0.01519715
  0.01044691 0.01425184
  0.009161509 0.01333211
  0.007991414 0.01243618
  0.006926341 0.01156052
  0.005955801 0.01070139
  0.005070015 0.009855231
  0.004260323 0.009018865
  0.003520787 0.00818933
  0.002852073 0.007364338
  0.002256156 0.006543614
  0.001734151 0.005728369
  0.001285861 0.004920623
  0.0009096752 0.004122788
  0.0006031551 0.003339164
  0.0003628909 0.002572961
  0.0001851277 0.001823537
  6.705991e-05 0.001087892
  7.552378e-06 0.0003615023
  7.552378e-06 -0.0003615023
  6.705991e-05 -0.001087892
  0.0001851277 -0.001823537
  0.0003628909 -0.002572961
  0.0006031551 -0.003339164
  0.0009096752 -0.004122788
  0.001285861 -0.004920623
  0.001734151 -0.005728369
  0.002256156 -0.006543614
  0.002852073 -0.007364338
  0.003520787 -0.00818933
  0.004260323 -0.009018865
  0.005070015 -0.009855231
  0.005955801 -0.01070139
  0.006926341 -0.01156052
  0.007991414 -0.01243618
  0.009161509 -0.01333211
  0.01044691 -0.01425184
  0.01185914 -0.01519715
  0.01341165 -0.01616879
  0.01511843 -0.01716771
  0.01699416 -0.01819568
  0.01905583 -0.01925559
  0.021326 -0.02034871
  0.02382932 -0.02147514
  0.0265902 -0.02263444
  0.02963223 -0.02382567
  0.03297726 -0.02504564
  0.03663946 -0.02628965
  0.0406229 -0.02755306
  0.04492393 -0.02882796
  0.04952799 -0.03010316
  0.05441186 -0.03136942
  0.05955114 -0.03261911
  0.06491594 -0.03384502
  0.07047187 -0.03504249
  0.07618628 -0.03620686
  0.08203045 -0.03733383
  0.08798268 -0.03842213
  0.09402886 -0.03947228
  0.1001557 -0.0404852
  0.1063487 -0.04146234
  0.1125937 -0.04240417
  0.1188802 -0.04331047
  0.1252027 -0.04418192
  0.1315603 -0.04502016
  0.1379525 -0.04582734
  0.1443761 -0.0466054
  0.1508245 -0.04735591
  0.1572902 -0.04807907
  0.1637686 -0.04877463
  0.1702586 -0.04944281
  0.1767631 -0.05008437
  0.183285 -0.05070093
  0.1898252 -0.05129408
  0.196381 -0.05186514
  0.2029476 -0.05241488
  0.2095201 -0.05294299
  0.2160963 -0.05344925
  0.2226764 -0.0539336
  0.2292632 -0.0543964
  0.2358596 -0.05483866
  0.2424669 -0.05526141
  0.2490845 -0.05566555
  0.25571 -0.05605179
  0.2623405 -0.05642024
  0.2689738 -0.05677081
  0.2756091 -0.05710352
  0.2822465 -0.05741846
  0.2888869 -0.05771585
  0.2955311 -0.05799605
  0.3021796 -0.05825939
  0.3088325 -0.05850619
  0.3154894 -0.05873672
  0.3221499 -0.05895119
  0.3288132 -0.05914978
  0.3354788 -0.05933267
  0.3421457 -0.05950006
  0.3488132 -0.05965201
  0.3554808 -0.05978846
  0.3621484 -0.05990935
  0.3688161 -0.06001463
  0.3754848 -0.06010426
  0.3821551 -0.06017835
  0.3888272 -0.06023708
  0.395501 -0.06028062
  0.4021756 -0.06030915
  0.4088497 -0.06032277
  0.4155219 -0.06032129
  0.4221914 -0.06030444
  0.428858 -0.06027192
  0.4355222 -0.06022348
  0.4421847 -0.06015888
  0.4488464 -0.06007812
  0.4555077 -0.05998119
  0.4621683 -0.05986812
  0.4688272 -0.05973895
  0.4754833 -0.05959356
  0.4821351 -0.05943157
  0.4887816 -0.05925253
  0.495422 -0.05905601
  0.5020559 -0.05884158
  0.5086831 -0.05860878
  0.5153035 -0.05835707
  0.521917 -0.05808591
  0.5285238 -0.05779476
  0.5351237 -0.05748309
  0.541717 -0.05715038
  0.5483036 -0.05679616
  0.5548835 -0.05641996
  0.5614565 -0.05602132
  0.5680222 -0.05559979
  0.5745803 -0.0551549
  0.5811308 -0.05468615
  0.5876736 -0.05419299
  0.5942094 -0.05367487
  0.6007389 -0.05313119
  0.607263 -0.05256158
  0.613783 -0.0519659
  0.6203001 -0.05134398
  0.6268153 -0.05069563
  0.63333 -0.05002066
  0.6398456 -0.04931919
  0.646363 -0.0485916
  0.6528833 -0.04783829
  0.6594071 -0.04705966
  0.6659349 -0.04625617
  0.672467 -0.0454284
  0.6790039 -0.04457697
  0.6855462 -0.0437025
  0.6920945 -0.04280558
  0.6986496 -0.04188685
  0.7052123 -0.04094714
  0.7117836 -0.03998729
  0.718364 -0.03900816
  0.7249546 -0.03801064
  0.731556 -0.03699582
  0.7381694 -0.03596492
  0.7447962 -0.03491918
  0.7514379 -0.03385975
  0.7580964 -0.03278796
  0.7647722 -0.03170559
  0.7714635 -0.03061485
  0.7781663 -0.02951837
  0.7848745 -0.02841915
  0.7915811 -0.02732023
  0.7982797 -0.02622456
  0.8049644 -0.02513494
  0.8116307 -0.02405416
  0.8182757 -0.02298528
  0.8248994 -0.02193094
  0.8315047 -0.02089331
  0.8380962 -0.01987361
  0.8446783 -0.01887205
  0.851254 -0.01788898
  0.8578247 -0.01692496
  0.8643908 -0.01598057
  0.8709528 -0.0150563
  0.877511 -0.01415266
  0.8840657 -0.01327
  0.8906178 -0.01240846
  0.8971683 -0.01156809
  0.9037185 -0.01074881
  0.9102665 -0.009950526
  0.9168047 -0.00917368
  0.9233209 -0.008419777
  0.9298044 -0.007691476
  0.9362496 -0.006990753
  0.9426464 -0.006316535
  0.9489558 -0.005667405
  0.9551097 -0.005047124
  0.9610274 -0.004467524
  0.9666324 -0.003935926
  0.9718591 -0.003437784
  0.9766647 -0.002961382
  0.981036 -0.002544175
  0.9849699 -0.002222914
  0.9884868 -0.001916113
  0.9916733 -0.001504618
  0.994692 -0.001141839
  0.997646 -0.001068484
  1.0 0.0
