RAF-48 AIRFOIL
  1.0 0.0
  0.9963196 0.0007726177
  0.9918843 0.00169677
  0.987228 0.002658768
  0.982334 0.003660871
  0.9771858 0.004705052
  0.9717688 0.005792731
  0.9660721 0.006924385
  0.9600915 0.008099039
  0.9538325 0.009313669
  0.9473146 0.01056264
  0.9405732 0.01183964
  0.9336539 0.01313996
  0.9266058 0.01445956
  0.9194751 0.01579565
  0.9123002 0.01714735
  0.9051077 0.0185161
  0.8979111 0.01990583
  0.8907104 0.02131993
  0.8835007 0.02275762
  0.8762773 0.02421752
  0.8690358 0.02569822
  0.8617724 0.02719818
  0.8544837 0.02871575
  0.8471668 0.03024913
  0.8398192 0.03179638
  0.8324392 0.03335538
  0.8250254 0.03492384
  0.8175771 0.03649923
  0.8100943 0.03807885
  0.8025775 0.03965975
  0.7950283 0.04123893
  0.7874491 0.04281505
  0.7798427 0.04438793
  0.7722122 0.04595741
  0.7645608 0.04752329
  0.7568921 0.04908539
  0.7492095 0.05064351
  0.7415168 0.05219741
  0.733818 0.05374688
  0.7261168 0.05529168
  0.7184175 0.05683157
  0.710724 0.05836629
  0.7030407 0.0598956
  0.6953716 0.06141914
  0.6877206 0.06293525
  0.6800908 0.06444133
  0.672485 0.06593492
  0.6649053 0.06741369
  0.6573534 0.06887546
  0.6498307 0.07031819
  0.6423379 0.07174001
  0.6348754 0.07313914
  0.6274434 0.07451397
  0.6200414 0.07586297
  0.6126688 0.07718475
  0.6053246 0.07847799
  0.5980075 0.07974149
  0.5907161 0.08097437
  0.5834489 0.08217629
  0.5762041 0.08334699
  0.5689799 0.08448625
  0.5617741 0.08559387
  0.5545842 0.08666964
  0.5474077 0.08771338
  0.5402417 0.08872488
  0.5330833 0.08970395
  0.5259291 0.09065036
  0.5187756 0.09156387
  0.5116191 0.09244418
  0.5044556 0.09329098
  0.4972806 0.09410393
  0.4900898 0.09488325
  0.4828794 0.09562992
  0.4756466 0.09634485
  0.4683896 0.09702878
  0.4611075 0.09768238
  0.4538006 0.09830621
  0.4464703 0.09890074
  0.4391191 0.09946643
  0.4317507 0.1000037
  0.4243703 0.1005128
  0.4169838 0.1009944
  0.4095988 0.1014486
  0.4022238 0.1018761
  0.3948682 0.1022771
  0.3875416 0.1026498
  0.3802521 0.1029912
  0.3730057 0.1032989
  0.365807 0.1035703
  0.3586586 0.1038035
  0.3515618 0.1039964
  0.3445165 0.1041473
  0.3375212 0.1042546
  0.3305735 0.1043166
  0.32367 0.1043319
  0.3168063 0.1042989
  0.3099771 0.104216
  0.3031766 0.1040813
  0.2963978 0.1038932
  0.2896339 0.1036508
  0.2828791 0.1033541
  0.2761287 0.1030034
  0.2693791 0.1025986
  0.2626281 0.1021394
  0.2558743 0.101626
  0.2491178 0.1010582
  0.2423594 0.100436
  0.2356016 0.09975963
  0.2288476 0.0990295
  0.222102 0.09824617
  0.2153704 0.09741052
  0.2086596 0.09652373
  0.2019772 0.0955873
  0.1953317 0.09460297
  0.1887317 0.09357138
  0.1821841 0.09249238
  0.1756941 0.09136582
  0.169265 0.09019144
  0.1628987 0.08896888
  0.1565955 0.08769761
  0.1503546 0.08637693
  0.1441744 0.08500579
  0.1380562 0.08358269
  0.1320067 0.08210729
  0.1260376 0.08058093
  0.1201638 0.07900665
  0.1144033 0.07738914
  0.1087746 0.07573455
  0.1032962 0.07405014
  0.09798453 0.0723438
  0.09285412 0.07062105
  0.08791322 0.06888301
  0.08316202 0.06712932
  0.07859515 0.06535859
  0.07420386 0.06356878
  0.06997718 0.06175899
  0.06590651 0.05993333
  0.06198997 0.05809911
  0.05822979 0.05626548
  0.05462973 0.05444247
  0.0511931 0.05264005
  0.04792186 0.05086731
  0.04481888 0.049132
  0.04188527 0.04743983
  0.03911817 0.04579442
  0.03651195 0.04419769
  0.03405913 0.04265022
  0.03175119 0.04115163
  0.02957917 0.03970085
  0.02753406 0.03829633
  0.02560708 0.03693627
  0.02378971 0.03561814
  0.02207268 0.034334
  0.02044828 0.0330753
  0.01891081 0.03183657
  0.0174556 0.03061457
  0.01607839 0.02940753
  0.01477501 0.02821464
  0.01354122 0.02703568
  0.01237275 0.02587074
  0.01126697 0.02472133
  0.01022487 0.02359169
  0.009246152 0.02248456
  0.008329177 0.02140108
  0.007471595 0.02034141
  0.006670777 0.01930508
  0.005924054 0.01829123
  0.005228854 0.01729883
  0.004582778 0.01632673
  0.003983636 0.01537377
  0.00342946 0.01443875
  0.002918504 0.01352056
  0.002449238 0.01261808
  0.002020339 0.01173027
  0.00163068 0.01085612
  0.00127932 0.00999468
  0.0009654973 0.00914503
  0.0006886224 0.008306301
  0.0004482713 0.007477656
  0.0002441845 0.006658287
  7.626647e-05 0.005847409
  -5.541177e-05 0.005044256
  -0.0001506075 0.004248074
  -0.0002088976 0.003458113
  -0.0002296655 0.00267362
  -0.0002120845 0.001893833
  -0.0001550948 0.001117968
  -5.737321e-05 0.0003452131
  8.262615e-05 -0.0004252914
  0.0002653434 -0.001194457
  0.0004902536 -0.001963174
  0.0007570389 -0.002732281
  0.001065613 -0.003502564
  0.001416109 -0.004274773
  0.001808873 -0.005049619
  0.002244457 -0.005827782
  0.002723619 -0.006609908
  0.003247321 -0.007396607
  0.003816731 -0.008188441
  0.004433215 -0.008985917
  0.005098338 -0.009789464
  0.005813845 -0.0105994
  0.006581636 -0.01141589
  0.007403713 -0.01223889
  0.008282094 -0.01306803
  0.009218672 -0.01390252
  0.01021498 -0.01474092
  0.01127182 -0.01558095
  0.01238874 -0.01641912
  0.01356422 -0.01725099
  0.01479989 -0.01807428
  0.01609872 -0.01888784
  0.01746361 -0.01969082
  0.01889742 -0.0204829
  0.02040314 -0.02126449
  0.02198412 -0.022037
  0.02364447 -0.02280317
  0.02538977 -0.02356749
  0.02722732 -0.02433437
  0.02916501 -0.02510472
  0.03121147 -0.02587899
  0.03337624 -0.02665772
  0.0356697 -0.02744149
  0.03810302 -0.02823098
  0.04068793 -0.02902696
  0.04343625 -0.02983026
  0.04635903 -0.03064181
  0.04946505 -0.0314625
  0.05275938 -0.03229267
  0.05624652 -0.03312877
  0.05992959 -0.03396487
  0.06380915 -0.03479424
  0.06788453 -0.03560973
  0.07215639 -0.03640444
  0.07663118 -0.03717243
  0.08132354 -0.03791064
  0.08624954 -0.03861899
  0.09142281 -0.03929788
  0.09685169 -0.03994818
  0.1025352 -0.04057133
  0.1084612 -0.04116634
  0.1146098 -0.04172902
  0.1209549 -0.04225582
  0.1274661 -0.04274446
  0.1341122 -0.04319416
  0.1408647 -0.0436058
  0.1477009 -0.04398177
  0.1546072 -0.04432555
  0.1615774 -0.04463866
  0.1686074 -0.04492107
  0.1756936 -0.04517285
  0.1828327 -0.04539418
  0.1900223 -0.04558536
  0.1972606 -0.0457468
  0.2045467 -0.04587899
  0.2118803 -0.04598286
  0.2192611 -0.04605966
  0.2266882 -0.04611071
  0.2341606 -0.0461374
  0.2416765 -0.04614121
  0.2492338 -0.0461237
  0.2568298 -0.04608654
  0.2644614 -0.04603146
  0.2721248 -0.0459603
  0.2798157 -0.04587497
  0.287529 -0.04577749
  0.2952594 -0.04566993
  0.3030008 -0.04555442
  0.3107469 -0.04543195
  0.3184919 -0.04530201
  0.326231 -0.04516398
  0.3339604 -0.04501725
  0.3416774 -0.04486119
  0.3493801 -0.04469518
  0.3570676 -0.04451862
  0.3647401 -0.04433085
  0.3723986 -0.04413124
  0.3800448 -0.04391909
  0.3876817 -0.04369371
  0.3953128 -0.04345434
  0.4029427 -0.04320019
  0.4105764 -0.04293108
  0.4182188 -0.04264771
  0.4258739 -0.04235085
  0.433545 -0.04204129
  0.4412345 -0.04171984
  0.448944 -0.04138733
  0.4566743 -0.04104468
  0.4644253 -0.0406928
  0.4721961 -0.04033272
  0.4799845 -0.03996551
  0.4877877 -0.03959229
  0.4956017 -0.03921427
  0.5034215 -0.0388327
  0.5112415 -0.03844804
  0.5190564 -0.03805974
  0.5268619 -0.03766716
  0.5346543 -0.03726966
  0.5424311 -0.03686653
  0.5501906 -0.03645707
  0.5579319 -0.03604053
  0.565655 -0.03561612
  0.5733606 -0.03518303
  0.5810503 -0.03474042
  0.5887263 -0.03428738
  0.5963918 -0.03382298
  0.6040505 -0.03334624
  0.6117067 -0.03285686
  0.6193643 -0.03235523
  0.6270267 -0.03184175
  0.634697 -0.03131685
  0.6423774 -0.03078101
  0.6500697 -0.0302347
  0.6577752 -0.02967846
  0.6654946 -0.02911285
  0.6732279 -0.02853851
  0.6809747 -0.02795609
  0.6887339 -0.02736633
  0.6965038 -0.02677002
  0.704282 -0.02616797
  0.7120656 -0.02556061
  0.719852 -0.02494796
  0.7276385 -0.02433003
  0.7354229 -0.02370679
  0.7432032 -0.02307823
  0.7509776 -0.02244431
  0.7587445 -0.02180496
  0.7665029 -0.02116011
  0.7742516 -0.02050967
  0.78199 -0.01985354
  0.7897177 -0.01919157
  0.7974343 -0.01852364
  0.8051401 -0.01784972
  0.8128348 -0.01717154
  0.8205178 -0.016492
  0.8281866 -0.01581411
  0.8358382 -0.01514096
  0.843468 -0.01447566
  0.8510706 -0.01382139
  0.8586396 -0.0131813
  0.8661678 -0.01255847
  0.8736472 -0.01195595
  0.8810694 -0.0113766
  0.8884258 -0.01082313
  0.8957074 -0.01029801
  0.9029054 -0.009803286
  0.91001 -0.009334054
  0.9170071 -0.008877501
  0.9238797 -0.008421639
  0.9306092 -0.007956029
  0.9371767 -0.007471919
  0.9435647 -0.006962345
  0.9497583 -0.006422137
  0.9557459 -0.005849054
  0.9615213 -0.005247246
  0.9670837 -0.004622023
  0.9724358 -0.003978061
  0.9775836 -0.003319401
  0.9825348 -0.002649478
  0.9872981 -0.001971183
  0.9918832 -0.001286927
  0.9962996 -0.0005987032
  1.0 0.0
