A18 (smoothed)
  0.2417406 -0.00773542
  0.2480714 -0.007254128
  0.2544009 -0.006772988
  0.2607288 -0.006292531
  0.2670547 -0.005813258
  0.2733791 -0.005335638
  0.2797023 -0.004860004
  0.2860248 -0.004386532
  0.2923465 -0.003915418
  0.2986667 -0.003446888
  0.3049845 -0.002981198
  0.3112986 -0.002518684
  0.3176075 -0.002060021
  0.3239106 -0.001605979
  0.3302079 -0.001157272
  0.3365 -0.0007145634
  0.3427882 -0.0002784669
  0.3490744 0.0001506093
  0.3553604 0.0005727156
  0.3616472 0.0009879321
  0.3679349 0.001396287
  0.3742232 0.00179776
  0.3805107 0.002192285
  0.3867958 0.00257957
  0.393077 0.002958978
  0.3993534 0.003329883
  0.4056251 0.003691709
  0.4118928 0.004043926
  0.418158 0.004386045
  0.4244228 0.004717893
  0.4306889 0.005039801
  0.4369578 0.00535211
  0.4432299 0.005655127
  0.4495053 0.005949127
  0.4557835 0.006234355
  0.4620632 0.006510922
  0.4683435 0.006778695
  0.4746234 0.007037533
  0.4809025 0.007287309
  0.4871805 0.007527911
  0.4934576 0.007759242
  0.4997342 0.00798125
  0.5060108 0.008193994
  0.5122877 0.008397545
  0.5185655 0.00859197
  0.5248445 0.008777333
  0.5311249 0.008953695
  0.5374072 0.009121133
  0.5436913 0.009279796
  0.5499773 0.009429846
  0.556265 0.009571441
  0.562554 0.009704739
  0.5688437 0.009829892
  0.5751333 0.009947011
  0.5814222 0.01005597
  0.5877098 0.0101566
  0.5939959 0.01024869
  0.6002806 0.01033209
  0.606564 0.01040662
  0.6128468 0.01047212
  0.6191296 0.0105286
  0.6254127 0.01057615
  0.6316966 0.01061482
  0.6379813 0.0106447
  0.6442668 0.01066584
  0.6505527 0.0106783
  0.6568389 0.01068208
  0.6631248 0.01067714
  0.6694104 0.01066342
  0.6756954 0.01064088
  0.6819796 0.01060948
  0.6882631 0.01056917
  0.6945458 0.01051988
  0.7008277 0.01046152
  0.7071088 0.01039399
  0.713389 0.01031721
  0.7196683 0.01023109
  0.7259466 0.01013553
  0.732224 0.01003042
  0.7385004 0.009915676
  0.7447758 0.009791173
  0.75105 0.00965681
  0.757323 0.009512482
  0.7635949 0.00935809
  0.7698654 0.009193559
  0.7761349 0.009018811
  0.7824035 0.008833764
  0.7886715 0.008638331
  0.7949395 0.00843243
  0.8012077 0.00821607
  0.8074764 0.007989324
  0.8137455 0.007752273
  0.8200145 0.007505012
  0.8262828 0.007247643
  0.8325496 0.006980159
  0.8388144 0.006702419
  0.8450772 0.006414255
  0.8513389 0.00611547
  0.8576005 0.005805861
  0.8638636 0.00548551
  0.870129 0.005154735
  0.876397 0.004813895
  0.8826673 0.004463383
  0.888939 0.004103562
  0.8952111 0.003734598
  0.9014837 0.003356578
  0.9077573 0.002969542
  0.9140335 0.002573615
  0.9203139 0.002169452
  0.9265998 0.00175786
  0.9328921 0.001339675
  0.9391907 0.0009159189
  0.9454913 0.0004880627
  0.9517837 5.799194e-05
  0.958052 -0.000371535
  0.9642722 -0.0007962564
  0.9704112 -0.001211353
  0.9764141 -0.001611015
  0.9821783 -0.001987
  0.9875751 -0.002328814
  0.9924742 -0.002625891
  0.9967826 -0.002876603
  1.0 -0.00306
