DRAGONFLY CANARD
  0.004077884 -0.01022016
  0.004760814 -0.01099401
  0.005501949 -0.01174958
  0.006303118 -0.01248357
  0.007166235 -0.01319251
  0.008092632 -0.01387424
  0.009083269 -0.01452712
  0.0101393 -0.01514961
  0.0112625 -0.01574096
  0.0124548 -0.01630058
  0.01371889 -0.01682882
  0.01505812 -0.01732707
  0.01647626 -0.01779743
  0.01797872 -0.01824317
  0.01957154 -0.01866902
  0.02126204 -0.01908075
  0.02305898 -0.01948548
  0.02497133 -0.01989217
  0.02700963 -0.02030677
  0.02918542 -0.02073506
  0.03151095 -0.02118159
  0.03400007 -0.02164621
  0.03666802 -0.02212761
  0.03953071 -0.02262287
  0.04260375 -0.02312697
  0.04590367 -0.02363424
  0.04944784 -0.02414073
  0.05325361 -0.02464222
  0.05733783 -0.02513498
  0.06171598 -0.02561611
  0.06640271 -0.02608401
  0.07140805 -0.02654067
  0.07672853 -0.02699067
  0.08234366 -0.02743514
  0.08822248 -0.02786945
  0.09433299 -0.0282894
  0.1006458 -0.02869114
  0.1071314 -0.02907125
  0.1137632 -0.02942737
  0.1205187 -0.02975827
  0.1273806 -0.03006368
  0.1343363 -0.0303449
  0.1413725 -0.03060437
  0.1484734 -0.03084438
  0.1556244 -0.03106533
  0.162816 -0.03126736
  0.1700432 -0.03145117
  0.1773016 -0.03161797
  0.1845856 -0.03176898
  0.191889 -0.03190467
  0.1992084 -0.03202513
  0.206543 -0.03213068
  0.2138924 -0.03222228
  0.2212545 -0.03230096
  0.2286259 -0.03236727
  0.236004 -0.0324212
  0.2433881 -0.03246274
  0.2507785 -0.0324922
  0.2581751 -0.03251003
  0.2655771 -0.0325166
  0.2729836 -0.0325122
  0.2803934 -0.03249708
  0.2878053 -0.03247132
  0.2952192 -0.03243479
  0.3026358 -0.03238745
  0.3100559 -0.03232963
  0.3174793 -0.03226186
  0.3249047 -0.03218451
  0.3323307 -0.03209768
  0.3397566 -0.03200145
  0.3471818 -0.03189593
  0.3546047 -0.03178137
  0.3620226 -0.03165782
  0.3694324 -0.03152456
  0.3768325 -0.03138062
  0.3842223 -0.03122496
