NACA 63(4)-221
  1.0 0.0
  0.9956499 0.0005275808
  0.9904665 0.001178747
  0.9850959 0.001879286
  0.97953 0.00263316
  0.9737614 0.003444474
  0.9677844 0.004317374
  0.9615956 0.005255902
  0.955195 0.006263784
  0.948587 0.007344154
  0.941781 0.008498525
  0.9347902 0.009725864
  0.9276301 0.0110239
  0.9203174 0.01238943
  0.9128684 0.01381859
  0.9052981 0.01530712
  0.8976182 0.01685085
  0.8898369 0.01844666
  0.8819611 0.02009264
  0.8739977 0.02178672
  0.8659536 0.02352664
  0.8578352 0.02531
  0.8496486 0.02713433
  0.8413991 0.02899715
  0.8330913 0.03089603
  0.8247291 0.0328286
  0.8163159 0.03479254
  0.8078536 0.03678564
  0.7993436 0.03880585
  0.790786 0.04085118
  0.7821821 0.04291921
  0.7735359 0.04500678
  0.7648541 0.04710992
  0.7561465 0.04922385
  0.747426 0.05134297
  0.7387074 0.05346109
  0.730004 0.05557234
  0.7213252 0.05767178
  0.7126772 0.05975537
  0.7040627 0.06181997
  0.6954811 0.06386334
  0.6869298 0.06588428
  0.6784068 0.06788197
  0.6699109 0.06985542
  0.6614413 0.07180349
  0.6529983 0.0737249
  0.6445829 0.07561824
  0.636196 0.07748189
  0.6278389 0.07931422
  0.6195121 0.08111372
  0.611216 0.082879
  0.6029507 0.08460878
  0.594716 0.08630186
  0.5865116 0.08795707
  0.5783372 0.08957324
  0.5701922 0.09114925
  0.5620761 0.09268404
  0.5539883 0.09417658
  0.5459282 0.0956259
  0.5378951 0.09703108
  0.5298886 0.09839121
  0.5219087 0.09970539
  0.5139553 0.1009727
  0.5060286 0.1021923
  0.4981291 0.1033632
  0.4902572 0.1044846
  0.4824134 0.1055554
  0.4745976 0.1065748
  0.4668097 0.1075418
  0.4590488 0.1084558
  0.4513139 0.109316
  0.4436039 0.1101217
  0.4359176 0.1108723
  0.4282548 0.1115673
  0.4206163 0.1122059
  0.4130034 0.1127874
  0.4054184 0.1133111
  0.3978644 0.1137764
  0.3903446 0.1141824
  0.3828615 0.1145275
  0.3754153 0.1148101
  0.3680039 0.1150291
  0.3606236 0.115183
  0.3532685 0.1152703
  0.3459313 0.1152897
  0.3386034 0.1152407
  0.3312776 0.1151248
  0.3239491 0.1149434
  0.3166152 0.1146976
  0.3092754 0.1143888
  0.3019316 0.1140181
  0.294588 0.1135871
  0.2872503 0.1130966
  0.2799244 0.1125465
  0.2726162 0.1119373
  0.2653308 0.1112691
  0.2580732 0.1105425
  0.2508479 0.1097582
  0.243659 0.1089167
  0.2365107 0.1080184
  0.229407 0.1070633
  0.2223516 0.1060517
  0.2153484 0.1049837
  0.2084009 0.10386
  0.2015123 0.102681
  0.1946859 0.1014474
