AG45c -03f
  1.000086 0.015922
  0.9970312 0.01612311
  0.9927772 0.01640933
  0.9877243 0.01675726
  0.9821727 0.01714484
  0.9763942 0.0175486
  0.9704543 0.01795917
  0.9643989 0.0183688
  0.958275 0.0187758
  0.9521184 0.01918349
  0.9459492 0.01959282
  0.9397746 0.02000089
  0.933593 0.0204061
  0.9274024 0.02080962
  0.9212067 0.02121241
  0.9150119 0.02161405
  0.9088204 0.02201388
  0.9026318 0.02241145
  0.8964453 0.02280633
  0.8902608 0.02319821
  0.8840773 0.02358692
  0.8778939 0.02397239
  0.8717102 0.0243547
  0.8655279 0.02473379
  0.8593483 0.02510917
  0.8531696 0.02548046
  0.8469892 0.02584789
  0.840807 0.02621194
  0.8346259 0.02657253
  0.8284472 0.02692909
  0.8222697 0.0272813
  0.8160917 0.02762927
  0.8099126 0.02797314
  0.8037324 0.02831302
  0.7975515 0.02864903
  0.7913701 0.02898122
  0.7851882 0.02930962
  0.7790057 0.0296343
  0.7728228 0.02995535
  0.7666405 0.03027272
  0.7604602 0.03058604
  0.7542825 0.03089496
  0.7481071 0.0311996
  0.7419318 0.03150035
  0.7357591 0.03179812
  0.7296111 0.03209337
  0.7235295 0.03238271
  0.7175664 0.03265839
  0.7117869 0.03291878
  0.7063419 0.03317719
  0.701422 0.03341029
  0.6965609 0.03389485
  0.6911739 0.03440711
  0.6854695 0.03495187
  0.6795729 0.03552629
  0.6735626 0.03610688
  0.6674765 0.03668545
  0.6613451 0.03726353
  0.6551959 0.03784065
  0.6490424 0.03841419
  0.6428874 0.03898309
  0.6367302 0.03954735
  0.6305718 0.04010717
  0.6244145 0.04066219
  0.618259 0.04121196
  0.612105 0.04175622
  0.6059518 0.04229479
  0.5997992 0.04282748
  0.5936465 0.04335424
  0.5874931 0.0438751
  0.5813386 0.04439025
  0.5751833 0.04489981
  0.5690284 0.04540362
  0.5628748 0.04590141
  0.5567232 0.04639278
  0.5505721 0.04687743
  0.5444203 0.04735558
  0.5382688 0.04782723
  0.5321185 0.04829206
  0.5259691 0.04874985
  0.5198193 0.04920049
  0.5136683 0.04964418
  0.5075175 0.050081
  0.5013693 0.05051047
  0.4952236 0.05093195
  0.4890775 0.05134533
  0.4829297 0.05175101
  0.4767816 0.05214908
  0.4706349 0.05253919
  0.4644891 0.05292103
  0.458343 0.05329464
  0.4521972 0.05366001
  0.4460533 0.05401684
  0.4399107 0.05436471
  0.4337671 0.05470368
  0.4276224 0.05503413
  0.4214808 0.05535594
  0.4153465 0.0556678
  0.4092206 0.05596839
  0.4031016 0.05625664
  0.3969878 0.05653159
  0.3908773 0.0567927
  0.384768 0.05703976
  0.3786582 0.05727273
  0.372548 0.05749179
  0.3664388 0.05769692
  0.3603325 0.05788764
  0.3542283 0.05806342
  0.348125 0.05822416
  0.3420221 0.05836987
  0.3359207 0.05850033
  0.3298229 0.05861512
  0.3237306 0.05871364
  0.3176439 0.05879494
  0.3115594 0.05885827
  0.3054744 0.05890379
  0.2993906 0.05893181
  0.2933121 0.05894178
  0.2872398 0.05893269
  0.2811717 0.05890386
  0.2751068 0.05885497
  0.2690461 0.05878563
  0.2629909 0.05869519
  0.2569406 0.05858299
  0.2508945 0.05844856
  0.2448532 0.0582915
  0.2388178 0.05811123
  0.2327892 0.05790702
  0.2267675 0.05767812
  0.2207525 0.0574238
  0.2147437 0.05714337
  0.2087411 0.05683629
  0.2027467 0.0565021
  0.1967625 0.05613993
  0.1907889 0.05574858
  0.1848247 0.055327
  0.1788704 0.05487449
  0.1729281 0.0543903
  0.167 0.0538732
  0.1610863 0.0533218
  0.1551868 0.05273484
  0.149302 0.05211122
  0.1434336 0.05144979
  0.1375839 0.05074937
  0.1317561 0.05000862
  0.1259521 0.04922571
  0.1201724 0.04839863
  0.1144183 0.04752567
  0.1086939 0.04660554
  0.1030048 0.04563642
  0.0973558 0.04461595
  0.09175046 0.04354152
  0.08619228 0.04241033
  0.08068524 0.04121975
  0.07523586 0.0399673
