OAF095 AIRFOIL
  1.0 0.000169
  0.9966349 0.000670749
  0.9923879 0.001319032
  0.9877412 0.002046863
  0.9827069 0.002855916
  0.9773159 0.003743876
  0.9716135 0.004705497
  0.9656501 0.005733183
  0.9594766 0.006817795
  0.9531386 0.007950399
  0.9466748 0.009122688
  0.9401147 0.0103279
  0.9334799 0.01156045
  0.9267849 0.01281551
  0.9200418 0.01408838
  0.9132607 0.01537486
  0.9064513 0.0166714
  0.8996226 0.01797445
  0.8927832 0.01928062
  0.88594 0.02058674
  0.8790986 0.02189004
  0.8722626 0.0231885
  0.8654346 0.02448058
  0.8586153 0.02576502
  0.8518047 0.02704089
  0.8450025 0.02830739
  0.838208 0.02956374
  0.8314206 0.03080935
  0.8246395 0.03204374
  0.8178639 0.03326644
  0.8110929 0.03447706
  0.8043258 0.03567534
  0.7975619 0.03686102
  0.7908006 0.03803385
  0.7840413 0.0391936
  0.7772836 0.04034011
  0.7705272 0.04147318
  0.7637718 0.04259264
  0.7570171 0.04369833
  0.7502628 0.04479011
  0.7435088 0.04586786
  0.7367549 0.04693142
  0.730001 0.04798068
  0.7232469 0.04901551
  0.7164928 0.05003578
  0.7097386 0.05104134
  0.7029846 0.05203202
  0.6962309 0.05300764
  0.6894774 0.05396801
  0.6827243 0.05491294
  0.6759716 0.05584229
  0.6692193 0.05675586
  0.6624674 0.05765348
  0.6557162 0.05853496
  0.6489658 0.0594001
  0.6422166 0.06024863
  0.6354689 0.06108025
  0.6287228 0.06189469
  0.6219785 0.06269167
  0.6152364 0.0634709
  0.6084964 0.06423207
  0.6017587 0.06497486
  0.5950233 0.06569898
  0.5882899 0.06640415
  0.5815586 0.06709008
  0.5748294 0.06775649
  0.5681025 0.06840307
  0.5613782 0.06902952
  0.5546569 0.06963549
  0.5479388 0.07022067
  0.5412236 0.07078473
  0.5345107 0.07132742
  0.5277989 0.07184848
  0.521087 0.07234781
  0.5143745 0.07282533
  0.5076619 0.07328092
  0.5009508 0.07371437
  0.4942438 0.07412543
  0.4875426 0.07451368
  0.4808466 0.07487881
  0.4741522 0.07522064
  0.4674529 0.07553906
  0.46074 0.07583457
  0.4540083 0.07610885
  0.4472599 0.0763635
  0.4405045 0.07659989
  0.4337597 0.07681909
  0.4270463 0.07701886
  0.4203769 0.07719429
  0.4137528 0.07734095
  0.4071656 0.07745479
  0.4005979 0.07753257
  0.3940297 0.07757525
  0.3874465 0.07758503
  0.3808398 0.07756388
  0.3742077 0.07751369
  0.3675539 0.07743609
  0.3608847 0.07733204
  0.3542061 0.07720249
  0.3475242 0.07704851
  0.3408448 0.07687111
  0.3341729 0.07667005
  0.3275115 0.07644429
  0.3208614 0.07619277
  0.3142213 0.07591434
  0.307588 0.07560816
  0.3009585 0.07527411
  0.2943313 0.07491219
  0.2877058 0.07452242
  0.281083 0.07410489
  0.2744642 0.07365953
  0.2678505 0.07318624
  0.2612423 0.07268486
  0.2546396 0.07215523
  0.2480425 0.07159719
  0.241451 0.07101061
  0.2348663 0.07039545
  0.2282898 0.06975172
  0.2217233 0.0690792
  0.2151686 0.06837749
  0.2086269 0.06764615
  0.2020993 0.06688474
  0.1955866 0.06609271
  0.18909 0.06526955
  0.1826114 0.06441484
  0.1761532 0.0635282
  0.1697181 0.06260895
  0.1633084 0.06165622
  0.1569266 0.0606692
  0.1505745 0.05964705
  0.1442547 0.0585888
  0.13797 0.05749363
  0.1317236 0.05636089
  0.1255196 0.05518987
  0.1193633 0.05397995
  0.1132608 0.05273097
  0.1072194 0.05144289
  0.1012478 0.05011563
  0.09535599 0.04874981
  0.08955506 0.04734664
  0.08385912 0.04590802
  0.07828579 0.04443752
  0.07285475 0.04294012
  0.06758858 0.04142142
  0.06251175 0.03988895
  0.05764713 0.03835154
  0.05301697 0.03681804
  0.04864162 0.03529862
  0.04453461 0.03380343
  0.0407032 0.03234003
  0.03714839 0.03091482
  0.03386336 0.02953295
  0.03083611 0.02819667
  0.02805311 0.0269064
  0.02549827 0.02566239
  0.02315348 0.02446411
  0.02100114 0.02330882
  0.01902421 0.02219264
  0.01720581 0.0211121
  0.01552996 0.02006408
  0.01398273 0.01904536
  0.01255374 0.01805229
  0.01123395 0.01708219
  0.01001497 0.01613322
  0.008888902 0.01520399
  0.007848907 0.0142932
  0.006890481 0.01339855
  0.006008898 0.01251732
  0.005199111 0.01164678
  0.004456221 0.01078436
  0.003775697 0.009927646
  0.003154384 0.009074933
  0.002591428 0.008226097
  0.002086489 0.007382056
  0.001639144 0.00654436
  0.001248626 0.005714917
  0.0009136835 0.004895764
  0.0006330208 0.004089555
  0.0004054497 0.00329867
  0.0002292753 0.002523038
  0.0001029739 0.001760801
  2.572416e-05 0.001008912
  -2.207593e-06 0.0002633688
  2.071975e-05 -0.0004807317
  9.528168e-05 -0.001227965
  0.0002222697 -0.001981389
  0.0004039095 -0.002742698
  0.0006435488 -0.003511945
