DAE-11 AIRFOIL
  0.1311291 -0.01289472
  0.1382299 -0.01254721
  0.1453827 -0.0121836
  0.1525783 -0.01180573
  0.1598099 -0.01141542
  0.1670723 -0.01101401
  0.1743611 -0.01060272
  0.1816727 -0.0101828
  0.1890039 -0.009755437
  0.1963523 -0.009321651
  0.2037158 -0.008882236
  0.2110925 -0.008437976
  0.218481 -0.007989644
  0.2258802 -0.007537947
  0.2332889 -0.007083439
  0.2407056 -0.006626665
  0.2481285 -0.006168195
  0.2555556 -0.005708613
  0.2629849 -0.005248459
  0.2704147 -0.004788224
  0.2778441 -0.004328373
  0.2852722 -0.003869334
  0.2926989 -0.003411423
  0.3001236 -0.00295485
  0.3075453 -0.002499849
  0.3149625 -0.00204668
  0.3223734 -0.001595702
  0.3297766 -0.001147528
  0.3371719 -0.0007027521
  0.3445604 -0.0002618949
  0.3519442 0.0001746287
  0.3593258 0.0006068168
  0.3667066 0.001034845
  0.3740866 0.001458804
  0.3814641 0.001878699
  0.3888366 0.002294227
  0.3962019 0.002704702
  0.4035592 0.00310948
  0.4109093 0.003508
  0.418254 0.003899853
  0.4255956 0.004285052
  0.4329357 0.004663692
  0.4402747 0.005035818
  0.4476126 0.005401422
  0.4549483 0.005760339
  0.4622806 0.00611229
  0.4696081 0.006456989
  0.4769295 0.006794149
  0.4842432 0.007123368
  0.4915482 0.007443993
  0.4988444 0.007755372
  0.5061325 0.008056899
  0.5134142 0.008348045
  0.5206913 0.008628645
  0.5279653 0.008898666
  0.5352372 0.009158048
  0.5425074 0.009406711
  0.5497759 0.009644546
  0.5570425 0.009871428
  0.5643067 0.01008723
  0.5715678 0.01029181
  0.5788252 0.01048501
  0.5860783 0.01066653
  0.5933274 0.01083607
  0.6005734 0.01099334
  0.6078181 0.01113808
  0.6150634 0.01127035
  0.6223106 0.01139037
  0.62956 0.01149836
  0.6368113 0.01159454
  0.6440633 0.01167899
  0.6513149 0.01175162
  0.6585656 0.01181231
  0.6658154 0.01186096
  0.6730648 0.01189749
  0.6803148 0.01192197
  0.6875658 0.01193449
  0.6948183 0.01193517
  0.7020725 0.0119241
  0.7093283 0.01190138
  0.7165852 0.0118671
  0.7238425 0.01182137
  0.7310987 0.01176429
  0.7383525 0.01169587
  0.7456022 0.01161583
  0.7528473 0.01152386
  0.7600877 0.01141963
  0.7673237 0.0113028
  0.7745563 0.01117321
  0.7817859 0.0110307
  0.7890127 0.01087516
  0.7962365 0.01070649
  0.8034567 0.01052453
  0.8106731 0.01032911
  0.8178857 0.01012005
  0.825095 0.009897119
  0.8323019 0.009660154
  0.8395069 0.009409115
  0.84671 0.009144027
  0.8539102 0.008864945
  0.861106 0.008571946
  0.8682954 0.008264927
  0.8754768 0.007943634
  0.8826493 0.007607792
