  SD8040 (10%)
  1.0 0.0
  0.9968171 0.0003530244
  0.9928634 0.0008287078
  0.9885871 0.001383329
  0.9839764 0.002018643
  0.9790277 0.002735459
  0.9737506 0.003532645
  0.9681669 0.004404687
  0.9623065 0.005345098
  0.9562068 0.006347562
  0.949907 0.0074043
  0.943438 0.008507868
  0.9368232 0.009651931
  0.9300871 0.01082959
  0.9232542 0.01203333
  0.9163474 0.01325574
  0.9093879 0.01449092
  0.9023935 0.01573371
  0.895379 0.01697954
  0.8883545 0.01822456
  0.8813266 0.01946612
  0.8743007 0.02070238
  0.8672808 0.02193166
  0.8602704 0.02315248
  0.8532719 0.02436354
  0.8462868 0.02556363
  0.8393154 0.02675167
  0.8323573 0.02792675
  0.825411 0.02908814
  0.8184739 0.03023526
  0.8115429 0.03136788
  0.8046147 0.0324864
  0.7976868 0.03359124
  0.7907576 0.03468272
  0.783826 0.03576098
  0.7768918 0.03682607
  0.7699553 0.03787794
  0.7630172 0.0389165
  0.7560777 0.03994169
  0.7491368 0.04095353
  0.7421941 0.04195205
  0.735249 0.04293734
  0.7283006 0.04390953
  0.721348 0.04486889
  0.7143904 0.0458157
  0.7074277 0.04675018
  0.7004603 0.04767247
  0.6934888 0.04858267
  0.6865146 0.04948083
  0.6795393 0.05036685
  0.6725644 0.05124036
  0.665591 0.05210097
  0.6586199 0.05294838
  0.6516513 0.05378233
  0.6446848 0.05460263
  0.6377199 0.05540914
  0.6307554 0.05620181
  0.6237904 0.05698077
  0.6168241 0.05774614
  0.609856 0.05849799
  0.6028861 0.05923636
  0.5959146 0.05996125
  0.5889419 0.06067264
  0.5819688 0.06137043
  0.574996 0.0620544
  0.5680244 0.06272432
  0.5610544 0.06337998
  0.5540863 0.06402117
  0.5471206 0.06464772
  0.5401573 0.06525947
  0.5331964 0.06585626
  0.5262378 0.06643789
  0.5192817 0.06700416
  0.5123281 0.06755487
  0.505377 0.0680898
  0.4984289 0.06860874
  0.4914838 0.06911148
  0.4845422 0.06959778
  0.4776044 0.07006739
  0.4706707 0.07052002
  0.4637413 0.07095538
  0.4568161 0.07137322
  0.4498951 0.07177326
  0.4429781 0.07215526
  0.4360649 0.07251898
  0.4291551 0.07286418
  0.4222485 0.07319069
  0.4153453 0.07349828
  0.4084456 0.07378676
  0.4015499 0.07405589
  0.3946588 0.07430547
  0.3877732 0.07453527
  0.380894 0.07474495
  0.3740221 0.07493404
  0.3671582 0.07510205
  0.3603031 0.07524852
  0.3534569 0.07537303
  0.3466202 0.07547512
  0.3397929 0.07555437
  0.3329752 0.07561034
  0.3261671 0.07564256
  0.3193691 0.07565055
  0.3125814 0.07563386
  0.3058046 0.07559204
  0.2990393 0.07552464
  0.2922863 0.07543124
  0.2855466 0.07531123
  0.2788211 0.07516391
  0.272111 0.07498864
  0.2654175 0.07478478
  0.258742 0.07455173
  0.2520859 0.07428894
  0.2454507 0.07399577
  0.2388378 0.07367132
  0.2322484 0.07331468
  0.2256835 0.07292498
  0.2191438 0.07250137
  0.2126297 0.07204301
  0.2061415 0.07154907
  0.19968 0.07101865
  0.1932465 0.07045092
  0.186843 0.06984518
  0.1804725 0.06920087
  0.1741381 0.06851761
  0.167844 0.06779501
  0.1615943 0.06703207
  0.1553933 0.06622777
  0.1492449 0.06538125
  0.1431528 0.0644918
  0.1371203 0.0635589
  0.1311509 0.06258188
  0.1252495 0.06156002
  0.1194224 0.0604931
  0.1136767 0.05938151
  0.1080203 0.05822625
  0.1024617 0.05702865
  0.09701045 0.05578966
  0.09167721 0.05451083
  0.08647269 0.05319465
  0.08140698 0.0518444
  0.0764891 0.05046384
  0.07172923 0.04905635
  0.06714025 0.04762653
  0.06273515 0.04618063
  0.05852482 0.04472584
  0.05451655 0.04326953
  0.05071453 0.04181761
  0.04712026 0.04037454
  0.04373145 0.03894449
  0.04054237 0.03753105
  0.03754467 0.03613712
  0.03472832 0.03476483
  0.0320846 0.03341556
  0.02960734 0.03209146
  0.0272907 0.03079533
  0.02512803 0.02952984
  0.02311155 0.02829708
  0.02123251 0.02709842
  0.01948184 0.02593416
  0.01785155 0.02480219
  0.01633312 0.0236994
  0.01491761 0.02262266
  0.01359635 0.021569
  0.01236127 0.02053571
  0.01120501 0.01952036
  0.01012096 0.01852078
  0.009103306 0.01753507
  0.008148606 0.01656159
  0.007255387 0.01559939
  0.006422425 0.01464823
  0.005648478 0.01370829
  0.004932144 0.01278002
  0.004271804 0.01186401
  0.003665596 0.01096088
  0.003111444 0.0100712
  0.002607091 0.009195481
  0.002150874 0.008334281
  0.001742196 0.007487894
  0.001379992 0.006655709
  0.001062898 0.005836483
  0.0007895213 0.005028578
  0.0005586101 0.004230121
  0.0003691593 0.003439085
  0.000220478 0.002653329
  0.0001122412 0.001870602
  4.453782e-05 0.001088521
  1.788781e-05 0.0003051712
  3.313248e-05 -0.0004780541
  9.15996e-05 -0.001258547
  0.0001951726 -0.002033539
  0.0003463101 -0.002800014
  0.0005480923 -0.003554614
  0.0008042935 -0.004293527
  0.001119486 -0.005012359
  0.001499179 -0.005705966
  0.001949214 -0.006369179
  0.002471165 -0.007002189
  0.00306484 -0.007607501
  0.003730185 -0.008187598
  0.00446711 -0.008745034
  0.005275215 -0.009282535
  0.006153386 -0.009803141
  0.007099169 -0.01031036
  0.008107838 -0.01080836
  0.009171906 -0.01130183
  0.01028996 -0.01179237
  0.01146612 -0.0122793
  0.01270484 -0.01276192
  0.01401089 -0.01323968
  0.0153894 -0.01371227
  0.016846 -0.01417981
  0.0183871 -0.01464305
  0.0200204 -0.01510372
  0.0217558 -0.01556489
  0.02360561 -0.01602943
  0.02558326 -0.01649781
  0.02770398 -0.01697023
  0.02998462 -0.01744684
  0.03244383 -0.01792779
  0.03510171 -0.0184133
  0.0379788 -0.01890366
  0.04109433 -0.01939922
  0.04446671 -0.01989855
  0.04811169 -0.02039807
  0.05203774 -0.02089329
  0.05624444 -0.02137949
  0.06072437 -0.02185261
  0.06547025 -0.02231043
  0.07047884 -0.02275029
  0.07574175 -0.02316833
  0.08124303 -0.02356113
  0.08696092 -0.02392621
  0.09287129 -0.02426245
  0.09895162 -0.02456918
  0.1051796 -0.02484555
  0.1115324 -0.02509154
  0.1179886 -0.02530808
  0.1245307 -0.02549694
  0.131146 -0.02565998
  0.1378246 -0.02579805
  0.1445577 -0.02591209
  0.1513375 -0.02600327
  0.158158 -0.02607293
  0.1650147 -0.02612254
  0.1719045 -0.0261533
  0.1788245 -0.02616622
  0.1857716 -0.02616239
  0.1927424 -0.02614295
  0.1997335 -0.02610911
  0.2067412 -0.02606203
  0.2137621 -0.02600231
  0.2207932 -0.02593022
  0.2278325 -0.02584608
  0.2348787 -0.0257502
  0.2419312 -0.02564289
  0.2489905 -0.02552445
  0.2560572 -0.02539526
  0.2631323 -0.02525576
  0.2702162 -0.02510643
  0.2773092 -0.02494774
  0.2844108 -0.02478017
  0.2915206 -0.02460423
  0.2986376 -0.02442041
  0.3057607 -0.02422905
  0.3128889 -0.0240304
  0.3200215 -0.0238247
  0.3271581 -0.02361219
  0.3342983 -0.0233931
  0.3414423 -0.02316768
  0.3485902 -0.02293614
  0.3557423 -0.02269872
  0.362899 -0.02245565
  0.3700603 -0.0222072
  0.3772261 -0.02195362
  0.384396 -0.02169517
  0.3915698 -0.02143212
  0.3987468 -0.02116475
  0.4059262 -0.02089325
  0.4131074 -0.02061772
  0.4202902 -0.02033823
  0.4274741 -0.02005487
  0.4346591 -0.01976772
  0.4418453 -0.01947683
  0.4490331 -0.01918226
  0.4562228 -0.0188841
  0.463415 -0.01858247
  0.4706098 -0.01827753
  0.4778077 -0.01796946
  0.4850085 -0.0176584
  0.4922121 -0.01734456
  0.4994183 -0.01702809
  0.5066268 -0.0167092
  0.513837 -0.01638801
  0.5210486 -0.0160646
  0.5282613 -0.01573904
  0.5354749 -0.01541139
  0.5426896 -0.01508172
  0.5499054 -0.01475008
  0.5571226 -0.01441652
  0.5643417 -0.0140811
  0.5715631 -0.01374396
  0.578787 -0.01340527
  0.5860137 -0.01306517
  0.5932432 -0.01272386
  0.6004755 -0.0123815
  0.6077104 -0.01203827
  0.6149477 -0.01169436
  0.6221869 -0.01134993
  0.6294277 -0.01100511
  0.6366694 -0.01066006
  0.6439113 -0.01031493
  0.6511527 -0.009969864
  0.6583927 -0.009625031
  0.6656303 -0.009280598
  0.6728646 -0.008936814
  0.6800947 -0.008594023
  0.6873201 -0.008252558
