S1223 RTL
  0.09227894 -0.01276854
  0.0979919 -0.01231881
  0.1039923 -0.01182163
  0.1102611 -0.01127457
  0.1167728 -0.0106753
  0.1234992 -0.01002184
  0.1304146 -0.009312328
  0.1374959 -0.008545253
  0.1447236 -0.007719112
  0.1520842 -0.006831959
  0.1595722 -0.005882806
  0.1671856 -0.004872722
  0.1749235 -0.003803124
  0.1827862 -0.002675648
  0.1907752 -0.001493132
  0.1988895 -0.0002598657
  0.2071245 0.001018701
  0.2154714 0.002336242
  0.2239184 0.003687682
  0.2324532 0.005068279
  0.2410642 0.006473065
  0.2497404 0.00789748
  0.2584712 0.009338247
  0.2672465 0.0107923
  0.276057 0.01225661
  0.2848943 0.01372828
  0.2937492 0.01520438
  0.3026121 0.01668184
  0.3114727 0.01815748
  0.320321 0.01962808
  0.3291492 0.02109077
  0.3379523 0.02254315
  0.3467278 0.02398328
  0.3554743 0.02540948
  0.3641904 0.02682012
  0.3728744 0.02821352
  0.3815244 0.02958796
  0.3901389 0.03094159
  0.3987175 0.03227269
  0.4072604 0.03357974
  0.4157686 0.03486145
  0.4242427 0.03611662
  0.4326832 0.03734406
  0.4410899 0.03854254
  0.4494628 0.03971071
  0.4578019 0.04084724
  0.4661077 0.04195088
  0.4743812 0.04302049
  0.4826235 0.04405506
  0.490836 0.04505366
  0.4990198 0.04601538
  0.5071765 0.04693937
  0.5153071 0.04782495
  0.5234127 0.0486714
  0.5314938 0.049478
  0.5395508 0.05024401
  0.5475844 0.05096867
  0.5555956 0.05165127
  0.563586 0.05229113
  0.5715573 0.0528878
  0.5795106 0.05344093
  0.5874466 0.05395012
  0.5953657 0.05441494
  0.6032681 0.05483489
  0.6111542 0.05520945
  0.6190249 0.05553815
  0.6268814 0.05582056
  0.6347249 0.05605641
  0.642556 0.05624547
  0.6503755 0.05638745
  0.6581836 0.05648208
  0.6659807 0.05652913
  0.6737675 0.05652832
  0.6815444 0.05647939
  0.6893124 0.05638219
  0.6970719 0.05623664
  0.7048229 0.05604265
  0.7125652 0.05580014
  0.7202987 0.055509
  0.728023 0.05516915
  0.7357381 0.05478045
  0.7434439 0.05434284
  0.75114 0.05385634
  0.7588256 0.05332104
  0.7664993 0.05273711
  0.774159 0.05210464
  0.781803 0.05142365
  0.7894296 0.05069417
  0.7970373 0.04991623
  0.8046244 0.04909009
  0.8121881 0.04821625
  0.8197238 0.04729552
  0.8272256 0.04632882
  0.8346868 0.04531672
  0.8421008 0.04425976
  0.8494611 0.04315864
  0.8567611 0.04201419
  0.8639931 0.04082743
  0.8711478 0.03959989
  0.8782146 0.03833367
  0.8851817 0.03703051
  0.8920371 0.03569187
  0.8987687 0.03431972
  0.9053652 0.0329163
  0.9118156 0.03148262
  0.9181104 0.03001948
  0.924242 0.0285282
  0.9302042 0.02700948
  0.9359927 0.02546233
  0.9416053 0.02388594
  0.9470423 0.02227971
  0.9523052 0.02064146
  0.9573984 0.01896803
  0.9623288 0.01725617
  0.9671043 0.01550296
  0.9717319 0.01370617
  0.9762179 0.01186405
  0.9805671 0.009974644
  0.9847844 0.008034689
  0.988876 0.006040012
  0.9928514 0.003987693
  0.9967218 0.001877181
  1.0 0.0
