Davis AIRFOIL
  0.004531551 -0.005921058
  0.00540498 -0.006564612
  0.006394235 -0.007233762
  0.007521365 -0.007934868
  0.008817325 -0.008676197
  0.0103257 -0.00946807
  0.01210454 -0.01032092
  0.01421854 -0.01123722
  0.01678122 -0.01221997
  0.01988368 -0.01324961
  0.02346569 -0.01428457
  0.02739719 -0.01533652
  0.03164965 -0.01643126
  0.03620119 -0.01754793
  0.04101552 -0.01865826
  0.04604935 -0.01973041
  0.05126293 -0.02073152
  0.05663858 -0.02164071
  0.06218071 -0.02246111
  0.06788625 -0.02319992
  0.07373737 -0.0238663
  0.07969727 -0.02446991
  0.08571557 -0.02500873
  0.09175426 -0.02547748
  0.0977975 -0.02587381
  0.1038526 -0.02619747
  0.1099442 -0.02645356
  0.1160968 -0.02664999
  0.1223295 -0.02679408
  0.1286549 -0.02689307
  0.135078 -0.02695453
  0.1415945 -0.02698674
  0.1481883 -0.02699887
  0.1548303 -0.02700004
  0.1614846 -0.0269907
  0.1681208 -0.02696646
  0.1747181 -0.02692314
  0.1812651 -0.02685683
  0.1877592 -0.02676385
  0.1942059 -0.02664056
  0.2006175 -0.02648323
  0.2070126 -0.02629003
  0.2134102 -0.02606562
  0.2198257 -0.02581571
  0.2262709 -0.0255461
  0.2327537 -0.02526276
  0.2392779 -0.02497204
  0.245843 -0.0246807
  0.2524439 -0.02439591
  0.2590709 -0.02412118
  0.2657142 -0.02385442
  0.2723653 -0.02359298
  0.2790179 -0.02333406
  0.2856673 -0.0230748
  0.2923112 -0.02281224
  0.2989489 -0.02254337
  0.3055819 -0.02226552
  0.3122125 -0.02197835
  0.3188432 -0.02168253
  0.325476 -0.02137871
  0.3321127 -0.02106755
  0.3387547 -0.02074973
  0.3454032 -0.02042593
  0.3520588 -0.02009685
  0.3587223 -0.01976322
  0.3653936 -0.01942577
  0.3720728 -0.01908528
  0.3787593 -0.01874252
  0.3854522 -0.01839831
  0.3921506 -0.01805348
  0.3988528 -0.01770889
  0.405557 -0.01736538
  0.4122613 -0.0170237
  0.418964 -0.01668455
  0.4256634 -0.0163486
  0.4323585 -0.0160165
  0.4390482 -0.0156889
  0.4457317 -0.0153664
  0.4524086 -0.01504962
  0.4590787 -0.01473913
  0.4657419 -0.01443552
  0.4723985 -0.01413933
  0.479049 -0.01385112
  0.485694 -0.0135714
  0.4923346 -0.01330071
  0.498972 -0.01303957
  0.5056074 -0.01278837
  0.5122424 -0.0125468
  0.5188782 -0.01231428
  0.5255161 -0.01209023
  0.5321572 -0.01187409
  0.5388022 -0.01166531
  0.5454522 -0.01146333
  0.5521076 -0.01126761
  0.5587691 -0.01107762
  0.565437 -0.0108928
  0.5721116 -0.01071263
  0.578793 -0.01053658
  0.5854812 -0.0103641
  0.592176 -0.01019467
  0.5988772 -0.01002774
  0.6055844 -0.009862808
  0.6122968 -0.009699386
  0.6190139 -0.009537032
  0.625735 -0.009375298
  0.6324567 -0.009213792
  0.6391764 -0.009052115
  0.6458949 -0.008889774
  0.6526133 -0.008726274
  0.6593329 -0.008561119
  0.6660546 -0.008393814
  0.6727741 -0.008223996
  0.6794882 -0.008051286
  0.6861953 -0.007875264
  0.6928936 -0.007695522
  0.6995816 -0.007511658
  0.7062575 -0.007323427
  0.7129198 -0.007131281
  0.7195679 -0.006935862
  0.7262016 -0.006737782
  0.7328217 -0.006537627
  0.7394294 -0.006335954
  0.7460268 -0.006133294
  0.7526164 -0.005930147
  0.7592014 -0.005726993
  0.7657857 -0.005524286
  0.7723738 -0.005322464
  0.778971 -0.005121946
  0.7855831 -0.00492314
  0.792217 -0.004726446
  0.7988802 -0.004532261
  0.8055808 -0.004340929
  0.8122771 -0.004153714
  0.818924 -0.003971687
  0.8255199 -0.003794653
  0.8320669 -0.003622337
  0.838569 -0.003454414
  0.845033 -0.003290517
  0.8514672 -0.003130246
  0.8578824 -0.002973173
  0.864291 -0.002818839
  0.8707079 -0.002666759
  0.8771504 -0.002516405
  0.883639 -0.002367204
  0.8901981 -0.002218513
  0.8968562 -0.002069626
  0.9035056 -0.001922849
  0.9099968 -0.00178134
  0.9163112 -0.001645369
  0.9224374 -0.001515037
  0.9283692 -0.001390329
  0.9341048 -0.00127114
  0.9396456 -0.001157298
  0.9449956 -0.001048588
  0.9501606 -0.0009447675
  0.9551475 -0.00084558
  0.959964 -0.0007507643
  0.9646181 -0.0006600627
  0.969118 -0.0005732249
  0.9734716 -0.0004900117
  0.9776867 -0.0004101966
  0.9817708 -0.0003335668
  0.9857311 -0.0002599231
  0.9895744 -0.0001890801
  0.993307 -0.0001208658
  0.9969349 -5.512036e-05
  1.0 0.0
