AS5048 (18%)
  1.0 0.0015
  0.9968697 0.003181531
  0.9932289 0.004981461
  0.9894406 0.00654932
  0.9853623 0.007984176
  0.9809703 0.009420563
  0.9763362 0.01087934
  0.9715218 0.01233277
  0.9665447 0.01376604
  0.9613953 0.01516788
  0.9560514 0.01652786
  0.9504806 0.0178479
  0.9446575 0.01914405
  0.9385775 0.02043215
  0.9322618 0.02171872
  0.925738 0.02300103
  0.9190261 0.02427905
  0.9121343 0.02555633
  0.9050703 0.02683725
  0.8978523 0.02812557
  0.8905106 0.02942289
  0.88308 0.03072489
  0.8755883 0.03202677
  0.8680534 0.03332573
  0.8604836 0.03462247
  0.8528845 0.0359206
  0.8452611 0.03722406
  0.837618 0.03853676
  0.8299598 0.03985969
  0.8222928 0.0411913
  0.814626 0.04252949
  0.8069711 0.04387178
  0.7993406 0.04521736
  0.7917425 0.04656782
  0.7841785 0.04792579
  0.7766447 0.04929487
  0.7691323 0.05067871
  0.7616319 0.05207907
  0.754137 0.05349695
  0.746644 0.05493285
  0.7391524 0.05638672
  0.7316633 0.05785805
  0.7241772 0.05934644
  0.7166925 0.06085183
  0.7092059 0.06237457
  0.7017119 0.06391535
  0.6942061 0.06547392
  0.6866891 0.06704846
  0.6791684 0.06863571
  0.6716582 0.07023091
  0.6641786 0.07182717
  0.6567492 0.07341298
  0.6493835 0.07497667
  0.6420885 0.07650849
  0.6348654 0.07800041
  0.6277107 0.07944638
  0.6206183 0.08084345
  0.6135806 0.08218979
  0.6065888 0.0834839
  0.5996327 0.08472444
  0.592701 0.08591055
  0.5857832 0.08704355
  0.5788704 0.08812524
  0.5719556 0.08915687
  0.565033 0.09013928
  0.5580988 0.09107297
  0.55115 0.09195887
  0.5441841 0.09279823
  0.5371983 0.0935922
  0.5301902 0.09434186
  0.5231573 0.09504826
  0.5160974 0.09571267
  0.5090091 0.09633653
  0.5018924 0.0969212
  0.4947487 0.09746796
  0.4875808 0.09797804
  0.4803926 0.09845209
  0.4731878 0.09889019
  0.4659695 0.09929249
  0.4587405 0.09965922
  0.4515029 0.0999907
  0.4442581 0.1002871
  0.4370073 0.1005484
  0.4297511 0.1007747
  0.4224897 0.100966
  0.4152229 0.1011223
  0.4079503 0.1012439
  0.4006719 0.1013309
  0.393388 0.1013839
  0.3860996 0.1014029
  0.3788085 0.1013885
  0.3715167 0.1013407
  0.3642259 0.1012595
  0.3569377 0.1011447
  0.3496533 0.1009963
  0.3423735 0.1008144
  0.3350992 0.1005986
  0.3278317 0.1003488
  0.3205731 0.1000649
  0.313326 0.09974678
  0.3060937 0.09939429
  0.2988792 0.09900677
  0.2916846 0.09858333
  0.2845109 0.09812309
  0.2773578 0.09762512
  0.2702243 0.09708854
  0.2631098 0.0965128
  0.2560148 0.09589742
  0.2489407 0.09524206
  0.2418901 0.09454648
  0.2348657 0.0938101
  0.2278695 0.09303213
  0.2209021 0.09221165
  0.2139631 0.09134767
  0.2070515 0.09043938
  0.2001672 0.08948657
  0.1933128 0.08848943
  0.1864925 0.08744853
  0.1797128 0.08636462
  0.1729808 0.0852378
  0.1663034 0.08406815
  0.1596868 0.08285591
  0.1531371 0.08160137
  0.1466614 0.08030459
  0.1402696 0.07896635
  0.1339741 0.07758845
  0.1277887 0.07617314
  0.1217268 0.07472021
  0.1157983 0.07322842
  0.1100089 0.07169665
  0.1043617 0.070124
  0.0988584 0.06851073
  0.09350121 0.06685798
  0.0882922 0.06516748
  0.08323336 0.06344184
  0.07832972 0.06168678
  0.0735917 0.0599111
  0.06903245 0.05812553
  0.06466503 0.05634096
  0.06050028 0.05456411
  0.05654301 0.05279947
  0.05279226 0.05105056
  0.04924286 0.04932006
  0.04588824 0.04761107
  0.04272275 0.0459278
  0.03974076 0.04427462
  0.03693576 0.04265543
  0.03430039 0.04107305
  0.03182749 0.03952781
  0.02950898 0.03801917
  0.02733581 0.03654631
  0.02529857 0.03510817
  0.02338782 0.03370353
  0.02159548 0.03233087
  0.01991469 0.03098867
  0.01833883 0.02967566
  0.01686148 0.02839073
  0.01547645 0.02713283
  0.01417779 0.02590098
  0.01296012 0.02469409
  0.01181866 0.02351079
  0.01074873 0.02234965
  0.009745807 0.02120926
  0.008805597 0.02008821
  0.007924085 0.01898521
  0.007097543 0.01789901
  0.006323159 0.01682862
  0.005599966 0.01577368
  0.004927264 0.01473419
  0.004304268 0.01371032
  0.003730064 0.01270235
  0.003203585 0.0117106
  0.002723617 0.0107354
  0.002288796 0.009777033
  0.001897359 0.008835562
  0.001546886 0.007910375
  0.001234855 0.007000261
  0.0009588532 0.006103625
  0.0007166682 0.005218633
  0.000506338 0.004343305
  0.0003261715 0.003475562
  0.0001747551 0.002613251
  5.135e-05 0.001754451
  -4.102324e-05 0.0008998493
  -9.745764e-05 5.132533e-05
  -0.0001129437 -0.0007894597
  -8.221381e-05 -0.001621007
  4.487992e-07 -0.002441917
  0.0001414363 -0.003250838
  0.000348101 -0.004046404
  0.0006281655 -0.00482747
  0.0009825115 -0.005595241
  0.001408554 -0.006351796
  0.001903986 -0.007098769
  0.00246648 -0.007837327
  0.003093289 -0.0085681
  0.003780711 -0.009291062
  0.004523383 -0.01000534
  0.005316394 -0.01070987
  0.006160757 -0.01140534
  0.007058494 -0.01209317
  0.008011514 -0.01277537
  0.009021564 -0.0134547
  0.01009017 -0.01413481
  0.01121859 -0.01482053
  0.01240771 -0.01551818
  0.01365872 -0.01623468
  0.01497579 -0.01697255
  0.01636445 -0.01773279
  0.01783083 -0.01851639
  0.0193817 -0.01932433
  0.02102461 -0.0201576
  0.022768 -0.02101716
  0.02462147 -0.02190403
  0.02659602 -0.02282001
  0.02870393 -0.023768
  0.03095848 -0.02475134
  0.03337382 -0.02577379
  0.03596446 -0.02683963
  0.03874471 -0.02795367
  0.04172842 -0.02911962
  0.04492905 -0.0303377
  0.04835793 -0.03160641
  0.05202393 -0.03292283
  0.05593445 -0.03428317
  0.06009743 -0.03568383
  0.06451841 -0.03712096
  0.06919734 -0.03858928
  0.07412827 -0.04008246
  0.07930066 -0.04159354
  0.08469959 -0.04311435
  0.09030473 -0.04463614
  0.09609236 -0.04615063
  0.1020388 -0.04765032
  0.1081226 -0.04912725
  0.114325 -0.05057451
  0.1206323 -0.05198704
  0.1270374 -0.05336229
  0.1335349 -0.05469989
  0.1401178 -0.05599974
  0.1467771 -0.05726179
  0.1535024 -0.05848551
  0.1602842 -0.05966961
  0.1671156 -0.06081342
  0.1739928 -0.06191692
  0.180915 -0.06298088
  0.1878818 -0.06400659
  0.1948912 -0.06499527
  0.2019391 -0.06594798
  0.2090198 -0.06686546
  0.216127 -0.06774739
  0.2232556 -0.06859338
  0.2304023 -0.06940332
  0.2375651 -0.07017734
  0.2447434 -0.07091571
  0.2519367 -0.07161875
  0.2591446 -0.0722868
  0.2663665 -0.07292018
  0.2736018 -0.07351921
  0.2808497 -0.07408424
  0.2881092 -0.07461558
  0.2953788 -0.07511357
  0.302657 -0.07557855
  0.309942 -0.07601064
  0.3172322 -0.07640975
  0.3245265 -0.07677579
  0.331824 -0.07710874
  0.3391244 -0.07740858
  0.3464275 -0.07767539
  0.3537334 -0.07790935
  0.3610422 -0.0781106
  0.3683542 -0.0782793
  0.3756698 -0.0784156
  0.3829887 -0.0785197
  0.3903096 -0.07859181
  0.3976294 -0.07863217
  0.4049436 -0.07864105
  0.4122466 -0.07861859
  0.4195323 -0.07856378
  0.4267968 -0.07847523
  0.4340379 -0.07835164
  0.4412554 -0.0781917
  0.4484507 -0.07799419
  0.4556261 -0.07775837
  0.4627832 -0.07748365
  0.4699232 -0.07716945
  0.4770467 -0.0768152
  0.4841538 -0.0764203
  0.4912438 -0.07598404
  0.4983153 -0.0755057
  0.5053661 -0.07498464
  0.5123931 -0.07442036
  0.5193928 -0.07381248
  0.5263621 -0.07316008
  0.5333014 -0.07246166
  0.5402153 -0.07171523
  0.5471121 -0.07091827
  0.554004 -0.07006755
  0.560906 -0.06916135
  0.5678308 -0.06820033
  0.5747866 -0.06718564
  0.5817768 -0.06611906
  0.5887997 -0.06500319
  0.5958492 -0.06384095
  0.6029201 -0.06263414
  0.6100119 -0.06138376
  0.6171294 -0.06008988
  0.6242825 -0.05875152
  0.6314866 -0.05736753
  0.6387554 -0.05593972
  0.6460945 -0.05447214
  0.6534993 -0.05297119
